DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
6988.5,-0.015,50.0,-999.25,-0.002,5.1,0.0,1102.71,2.736,-999.25,0.0006,0.0002,0.0002,0.0001,0.0004,-999.25,0.0,0.0,0.0,0.0,0.0,
6989.0,-0.01,50.0,-999.25,-0.009,5.16,0.0,1231.68,2.727,-999.25,0.0003,0.0001,0.0001,0.0001,0.0002,-999.25,0.0,0.0,0.0,0.0,0.0,
6989.5,-0.002,50.0,-999.25,-0.009,5.26,0.0,1300.14,2.713,-999.25,0.0002,0.0001,0.0001,0.0001,0.0002,-999.25,0.0,0.0,0.0,0.0,0.0,
6990.0,-0.001,50.0,-999.25,-0.006,5.3,0.0,1329.01,2.712,-999.25,0.0002,0.0001,0.0001,0.0001,0.0002,-999.25,0.0,0.0,0.0,0.0,0.0,
6990.5,-0.002,50.0,-999.25,-0.005,5.33,0.0,1342.72,2.713,-999.25,0.0002,0.0001,0.0002,0.0001,0.0003,-999.25,0.0,0.0,0.0,0.0,0.0,
6991.0,-0.005,50.0,-999.25,0.0,5.32,0.0,1350.27,2.718,-999.25,0.0003,0.0001,0.0002,0.0002,0.0004,-999.25,0.0,0.0,0.0,0.0,0.0,
6991.5,-0.005,50.0,-999.25,-0.01,5.33,0.0,1348.39,2.719,-999.25,0.0002,0.0001,0.0001,0.0001,0.0002,-999.25,0.0,0.0,0.0,0.0,0.0,
6992.0,-0.003,49.17,-999.25,-0.003,5.35,0.0,1335.04,2.715,-999.25,0.0002,0.0001,0.0001,0.0001,0.0003,-999.25,0.0,0.0,0.0,0.0,0.0,
6992.5,0.0,50.0,-999.25,-0.005,5.37,0.0,1310.43,2.71,-999.25,0.0002,0.0001,0.0002,0.0001,0.0003,-999.25,0.0,0.0,0.0,0.0,0.0,
6993.0,0.005,50.0,-999.25,-0.009,5.41,0.0,1287.15,2.702,-999.25,0.0001,0.0001,0.0001,0.0001,0.0002,-999.25,0.0,0.0,0.0,0.0,0.0,
6993.5,0.006,50.0,-999.25,-0.005,5.42,0.0,1287.81,2.699,-999.25,0.0001,0.0001,0.0002,0.0001,0.0002,-999.25,0.0,0.0,0.0,0.0,0.0,
6994.0,0.005,50.0,-999.25,-0.004,5.41,0.0,1331.94,2.701,-999.25,0.0001,0.0001,0.0002,0.0001,0.0003,-999.25,0.0,0.0,0.0,0.0,0.0,
6994.5,0.002,50.0,-999.25,-0.01,5.39,0.0,1430.31,2.707,-999.25,0.0001,0.0001,0.0001,0.0001,0.0002,-999.25,0.0,0.0,0.0,0.0,0.0,
6995.0,-0.006,50.0,-999.25,-0.006,5.32,0.0,1573.4,2.72,-999.25,0.0002,0.0001,0.0001,0.0001,0.0002,-999.25,0.0,0.0,0.0,0.0,0.0,
6995.5,-0.004,50.0,-999.25,-0.011,5.34,0.0,1729.3,2.716,-999.25,0.0002,0.0001,0.0001,0.0001,0.0001,-999.25,0.0,0.0,0.0,0.0,0.0,
