DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
4803.5,0.018,55.33,22.87,0.013,4.3,0.016,27.35,2.682,0.0038,0.002,0.0029,0.0012,0.0011,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,4.539992369245738e-05
4804.0,0.022,56.33,27.19,0.024,3.92,0.023,34.65,2.677,0.0107,0.0047,0.0067,0.0027,0.0023,0.0023,0.0,0.0001,0.0001,0.0001,0.0,0.0001,4.539992369245738e-05
4804.5,0.027,57.29,34.28,0.037,3.54,0.032,45.01,2.666,0.0306,0.0102,0.0128,0.0068,0.0054,0.0054,0.0004,0.0008,0.0005,0.0003,0.0001,0.0002,4.539992369245738e-05
4805.0,0.033,58.19,41.36,0.055,3.19,0.045,53.31,2.653,0.0859,0.0221,0.022,0.0195,0.0144,0.0147,0.0053,0.0063,0.0023,0.0008,0.0003,0.0004,4.539992369245738e-05
4805.5,0.041,59.19,47.35,0.075,3.04,0.06,52.01,2.635,0.1921,0.063,0.0443,0.0578,0.0404,0.0378,0.0295,0.0249,0.006,0.003,0.0011,0.001,0.000285603862721473
4806.0,0.052,60.14,49.69,0.094,2.9,0.076,48.57,2.617,0.3985,0.1439,0.0774,0.1476,0.0932,0.0786,0.1195,0.0763,0.0109,0.0083,0.0024,0.0023,0.013100272975862026
4806.5,0.06,61.5,55.04,0.108,2.82,0.087,41.16,2.607,0.5516,0.2207,0.109,0.2539,0.1495,0.1186,0.2128,0.1219,0.0145,0.0156,0.0036,0.0037,0.2505090832710266
4807.0,0.063,63.57,66.48,0.123,2.85,0.098,33.43,2.603,0.5672,0.3331,0.1447,0.3648,0.2038,0.1622,0.2163,0.1349,0.0181,0.0299,0.006,0.0056,0.6165705919265747
4807.5,0.065,65.91,77.98,0.136,2.95,0.107,25.64,2.598,0.5343,0.4698,0.184,0.454,0.252,0.2072,0.1463,0.1139,0.0181,0.047,0.0097,0.0079,0.3394800126552582
4808.0,0.072,67.99,89.47,0.143,3.06,0.113,20.75,2.583,0.5463,0.7104,0.2452,0.6112,0.3445,0.2761,0.1055,0.0996,0.0175,0.0705,0.0149,0.0109,0.1103668287396431
4808.5,0.08,70.68,99.07,0.16,3.16,0.126,17.37,2.566,0.7553,1.3483,0.3286,0.9846,0.5045,0.4122,0.1076,0.1153,0.0194,0.1398,0.0264,0.0189,0.04108966141939163
4809.0,0.089,73.35,101.95,0.178,3.2,0.141,14.54,2.558,0.8974,1.4056,0.2783,1.1085,0.5046,0.4751,0.0841,0.0885,0.0128,0.1367,0.0205,0.0185,0.027982162311673164
4809.5,0.089,75.32,104.61,0.196,3.07,0.152,12.17,2.558,0.8537,1.1372,0.3181,1.062,0.4494,0.4754,0.1023,0.1023,0.0166,0.1212,0.0197,0.0194,0.03873535990715027
4810.0,0.087,76.46,105.11,0.213,2.91,0.163,10.74,2.561,0.8633,0.8733,0.389,0.961,0.3788,0.4315,0.1345,0.125,0.024,0.1051,0.0182,0.0181,0.07957472652196884
4810.5,0.087,75.84,103.85,0.213,2.75,0.163,9.82,2.563,0.9274,0.7278,0.5009,0.8329,0.3696,0.4101,0.1578,0.1478,0.0359,0.0807,0.017,0.0156,0.20367704331874847
4811.0,0.091,74.96,102.63,0.203,2.63,0.157,8.97,2.557,1.0781,0.7982,0.7142,0.8624,0.4655,0.4683,0.1784,0.1757,0.059,0.0701,0.0197,0.0171,0.33330124616622925
4811.5,0.095,74.52,98.22,0.191,2.65,0.151,8.4,2.55,0.9899,0.8118,0.7511,0.9035,0.5721,0.5414,0.1466,0.1458,0.0587,0.0622,0.0219,0.0193,0.35637161135673523
4812.0,0.096,73.8,93.51,0.179,2.67,0.144,7.88,2.546,0.9395,0.8089,0.7897,0.8911,0.6577,0.5861,0.1228,0.1268,0.0625,0.0544,0.025,0.0216,0.3611025810241699
4812.5,0.097,72.94,88.81,0.166,2.69,0.136,7.51,2.544,0.8365,0.7094,0.7379,0.8141,0.6854,0.5813,0.0915,0.0924,0.0559,0.0412,0.0235,0.0197,0.2854660451412201
4813.0,0.098,71.94,84.11,0.154,2.69,0.129,7.43,2.542,0.7998,0.6399,0.7079,0.7648,0.7012,0.5563,0.0762,0.0741,0.0525,0.0328,0.0214,0.0168,0.16705217957496643
4813.5,0.101,71.36,81.45,0.15,2.58,0.128,7.34,2.538,1.0486,0.7182,0.9151,0.8086,0.7702,0.5706,0.1024,0.087,0.071,0.0304,0.0203,0.0156,0.1512630581855774
4814.0,0.108,70.83,80.98,0.142,2.47,0.126,7.27,2.525,1.4655,0.9689,1.4089,0.9946,1.0079,0.6596,0.1498,0.1163,0.0994,0.0328,0.022,0.015,0.11748252063989639
4814.5,0.121,70.19,83.87,0.127,2.36,0.124,7.58,2.502,1.9478,1.3264,2.2908,1.3172,1.4367,0.7979,0.2311,0.1468,0.101,0.0381,0.0203,0.0116,0.10779214650392532
4815.0,0.135,70.23,86.74,0.119,2.3,0.127,7.88,2.48,2.2339,1.5905,3.0772,1.7536,1.9958,1.0325,0.2976,0.1483,0.0816,0.0499,0.0185,0.0097,0.15120002627372742
