DEPT,DPHI_D,GR_NORM,NPHI_D,PEF_D,POR_D,RHOB_D,RESD_D,DTC_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
7031.0,0.033,42.6,0.099,4.17,0.074,2.662,13.46,61.29,0.1034,0.0527,0.0364,0.0516,0.0462,0.0591,0.0007,0.0008,0.0006,0.0012,0.0014,0.0022,0.0037707143928855658
7031.5,0.045,47.73,0.14,4.22,0.104,2.649,14.18,64.86,0.5492,0.165,0.0597,0.1137,0.0848,0.1091,0.0034,0.0026,0.001,0.0044,0.0025,0.0039,0.006400654092431068
7032.0,0.039,53.66,0.168,4.3,0.122,2.658,14.79,67.53,1.2841,0.2882,0.0784,0.1172,0.0759,0.1107,0.0093,0.0047,0.0013,0.0074,0.0027,0.0037,0.006970759015530348
7032.5,0.011,58.38,0.153,4.35,0.108,2.69,15.18,65.68,0.4051,0.1766,0.0835,0.077,0.0664,0.094,0.0061,0.0029,0.0014,0.006,0.0042,0.0048,0.006310220342129469
7033.0,-0.02,61.73,0.117,4.4,0.0,2.721,14.85,62.66,0.1591,0.1632,0.2583,0.0971,0.1635,0.1679,0.0036,0.0076,0.0047,0.0178,0.0157,0.0013,
7033.5,-0.03,60.79,0.08,4.38,0.0,2.755,12.92,60.73,0.0282,0.0367,0.071,0.0409,0.05,0.0514,0.0006,0.0016,0.0009,0.0017,0.0015,0.0005,
7034.0,-0.03,57.07,0.063,4.25,0.0,2.755,11.46,60.2,0.0193,0.0298,0.0478,0.0289,0.0304,0.0255,0.0004,0.001,0.0007,0.0008,0.0007,0.0002,
7034.5,-0.017,52.67,0.061,4.02,0.0,2.726,10.46,60.47,0.0316,0.038,0.0599,0.0321,0.0335,0.0232,0.0006,0.0015,0.0014,0.001,0.0011,0.0002,
7035.0,-0.004,51.91,0.07,3.77,0.0,2.711,9.6,61.46,0.0505,0.0317,0.0646,0.0473,0.0422,0.0331,0.0012,0.0026,0.0027,0.0012,0.0013,0.0004,
7035.5,0.007,62.98,0.085,3.54,0.0,2.697,8.78,63.48,0.078,0.0306,0.0829,0.0809,0.0665,0.058,0.0024,0.0062,0.0069,0.0021,0.002,0.0009,
7036.0,0.016,73.46,0.1,3.38,0.072,2.683,7.96,65.31,0.0607,0.0518,0.0471,0.0539,0.0538,0.0565,0.0013,0.0014,0.0025,0.001,0.0023,0.002,0.0012829320039600134
7036.5,0.03,101.5,0.134,3.14,0.097,2.663,7.22,69.19,0.1289,0.0662,0.0671,0.0799,0.0839,0.1014,0.0032,0.0031,0.0038,0.002,0.0033,0.0044,0.003120488952845335
7037.0,0.046,120.19,0.159,2.95,0.117,2.64,6.58,71.98,0.2497,0.0829,0.0962,0.1005,0.1029,0.1395,0.0067,0.0052,0.0052,0.0029,0.0034,0.0056,0.007980813272297382
7037.5,0.066,110.4,0.184,2.89,0.138,2.605,6.11,74.4,0.2819,0.1483,0.1789,0.1708,0.1606,0.2184,0.0146,0.0116,0.0084,0.0067,0.0054,0.0076,0.019285086542367935
7038.0,0.075,97.74,0.198,2.98,0.15,2.593,5.67,76.24,0.2409,0.1433,0.1628,0.1903,0.1718,0.2448,0.0144,0.0099,0.0058,0.0071,0.0048,0.0066,0.020275726914405823
7038.5,0.068,82.36,0.209,3.21,0.156,2.6,5.34,77.26,0.2638,0.1369,0.1307,0.1616,0.1489,0.221,0.0155,0.0083,0.0043,0.0072,0.005,0.0072,0.016809284687042236
7039.0,0.06,64.24,0.221,3.22,0.162,2.606,5.1,77.01,0.4022,0.1432,0.149,0.1425,0.1378,0.2042,0.0366,0.0109,0.0061,0.0092,0.0068,0.0095,0.024369623512029648
7039.5,0.063,43.49,0.222,3.06,0.163,2.589,4.92,75.16,1.0669,0.2839,0.3112,0.2283,0.2326,0.2899,0.1956,0.0356,0.0246,0.0245,0.0228,0.0256,0.38607102632522583
7040.0,0.08,37.52,0.224,2.88,0.169,2.56,4.76,75.33,2.2266,0.5274,0.6198,0.4663,0.4545,0.4614,0.4868,0.0858,0.0673,0.0457,0.0444,0.0392,2.2855920791625977
7040.5,0.096,37.13,0.232,2.82,0.178,2.54,4.62,77.03,2.817,0.585,0.7121,0.6988,0.6261,0.6083,0.579,0.0853,0.0674,0.0502,0.0418,0.0336,4.141776084899902
7041.0,0.109,37.9,0.239,2.8,0.186,2.522,4.45,78.83,3.3822,0.6618,0.7745,1.0187,0.8646,0.8228,0.6367,0.0839,0.0669,0.0587,0.045,0.0352,5.2078166007995605
7041.5,0.114,40.46,0.243,2.77,0.19,2.511,4.68,79.44,4.3268,0.9631,1.0164,1.5483,1.1503,1.0358,0.8919,0.1372,0.1007,0.0977,0.0652,0.0514,4.721811771392822
7042.0,0.114,45.16,0.247,2.86,0.192,2.516,4.94,80.41,3.3388,0.7019,0.6033,1.3138,0.8666,0.881,0.5279,0.08,0.0472,0.0735,0.0391,0.0323,1.861018180847168
7042.5,0.109,56.04,0.25,3.01,0.193,2.535,5.18,81.75,1.6546,0.3311,0.2292,0.6856,0.4093,0.5352,0.1545,0.0262,0.0112,0.028,0.0116,0.01,0.2291264832019806
7043.0,0.095,74.07,0.247,3.2,0.187,2.568,5.54,82.2,0.6161,0.1492,0.091,0.2764,0.1611,0.2677,0.0334,0.0092,0.0028,0.0083,0.0029,0.0028,0.02541384845972061
7043.5,0.062,92.06,0.229,3.24,0.168,2.597,5.95,79.0,0.389,0.2485,0.1892,0.2245,0.1594,0.2343,0.0312,0.018,0.0087,0.0182,0.009,0.0145,0.019719375297427177
7044.0,0.04,91.67,0.204,3.14,0.147,2.639,6.52,74.5,0.2534,0.116,0.1186,0.105,0.1012,0.1467,0.0151,0.0099,0.0047,0.0072,0.0052,0.0079,0.015364862978458405
7044.5,0.026,77.16,0.183,3.04,0.131,2.663,7.14,70.55,0.3141,0.0875,0.0799,0.0771,0.0864,0.1212,0.0166,0.0093,0.0058,0.0048,0.0052,0.0068,0.012243867851793766
7045.0,0.028,66.52,0.165,3.01,0.118,2.656,7.8,68.4,0.3702,0.1146,0.0942,0.0983,0.1087,0.1363,0.0235,0.0142,0.0109,0.0062,0.0083,0.0084,0.019300485029816628
7045.5,0.035,76.4,0.164,3.05,0.118,2.649,8.61,69.13,0.2786,0.112,0.0956,0.1129,0.1102,0.1398,0.0179,0.0135,0.0078,0.0064,0.0066,0.0075,0.010176253505051136
7046.0,0.039,96.85,0.163,3.15,0.118,2.649,9.55,70.39,0.175,0.0989,0.0808,0.1124,0.0981,0.1313,0.0098,0.0094,0.0038,0.0055,0.004,0.0058,0.009876864962279797
7046.5,0.037,108.6,0.165,3.35,0.119,2.659,11.24,71.06,0.1168,0.0909,0.0581,0.0993,0.0777,0.112,0.0058,0.0062,0.0015,0.0045,0.0023,0.0041,0.009160613641142845
7047.0,0.034,118.72,0.171,3.57,0.123,2.685,13.56,71.77,0.0657,0.0479,0.0241,0.0592,0.0406,0.0711,0.0023,0.0025,0.0003,0.0015,0.0004,0.0013,0.008615548722445965
7047.5,0.024,108.65,0.175,3.93,0.125,2.759,17.72,70.89,0.0152,0.0045,0.0028,0.012,0.0076,0.0211,0.0002,0.0003,0.0,0.0,0.0,0.0,0.006962261162698269
7048.0,-0.002,92.43,0.166,4.36,0.0,2.82,25.67,67.27,0.0082,0.0044,0.0053,0.0129,0.0106,0.0577,0.0002,0.0033,0.0002,0.0002,0.0,0.0046,
7048.5,-0.025,78.6,0.13,4.78,0.0,2.87,31.18,61.9,0.0027,0.0009,0.0039,0.0114,0.0069,0.045,0.0001,0.0005,0.0,0.0,0.0,0.0037,
7049.0,-0.1,46.87,0.087,5.17,0.0,2.893,37.47,56.29,0.0056,0.0028,0.0349,0.0143,0.0215,0.0601,0.0002,0.0002,0.0001,0.0003,0.0003,0.0004,
7049.5,-0.107,35.93,0.055,5.41,0.0,2.887,46.01,53.43,0.0023,0.0011,0.006,0.005,0.0086,0.0211,0.0,0.0001,0.0,0.0002,0.0002,0.0001,
7050.0,-0.11,27.77,0.044,5.27,0.0,2.881,51.37,53.05,0.0024,0.0016,0.0067,0.0035,0.0069,0.0126,0.0,0.0001,0.0,0.0002,0.0002,0.0,
7050.5,-0.098,28.33,0.042,5.05,0.0,2.876,53.58,53.49,0.0022,0.0017,0.0069,0.0035,0.0053,0.0111,0.0,0.0001,0.0,0.0001,0.0001,0.0001,
7051.0,-0.096,30.46,0.044,5.01,0.0,2.873,54.89,53.74,0.0024,0.002,0.0083,0.0039,0.006,0.0123,0.0,0.0001,0.0,0.0001,0.0001,0.0001,
7051.5,-0.096,34.66,0.048,5.13,0.0,2.868,55.76,53.7,0.0026,0.002,0.0084,0.0044,0.0074,0.0152,0.0,0.0001,0.0,0.0001,0.0001,0.0001,
7052.0,-0.092,39.8,0.05,5.22,0.0,2.85,56.2,53.73,0.0032,0.0025,0.009,0.0048,0.0097,0.0171,0.0,0.0001,0.0,0.0003,0.0003,0.0001,
7052.5,-0.076,47.84,0.052,5.04,0.0,2.818,56.44,54.66,0.0051,0.0058,0.0162,0.0064,0.0134,0.0186,0.0001,0.0002,0.0001,0.0005,0.0005,0.0001,
7053.0,-0.061,52.52,0.054,4.98,0.0,2.802,55.72,54.96,0.0052,0.0056,0.0139,0.0069,0.0122,0.0194,0.0001,0.0002,0.0001,0.0004,0.0004,0.0001,
7053.5,-0.05,51.57,0.056,5.01,0.0,2.808,54.15,54.69,0.0035,0.0025,0.0065,0.006,0.0074,0.019,0.0,0.0001,0.0,0.0001,0.0001,0.0003,
7054.0,-0.057,45.94,0.057,5.08,0.0,2.826,50.88,54.28,0.0029,0.0016,0.0051,0.0054,0.0064,0.0199,0.0,0.0001,0.0,0.0001,0.0001,0.0003,
7054.5,-0.073,39.97,0.055,5.02,0.0,2.846,46.23,54.41,0.003,0.002,0.0079,0.0055,0.0074,0.0195,0.0,0.0001,0.0,0.0001,0.0001,0.0002,
7055.0,-0.087,37.5,0.053,4.87,0.0,2.86,39.81,55.18,0.004,0.0039,0.0163,0.0067,0.0104,0.0188,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,
7055.5,-0.087,36.53,0.052,4.81,0.0,2.853,33.79,55.54,0.0054,0.006,0.0215,0.0073,0.0124,0.0182,0.0001,0.0002,0.0001,0.0002,0.0002,0.0001,
7056.0,-0.081,39.65,0.054,4.9,0.0,2.843,26.27,55.85,0.0056,0.0061,0.0195,0.0082,0.0137,0.0198,0.0001,0.0002,0.0001,0.0003,0.0002,0.0001,
7056.5,-0.069,44.23,0.067,5.28,0.0,2.813,18.99,55.63,0.0116,0.0056,0.0145,0.0114,0.0217,0.0343,0.0002,0.0002,0.0001,0.0008,0.0008,0.0002,
7057.0,-0.06,53.23,0.072,5.12,0.0,2.777,14.66,57.49,0.0298,0.0274,0.0488,0.0226,0.0513,0.0457,0.0005,0.0005,0.0004,0.0034,0.004,0.0001,
7057.5,-0.041,63.05,0.084,4.53,0.0,2.729,12.75,60.85,0.0898,0.2122,0.2934,0.0618,0.1462,0.0798,0.0018,0.0041,0.0039,0.016,0.0214,0.0002,
7058.0,-0.011,70.68,0.1,3.56,0.0,2.654,10.99,63.95,0.5642,0.7493,1.5487,0.1961,0.4913,0.1735,0.0192,0.1115,0.1397,0.1029,0.2018,0.0002,
7058.5,0.037,76.67,0.131,3.0,0.096,2.582,11.13,66.36,1.2979,2.2374,1.4227,0.5856,0.727,0.3549,0.2356,0.6818,0.4463,0.1906,0.454,0.0236,0.00429490115493536
7059.0,0.065,78.32,0.156,3.0,0.12,2.581,12.98,68.64,0.7899,0.8427,0.4376,0.6508,0.4594,0.3497,0.126,0.1561,0.0498,0.0801,0.0424,0.0223,0.011699697002768517
7059.5,0.077,70.29,0.195,3.11,0.148,2.603,15.07,71.44,0.6263,0.2824,0.0846,0.3803,0.1569,0.1893,0.062,0.0347,0.003,0.0285,0.0033,0.0029,0.0189052727073431
7060.0,0.068,58.21,0.208,3.46,0.155,2.651,16.64,71.89,0.3631,0.0654,0.0131,0.0934,0.0341,0.068,0.0134,0.0054,0.0001,0.0032,0.0002,0.0002,0.017926311120390892
7060.5,0.028,50.04,0.185,3.72,0.132,2.68,18.65,67.48,0.3539,0.1214,0.0365,0.0902,0.047,0.0836,0.0251,0.0093,0.0008,0.0079,0.0016,0.0021,0.010673655197024345
7061.0,0.013,46.17,0.157,3.52,0.112,2.703,20.63,63.92,0.1541,0.0584,0.0265,0.0606,0.0405,0.0735,0.015,0.0075,0.001,0.004,0.0016,0.0025,0.021804943680763245
7061.5,-0.001,41.92,0.136,3.22,0.0,2.715,22.24,61.27,0.3161,0.0263,0.0887,0.1041,0.1308,0.1834,0.0405,0.0629,0.077,0.0122,0.0086,0.0035,
7062.0,-0.004,37.6,0.138,3.04,0.0,2.72,23.57,60.27,0.4779,0.0184,0.0667,0.1017,0.1297,0.1877,0.0802,0.1241,0.183,0.0122,0.0096,0.0036,
7062.5,-0.007,33.23,0.144,2.98,0.0,2.722,23.89,59.74,0.7048,0.0193,0.0672,0.1089,0.1451,0.2096,0.1402,0.208,0.3172,0.0164,0.0141,0.0039,
7063.0,-0.01,32.76,0.139,2.99,0.0,2.723,24.14,59.44,0.7179,0.0203,0.0697,0.1031,0.1448,0.2047,0.1371,0.208,0.3235,0.0159,0.0147,0.0032,
7063.5,-0.009,35.39,0.122,3.16,0.0,2.721,23.23,59.75,0.3865,0.0224,0.0752,0.084,0.1165,0.1566,0.0495,0.0714,0.1054,0.0093,0.0082,0.0022,
7064.0,-0.007,38.73,0.109,3.62,0.0,2.718,22.35,60.13,0.1537,0.0405,0.1088,0.0708,0.0952,0.1192,0.0097,0.0127,0.0119,0.0061,0.0051,0.0016,
7064.5,-0.007,43.67,0.101,4.11,0.0,2.712,19.55,60.13,0.1055,0.0666,0.1346,0.0671,0.0932,0.1015,0.0031,0.0043,0.0028,0.0057,0.0052,0.0011,
7065.0,-0.006,50.13,0.094,4.17,0.0,2.703,15.96,60.66,0.0961,0.0766,0.1448,0.0689,0.0976,0.0871,0.0023,0.0041,0.0026,0.0059,0.006,0.0007,
7065.5,0.0,60.07,0.082,3.91,0.0,2.691,13.58,61.61,0.0715,0.0646,0.1341,0.0645,0.0841,0.0596,0.0018,0.0051,0.0039,0.0043,0.0046,0.0005,
7066.0,0.013,74.09,0.078,3.49,0.056,2.671,11.98,63.15,0.0558,0.0761,0.0667,0.0447,0.0498,0.0377,0.0015,0.0028,0.004,0.0019,0.0038,0.0008,0.000687715073581785
7066.5,0.028,86.48,0.095,3.29,0.07,2.653,10.09,65.34,0.0792,0.0839,0.0771,0.0715,0.0731,0.0642,0.0027,0.0043,0.0056,0.0025,0.0045,0.002,0.0008858356159180403
7067.0,0.038,94.73,0.125,3.11,0.093,2.639,8.79,67.96,0.159,0.1235,0.1127,0.118,0.1198,0.1237,0.0074,0.0092,0.0092,0.0049,0.0073,0.0055,0.00238430080935359
