DEPT,DPHI_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,DTC_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
2988.5,0.292,133.26,0.438,3.51,0.0,2.35,2.21,125.08,1259.5748,7458.2727,301.1641,88.6885,67.6683,539.1755,0.1513,2.4989,10.066,0.0054,0.1044,0.3225,
2989.0,0.292,128.53,0.433,3.46,0.0,2.26,2.21,124.4,1049.8977,5669.1139,321.8575,76.4033,65.7701,551.9053,0.1714,1.9384,7.3954,0.0068,0.1106,0.3149,
2989.5,0.293,122.71,0.435,3.42,0.0,2.26,2.209,124.4,931.487,4671.3063,324.9227,82.6899,69.8084,552.5093,0.1777,1.6445,6.0226,0.007,0.1133,0.3094,
2990.0,0.295,121.0,0.444,3.42,0.0,2.28,2.205,125.35,1011.3103,5207.1152,321.2291,109.8798,82.468,578.0993,0.1839,1.8693,7.2746,0.0063,0.1135,0.3326,
2990.5,0.295,125.76,0.453,3.46,0.0,2.41,2.206,126.56,1211.9265,6577.2485,291.8484,143.0829,86.0971,536.0182,0.1512,2.4989,10.2067,0.0042,0.1009,0.3348,
2991.0,0.292,136.12,0.457,3.48,0.0,2.56,2.211,127.18,1365.5999,7314.3265,307.9641,154.4894,78.2914,475.6641,0.1025,2.7907,11.599,0.0029,0.092,0.3432,
2991.5,0.285,144.95,0.454,3.44,0.0,2.68,2.221,126.87,1229.2946,6298.3222,400.1152,136.386,62.3846,394.3267,0.0653,2.2503,9.1264,0.0024,0.0924,0.369,
2992.0,0.278,143.24,0.448,3.37,0.0,2.68,2.233,125.79,802.567,3463.313,432.2547,97.505,46.2737,309.3936,0.0547,1.3895,5.0486,0.0027,0.0931,0.352,
2992.5,0.272,139.37,0.446,3.31,0.0,2.55,2.244,125.33,527.3062,1747.7304,397.1251,71.6662,35.46,239.2803,0.0574,0.9804,3.246,0.0031,0.0882,0.333,
2993.0,0.27,139.37,0.44,3.29,0.0,2.53,2.249,124.5,412.7911,1276.1014,334.68,54.7797,29.8113,217.253,0.0556,0.7978,2.4493,0.0034,0.0845,0.2972,
