DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR,K_SDR_PRE
4132.0,0.094,106.18,132.58,0.354,3.38,0.259,1.6,2.549,1.503,1.4381,0.6736,1.0774,0.7281,0.2504,0.1455,0.5002,0.1814,0.3649,0.4954,0.0624,0.183341965,0.10807669162750244
4132.5,0.116,108.15,135.14,0.356,3.14,0.265,1.48,2.512,1.7189,1.5737,0.7246,1.6539,1.0052,0.5224,0.2158,0.4594,0.2575,0.5503,0.7186,0.1099,0.156339417,0.17404182255268097
4133.0,0.133,108.05,138.61,0.367,2.96,0.276,1.55,2.482,1.259,1.3494,0.6047,1.8427,1.0781,0.9976,0.1987,0.2231,0.1835,0.349,0.555,0.2516,0.219242439,0.3017343580722809
4133.5,0.128,107.55,136.79,0.389,2.88,0.289,1.74,2.492,0.7043,1.4436,0.3879,1.4011,0.6676,0.7741,0.123,0.0895,0.0787,0.2195,0.4635,0.8336,0.851278879,0.4065535068511963
4134.0,0.117,103.92,133.77,0.406,2.85,0.299,1.96,2.51,0.2676,0.9172,0.1737,0.4242,0.235,0.529,0.0461,0.0233,0.0185,0.0537,0.1147,3.403,3.197469453,0.47070813179016113
4134.5,0.126,98.38,122.84,0.367,2.81,0.274,2.48,2.494,0.2467,0.3726,0.233,0.7558,0.3899,0.7562,0.0504,0.0188,0.0266,0.0275,0.0369,0.2197,7.303444671,0.26531103253364563
4135.0,0.146,90.94,100.25,0.312,2.66,0.243,3.23,2.461,0.7854,0.8058,0.8551,3.0672,1.8372,2.2333,0.1434,0.0671,0.1012,0.08,0.0665,0.1116,6.894127397,0.13462527096271515
4135.5,0.173,86.72,77.66,0.242,2.52,0.211,4.67,2.414,6.9056,6.27,3.9354,20.0839,12.8169,12.0429,0.7277,0.6711,0.5327,0.8295,0.4643,0.5963,1.962501849,0.18600107729434967
4136.0,0.171,84.35,60.7,0.215,2.4,0.194,6.07,2.418,14.019,9.3312,6.4269,19.2731,11.7887,11.3655,1.6568,1.455,0.8258,1.2657,0.4196,0.5071,0.451789858,2.21222186088562
4136.5,0.153,82.91,59.34,0.185,2.43,0.17,5.61,2.448,6.1952,3.4244,3.7345,4.5696,3.8568,4.9526,0.5702,0.4649,0.3043,0.2904,0.113,0.1465,0.163673924,1.1723064184188843
