DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE,K_GD_N_PRE
401,8.08,-0.125,-999.25,71.94,0.606,-999.25,0,31.87,1950,-999.25,,,
401.5,8.07,-0.125,-999.25,60.97,0.572,-999.25,0,27.58,1950,-999.25,,,
402,8.07,-0.118,-999.25,76.09,0.703,-999.25,0,30.46,1950,-999.25,,,
402.5,8.08,-0.111,-999.25,73.07,0.615,-999.25,0,31.14,1950,-999.25,,,
403,8.09,-0.112,-999.25,69.67,0.658,-999.25,0,28.94,1950,-999.25,,,
403.5,8.09,-0.118,-999.25,71.94,0.581,-999.25,0,31.2,1950,-999.25,,,
404,8.09,-0.125,-999.25,72.69,0.567,-999.25,0,30.3,1950,-999.25,,,
404.5,8.09,-0.12,-999.25,77.23,0.591,-999.25,0,28.72,1950,-999.25,,,
405,8.09,-0.126,-999.25,71.08,0.644,-999.25,0,27.37,1950,-999.25,,,
405.5,8.07,-0.125,-999.25,75.72,0.585,-999.25,0,26.86,1950,-999.25,,,
406,8.08,-0.136,-999.25,74.96,0.668,-999.25,0,23.91,1950,-999.25,,,
406.5,8.07,-0.136,-999.25,77.23,0.702,-999.25,0,18.86,1950,-999.25,,,
407,8.09,-0.142,-999.25,76.25,0.655,-999.25,0,17.56,1950,-999.25,,,
407.5,8.09,-0.138,-999.25,64.56,0.505,-999.25,0,15.56,1950,-999.25,,,
408,8.09,-0.137,-999.25,70.8,0.545,-999.25,0,14.13,1950,-999.25,,,
408.5,8.07,-0.12,-999.25,72.31,0.577,-999.25,0,11.08,1950,-999.25,,,
409,8.08,-0.119,-999.25,83.28,0.535,-999.25,0,8.3,1950,-999.25,,,
409.5,8.08,-0.121,-999.25,76.09,0.604,-999.25,0,5.47,1950,-999.25,,,
410,8.08,-0.137,-999.25,76.09,0.622,-999.25,0,4.4,1950,-999.25,,,
410.5,8.09,-0.141,-999.25,68.63,0.616,-999.25,0,3.84,1950,-999.25,,,
411,8.08,-0.139,-999.25,63.62,0.601,-999.25,0,3.37,1950,-999.25,,,
411.5,8.07,-0.136,-999.25,70.8,0.569,-999.25,0,3,1950,-999.25,,,
412,8.08,-0.132,-999.25,76.09,0.639,-999.25,0,2.69,1950,-999.25,,,
412.5,8.07,-0.132,-999.25,63.81,0.692,-999.25,0,2.41,1164.798,-999.25,,,
413,8.07,-0.131,-999.25,76.47,0.648,-999.25,0,2.5,105.296,-999.25,,,
413.5,8.07,-0.138,-999.25,69.67,0.626,-999.25,0,3.08,31.109,-999.25,,,
414,8.06,-0.183,-999.25,66.64,0.547,-999.25,0,3.13,11.953,-999.25,,,
414.5,8.07,-0.2,-999.25,65.23,0.58,-999.25,0,5.61,5.46,-999.25,,,
415,8.06,-0.2,-999.25,69.67,0.539,-999.25,0,3.9,2.913,-999.25,,,
415.5,8.07,-0.2,-999.25,46.14,0.526,-999.25,0,5.99,1.761,-999.25,,,
416,8,-0.082,-999.25,57.57,0.644,-999.25,0,4.56,1.182,-999.25,,,
416.5,8.02,0.232,-999.25,84.79,0.764,-999.25,0.565,3.43,0.788,-999.25,2.77,,
417,7.96,0.37,-999.25,101.04,0.439,-999.25,0.406,3.78,0.615,-999.25,16.33,,
417.5,7.97,0.414,-999.25,110.11,0.427,-999.25,0.421,4.19,0.841,-999.25,26.88,,
418,8,0.421,-999.25,90.08,0.418,-999.25,0.42,4.31,0.839,-999.25,34.33,,
418.5,8,0.439,-999.25,98.02,0.4,-999.25,0.42,3.33,0.935,-999.25,37.23,,
419,8.66,0.445,-999.25,98.02,0.383,-999.25,0.415,3.54,0.76,-999.25,37.54,,
419.5,10.51,0.407,-999.25,84.41,0.471,-999.25,0.44,3.92,0.658,-999.25,31.25,,
420,11.82,0.367,-999.25,87.81,0.629,-999.25,0.515,3.42,0.66,-999.25,27.33,,
420.5,12.47,0.345,-999.25,75.34,0.678,-999.25,0.538,6.39,0.681,-999.25,29.61,,
421,13.37,0.377,-999.25,73.92,0.931,-999.25,0.71,7.61,0.724,-999.25,31.84,,
421.5,13.62,0.445,-999.25,88.95,0.688,-999.25,0.579,9.75,0.794,-999.25,34,,
