DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE,K_GD_N_PRE
3110.0,8.3,0.243,104.12,100.66,0.324,3.85,0.286,3.77,1.479,2.294,100.7,0.9970112442970276,0.025079546496272087
3110.5,8.31,0.238,103.9,95.37,0.315,3.88,0.279,3.66,1.445,2.303,100.18,0.9993937015533447,0.02528437413275242
3111.0,8.28,0.238,103.43,98.77,0.346,3.91,0.297,3.44,1.408,2.304,99.84,1.0651494264602661,0.030253641307353973
3111.5,8.27,0.235,103.28,101.8,0.33,3.93,0.286,3.23,1.381,2.308,99.38,1.0875840187072754,0.030957933515310287
3112.0,8.27,0.232,103.59,98.77,0.31,3.96,0.274,3.3,1.39,2.313,99.38,1.069700837135315,0.030368315055966377
3112.5,8.29,0.238,102.99,115.5,0.307,3.97,0.275,3.4,1.384,2.304,98.98,1.0628573894500732,0.03076217509806156
3113.0,8.27,0.249,104.32,103.69,0.335,3.98,0.295,3.37,1.373,2.284,98.87,1.040967345237732,0.028694653883576393
3113.5,8.26,0.255,104.81,102.93,0.347,3.99,0.304,3.37,1.379,2.273,98.75,1.003614068031311,0.027706144377589226
3114.0,8.26,0.261,104.69,111.63,0.319,4.0,0.291,3.38,1.385,2.265,98.63,0.9376089572906494,0.02782537415623665
3114.5,8.25,0.268,104.5,125.71,0.337,4.01,0.304,3.32,1.37,2.251,98.13,1.0386239290237427,0.029276473447680473
3115.0,8.26,0.273,103.45,105.96,0.345,4.01,0.311,3.27,1.364,2.244,98.16,0.9393811821937561,0.027377841994166374
3115.5,8.27,0.267,102.9,101.04,0.314,4.01,0.291,3.25,1.353,2.254,98.13,0.8599496483802795,0.026091327890753746
3116.0,8.25,0.259,103.3,105.2,0.299,4.0,0.28,2.96,1.313,2.267,98.13,1.1097657680511475,0.028657417744398117
3116.5,8.26,0.256,104.29,110.49,0.317,3.98,0.288,3.12,1.362,2.273,98.4,1.0572161674499512,0.029073258861899376
3117.0,8.29,0.256,104.82,105.96,0.314,3.92,0.286,3.19,1.368,2.272,98.13,0.9944031834602356,0.026999961584806442
3117.5,8.3,0.257,104.75,116.92,0.386,3.89,0.328,3.4,1.37,2.27,98.05,1.0129748582839966,0.027032041922211647
3118.0,8.3,0.257,104.2,106.71,0.322,3.91,0.291,3.32,1.391,2.271,97.5,0.8693967461585999,0.026424027979373932
3118.5,8.28,0.258,104.32,102.56,0.356,3.94,0.311,3.55,1.4,2.269,97.13,0.8554754257202148,0.024713005870580673
3119.0,8.3,0.255,104.23,104.07,0.342,3.96,0.302,3.59,1.37,2.274,96.69,0.774071455001831,0.024715786799788475
3119.5,8.29,0.254,103.55,121.08,0.324,3.98,0.291,3.17,1.293,2.276,96.25,0.926835298538208,0.028926720842719078
3120.0,8.27,0.26,103.09,103.69,0.356,4.0,0.312,3.03,1.176,2.265,95.62,0.9484185576438904,0.02791711688041687
3120.5,8.26,0.27,102.5,103.69,0.37,4.01,0.324,2.39,1.058,2.248,95.2,5.898247718811035,0.046962521970272064
3121.0,8.23,0.274,102.58,105.96,0.343,4.04,0.31,2.65,1.135,2.242,95.0,1.7295440435409546,0.02985108271241188
3121.5,8.23,0.269,102.77,129.01,0.347,4.06,0.31,3.48,1.234,2.25,94.69,1.0361135005950928,0.02770129032433033
3122.0,8.26,0.27,102.28,138.47,0.324,4.09,0.298,4.07,1.269,2.248,94.37,0.007760397624224424,0.027220332995057106
3122.5,8.24,0.278,102.1,118.81,0.334,4.12,0.307,3.61,1.224,2.234,93.98,0.03323321044445038,0.02486807480454445
3123.0,8.27,0.283,101.22,126.37,0.345,4.16,0.316,3.57,1.234,2.225,93.71,0.18991820514202118,0.026434816420078278
3123.5,8.27,0.279,100.9,131.09,0.334,4.2,0.308,3.83,1.258,2.233,93.56,0.013982036150991917,0.02687419205904007
3124.0,8.31,0.277,100.7,142.25,0.347,4.23,0.314,3.64,1.246,2.236,93.52,1.3298835754394531,0.029095977544784546
3124.5,8.32,0.278,99.91,135.44,0.352,4.26,0.317,3.22,1.198,2.235,93.13,1.572807788848877,0.030243484303355217
3125.0,8.31,0.279,99.6,118.43,0.324,4.28,0.302,3.12,1.173,2.233,93.13,2.1894140243530273,0.02794341929256916
3125.5,8.31,0.276,99.35,145.27,0.319,4.3,0.298,3.51,1.236,2.239,93.13,1.3131036758422852,0.02996075712144375
3126.0,8.26,0.271,99.24,134.69,0.318,4.33,0.295,3.77,1.283,2.247,93.48,1.170754075050354,0.02918059751391411
3126.5,8.25,0.272,99.69,121.08,0.316,4.34,0.295,3.83,1.337,2.245,93.75,0.5856678485870361,0.027346879243850708
3127.0,8.25,0.274,100.07,168.33,0.321,4.34,0.298,4.06,1.384,2.241,93.75,1.4997475147247314,0.030251502990722656
3127.5,8.23,0.281,100.45,161.24,0.307,4.33,0.294,4.02,1.419,2.23,93.75,0.009306159801781178,0.02945510298013687
3128.0,8.23,0.281,101.19,189.88,0.316,4.32,0.299,3.98,1.443,2.229,93.75,1.5628279447555542,0.030201323330402374
3128.5,8.22,0.279,101.85,180.42,0.321,4.36,0.301,3.72,1.416,2.233,93.94,1.886767864227295,0.03043520264327526
3129.0,8.19,0.276,102.03,188.74,0.298,4.61,0.287,3.42,1.378,2.238,93.79,3.2087292671203613,0.027095980942249298
