DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE,K_GD_N_PRE
2686.0,10.02,0.243,-999.25,98.72,0.436,3.29,0.353,1.88,2.294,-999.25,-999.25,,
2686.5,10.23,0.256,-999.25,98.8,0.422,3.23,0.349,1.91,2.273,-999.25,-999.25,,
2687.0,10.01,0.264,-999.25,98.7,0.439,3.19,0.362,1.77,2.259,-999.25,-999.25,,
2687.5,10.88,0.263,-999.25,94.6,0.428,3.2,0.355,1.66,2.26,-999.25,-999.25,,
2688.0,9.83,0.264,-999.25,96.18,0.413,3.2,0.347,1.58,2.258,-999.25,-999.25,,
2688.5,9.59,0.276,-999.25,97.57,0.434,3.2,0.364,1.61,2.238,-999.25,-999.25,,
2689.0,9.4,0.296,-999.25,95.42,0.469,3.18,0.392,1.74,2.204,-999.25,-999.25,,
2689.5,11.03,0.292,-999.25,95.23,0.505,3.18,0.412,1.5,2.21,-999.25,-999.25,,
2690.0,10.9,0.285,-999.25,94.35,0.47,3.2,0.389,1.58,2.223,-999.25,-999.25,,
2690.5,10.86,0.27,-999.25,96.27,0.417,3.23,0.351,2.08,2.248,-999.25,-999.25,,
2691.0,10.45,0.276,-999.25,92.08,0.411,3.25,0.35,1.75,2.239,-999.25,-999.25,,
2691.5,11.04,0.282,-999.25,90.86,0.404,3.28,0.348,2.33,2.228,-999.25,-999.25,,
2692.0,8.97,0.29,-999.25,89.81,0.356,3.32,0.325,2.02,2.214,-999.25,-999.25,,
2692.5,8.69,0.288,-999.25,93.51,0.39,3.24,0.343,1.8,2.217,-999.25,-999.25,,
2693.0,9.85,0.263,-999.25,97.89,0.422,3.12,0.352,1.6,2.261,-999.25,-999.25,,
2693.5,9.68,0.255,-999.25,94.71,0.395,3.0,0.332,1.57,2.275,-999.25,-999.25,,
2694.0,11.06,0.246,-999.25,94.31,0.406,3.01,0.336,1.3,2.29,-999.25,-999.25,,
2694.5,10.14,0.25,-999.25,93.23,0.429,3.05,0.351,1.39,2.283,-999.25,-999.25,,
2695.0,10.79,0.238,-999.25,98.74,0.394,3.11,0.325,1.58,2.304,-999.25,-999.25,,
2695.5,11.28,0.221,-999.25,97.48,0.376,3.16,0.308,1.45,2.333,-999.25,-999.25,,
2696.0,10.6,0.21,-999.25,98.39,0.393,3.22,0.315,1.7,2.351,-999.25,-999.25,,
2696.5,10.16,0.198,-999.25,99.14,0.382,3.26,0.304,1.88,2.372,-999.25,-999.25,,
2697.0,10.27,0.203,-999.25,101.06,0.385,3.26,0.308,2.15,2.362,-999.25,-999.25,,
2697.5,10.3,0.211,-999.25,100.74,0.4,3.2,0.32,2.29,2.349,-999.25,-999.25,,
2698.0,11.16,0.25,-999.25,92.85,0.413,3.12,0.341,1.6,2.282,-999.25,-999.25,,
2698.5,11.36,0.284,-999.25,90.43,0.453,3.08,0.378,1.37,2.224,-999.25,-999.25,,
2699.0,11.54,0.288,-999.25,88.78,0.417,3.11,0.358,1.41,2.217,-999.25,-999.25,,
2699.5,9.83,0.273,-999.25,92.35,0.438,3.16,0.365,1.76,2.243,-999.25,-999.25,,
2700.0,10.13,0.272,-999.25,93.0,0.413,3.2,0.35,2.06,2.245,-999.25,-999.25,,
2700.5,9.14,0.299,-999.25,96.11,0.408,3.18,0.358,2.47,2.199,-999.25,-999.25,,
2701.0,10.16,0.313,-999.25,97.43,0.426,3.16,0.374,1.65,2.174,-999.25,-999.25,,
2701.5,10.52,0.297,-999.25,98.27,0.415,3.16,0.361,1.4,2.202,-999.25,-999.25,,
2702.0,10.56,0.276,-999.25,95.35,0.387,3.18,0.336,1.71,2.238,-999.25,-999.25,,
2702.5,8.92,0.26,-999.25,92.03,0.39,3.2,0.331,1.8,2.265,-999.25,-999.25,,
2703.0,10.32,0.253,-999.25,98.19,0.403,3.22,0.336,1.47,2.277,-999.25,-999.25,,
2703.5,11.35,0.267,-999.25,96.49,0.385,3.25,0.331,1.45,2.254,-999.25,-999.25,,
2704.0,11.26,0.282,-999.25,99.38,0.383,3.27,0.336,1.53,2.228,-999.25,-999.25,,
2704.5,10.29,0.294,-999.25,94.31,0.438,3.25,0.373,1.63,2.207,-999.25,-999.25,,
2705.0,10.73,0.271,-999.25,96.59,0.446,3.23,0.369,1.73,2.246,-999.25,-999.25,,
2705.5,10.8,0.245,-999.25,99.33,0.416,3.28,0.341,1.77,2.291,-999.25,-999.25,,
