DEPT,CAL_N,SGR_N,CGR_N,RESDEEP_N,SP_N,POR_N,RHOB_N,PE_N,DPHI_N,NPHI_N,DTC_N,DTS_N,TCMR,RHOMAA_N,UMAA_N,K_GD_N,K_SDR_N,K_TIM_N
4299.5,8.74,85.002,77.321,2.21,77.891,0.215,2.413,2.56,0.174,0.25,89.14,179.12,0.159441785,2.704,6.52,0.01149801,1.03E-06,3.28E-06
4300,8.75,70.69,60.137,2.48,77.904,0.187,2.435,2.49,0.161,0.21,91.76,175.19,0.162986442,2.702,6.553,1.03E-06,3.28E-07,3.84E-07
4300.5,8.75,66.832,54.238,2.72,77.891,0.159,2.452,2.46,0.151,0.167,92.04,178.5,0.154799281,2.699,7.063,8.49E-07,1.03E-06,8.86E-07
4301,8.75,68.666,57.05,2.74,77.852,0.166,2.457,2.53,0.148,0.182,92.54,184.37,0.155982655,2.703,7.757,6.67E-07,3.87E-07,2.30E-07
4301.5,8.76,77.19,66.077,2.54,77.617,0.183,2.445,2.72,0.155,0.207,88.99,183.47,0.158181312,2.706,8.702,4.85E-07,3.73E-08,6.00E-08
4302,8.75,82.212,69.735,2.42,77.539,0.195,2.442,2.95,0.157,0.227,86.53,179.53,0.147512386,2.708,9.32,3.03E-07,3.66E-07,9.85E-07
4302.5,8.75,82.357,73.639,2.73,77.5,0.184,2.457,3.16,0.148,0.214,86.38,176.54,0.136767086,2.708,9.589,1.21E-07,5.88E-07,3.84E-07
4303,8.72,79.302,71.462,3.11,77.695,0.169,2.476,3.3,0.137,0.195,89.2,180.17,0.128319228,2.707,9.442,1.38E-07,1.91E-05,4.75E-06
4303.5,8.73,77.794,70.604,3.2,77.578,0.169,2.488,3.34,0.13,0.201,92.77,188.97,0.13695113,2.706,9.012,1.55E-07,2.34E-05,0
4304,8.75,80.222,73.84,2.91,77.5,0.175,2.478,3.28,0.136,0.207,95.36,194.59,0.147095568,2.705,8.731,1.71E-07,1.69E-05,0
4304.5,8.73,85.132,78.518,2.75,77.684,0.197,2.466,3.16,0.142,0.239,95.96,194.19,0.152681399,2.712,8.388,1.88E-07,1.05E-05,2.29E-06
