DEPT,CAL_N,SGR_N,CGR_N,RESDEEP_N,SP_N,POR_N,RHOB_N,PE_N,DPHI_N,NPHI_N,DTC_N,DTS_N,TCMR,RHOMAA_N,UMAA_N,K_GD_N,K_SDR_N,K_TIM_N
3858.5,12.32,121.337,109.815,1.46,38.75,0.279,2.52,3.26,0.111,0.378,109.13,251.07,0.177,2.759,8.23,0.05809662,7.031994711,0.18993028
3859,12.34,121.668,111.98,1.36,38.75,0.282,2.503,3.14,0.121,0.38,111.4,254.1,0.185,2.756,7.976,0.064333205,9.313280428,0.345650035
3859.5,12.35,120.202,110.75,1.33,39.338,0.275,2.488,3.03,0.13,0.367,112.86,259.65,0.187,2.75,7.756,0.070569789,9.893592197,0.357332187
3860,12.34,118.925,109.719,1.27,39.375,0.29,2.47,3.01,0.141,0.385,113.48,266.76,0.182,2.743,7.763,0.076806374,8.431906092,0.214395005
3860.5,12.32,118.325,107.545,1.19,39.375,0.287,2.465,3.02,0.143,0.379,114.15,268.93,0.166,2.737,7.832,0.077682689,5.362565121,0.085167737
3861,12.31,118.188,107.477,1.22,39.375,0.277,2.469,3.01,0.141,0.365,115.27,269.23,0.175,2.734,7.913,0.078559005,6.897760674,0.012494884
3861.5,12.24,118.599,104.614,1.13,39.375,0.267,2.472,2.97,0.139,0.351,116.98,272.02,0.187,2.728,7.829,0.07943532,9.293385014,0
3862,12.3,117.454,100.193,1.07,39.375,0.287,2.468,2.91,0.141,0.38,118.28,275.64,0.189,2.736,7.497,0.080311635,9.611847878,0
3862.5,12.27,116.826,99.404,1.07,39.375,0.301,2.451,2.85,0.152,0.398,119.18,279.2,0.183,2.746,7.231,0.081187951,8.52587687,0.014383856
3863,12.28,112.89,95.665,1.01,39.375,0.314,2.425,2.81,0.167,0.411,118.76,284.12,0.197,2.749,7.238,0.088024476,13.16748287,0.419814996
3863.5,12.28,110.625,91.618,0.93,39.805,0.303,2.406,2.78,0.178,0.39,117.57,275.94,0.202,2.741,7.576,0.094861001,15.10422291,0.291499743
3864,12.28,110.834,88.084,0.89,40.147,0.284,2.396,2.78,0.184,0.358,120.32,267.76,0.207,2.731,7.745,0.101697525,16.45990904,0.169768026
3864.5,12.24,112.841,86.785,0.86,40,0.267,2.388,2.79,0.189,0.326,120.12,272.04,0.212,2.725,7.58,0.10853405,17.33328138,0.182932096
3865,12.02,114.514,88.449,0.85,40.469,0.271,2.375,2.8,0.196,0.33,120.03,278.42,0.208,2.733,7.112,0.115370575,14.8591432,0.241803289
3865.5,12.22,115.511,87.184,0.8,41.016,0.296,2.355,2.75,0.208,0.363,120.59,280.89,0.22,2.735,7.021,0.117118971,18.09675887,0.07136994
3866,12.3,117.826,86.355,0.79,41.25,0.303,2.341,2.66,0.216,0.37,121.24,284.8,0.232,2.75,7.014,0.118867368,25.00483135,0.340083209
3866.5,12.33,123.653,92.367,0.75,41.641,0.297,2.329,2.58,0.223,0.356,122.09,292.94,0.236,2.743,7.286,0.120615764,27.62901519,0.467089935
3867,12.32,124.137,93.225,0.75,43.359,0.277,2.328,2.56,0.224,0.322,120.41,299.2,0.229,2.745,7.179,0.12236416,24.2510565,0.430895752
3867.5,12.31,123.161,93.838,0.84,44.522,0.276,2.337,2.6,0.218,0.324,113.89,292.13,0.216,2.734,7.224,0.124112556,18.12936217,0.196777196
3868,12.3,121.24,89.632,1.08,46.406,0.263,2.352,2.63,0.209,0.308,115.88,285.07,0.186,2.732,7.161,0.231064731,8.533016668,0.015139762
3868.5,12.3,128.184,93.058,1.18,49.485,0.262,2.372,2.61,0.198,0.314,109.75,271.8,0.184,2.718,7.254,0.338016905,11.82188126,0.276441574
3869,12.31,129.197,90.434,1.39,52.383,0.264,2.382,2.58,0.191,0.321,106.55,249.14,0.182,2.702,7.127,0.444969079,22.15002486,2.188652328
3869.5,12.28,111.014,78.691,1.75,57.852,0.252,2.379,2.53,0.194,0.299,97.04,224.95,0.17,2.689,6.959,0.551921253,28.36321414,6.054550749
3870,12.24,82.604,59.987,2.89,62.831,0.226,2.367,2.49,0.201,0.249,86.17,192.73,0.162,2.681,6.64,0.658873427,32.8113234,7.479386416
3870.5,12.05,60.186,43.544,4.71,65.547,0.199,2.357,2.41,0.206,0.191,84.24,146.39,0.173,2.678,6.427,8.063884708,43.88566404,7.57836368
3871,12.08,53.725,38.511,7.33,68.359,0.201,2.34,2.3,0.216,0.184,87.03,143.25,0.185,2.676,6.296,15.46889599,53.75822233,7.128420651
3871.5,12.07,51.937,39.58,7.63,70.156,0.211,2.312,2.23,0.233,0.185,92.9,148.44,0.197,2.677,6.371,22.87390727,77.10138384,9.264287764
3872,12.09,49.878,36.441,6.52,71.544,0.223,2.285,2.2,0.249,0.193,94.79,160.56,0.207,2.679,6.507,30.27891855,108.5828267,13.25607501
3872.5,12.07,49.595,35.316,7.53,72.813,0.231,2.277,2.19,0.254,0.206,94.28,172.1,0.208,2.682,6.649,37.68392983,116.2543319,15.47250861
3873,12.05,51.359,38.324,8.17,73.75,0.233,2.281,2.18,0.251,0.214,93.04,177.51,0.203,2.694,6.779,30.2225298,98.36921845,15.3999605
3873.5,12.03,53.554,40.861,8.99,73.75,0.229,2.297,2.22,0.242,0.216,90.81,174.2,0.19,2.703,6.779,22.76112976,66.6036304,10.63278062
3874,12.02,55.744,43.423,8.94,73.164,0.217,2.321,2.33,0.228,0.206,88.59,175.24,0.175,2.711,6.819,15.29972973,38.22107123,5.01411901
3874.5,12.02,60.642,50.301,8.69,71.728,0.209,2.355,2.44,0.208,0.211,89.71,179.39,0.163,2.705,6.772,7.83832969,22.84390683,1.876804144
3875,12.07,67.269,57.368,9.88,69.922,0.207,2.373,2.48,0.197,0.216,91.94,178.15,0.167,2.701,6.69,0.376929655,21.08311253,0.841444213
3875.5,12.22,70.567,60.397,8.05,68.867,0.211,2.373,2.44,0.197,0.224,94.08,178.31,0.181,2.695,6.561,3.102899977,31.6956957,0.970047398
3876,12.2,62.168,53.334,6.42,69.596,0.212,2.36,2.38,0.205,0.22,94.37,176.71,0.194,2.693,6.406,5.828870299,50.36321728,1.319680066
3876.5,12.07,54.191,47.95,4.96,70,0.214,2.347,2.33,0.213,0.215,93.37,174.8,0.196,2.685,6.207,8.55484062,62.64312018,2.373753723
3877,12.06,50.333,45.346,5.06,70,0.218,2.332,2.31,0.221,0.214,93.71,174.21,0.186,2.68,6.038,11.28081094,58.91059192,4.014722436
3877.5,12.11,53.098,50.558,5.34,70,0.224,2.314,2.3,0.231,0.216,94.16,173.77,0.176,2.675,5.95,14.00678126,48.26921016,3.814677822
3878,12.2,52.632,52.031,8.44,69.522,0.234,2.297,2.31,0.242,0.226,94.08,175.16,0.181,2.684,6.014,11.23676767,49.10685042,2.078395335
3878.5,12.09,56.023,56.858,5.31,68.125,0.234,2.294,2.34,0.243,0.225,93.05,178.91,0.183,2.689,6.074,8.466754084,42.03813098,0.807978597
3879,12.07,61.418,62.171,4.26,65.703,0.233,2.308,2.37,0.235,0.23,92.68,181.17,0.183,2.694,5.998,5.696740494,36.00313411,0.214395005
3879.5,12.22,70.579,72.089,6.83,63.199,0.222,2.337,2.38,0.218,0.227,93.41,182.97,0.18,2.688,6.021,2.926726905,31.05877878,0.070945689
3880,12.32,74.485,73.84,12.78,59.883,0.216,2.354,2.35,0.208,0.223,94.54,184.84,0.165,2.687,6.118,0.156713315,20.63764893,0.117487468
3880.5,12.42,75.588,74.155,10.75,57.969,0.215,2.356,2.3,0.207,0.222,96.14,186.56,0.166,2.694,6.221,0.146748756,21.82187544,0.121975958
3881,12.39,74.721,71.633,7.92,56.581,0.214,2.351,2.26,0.21,0.217,96.45,189,0.165,2.704,6.286,0.136784197,20.58395298,0.083576608
3881.5,12.39,75.464,72.244,7.38,55,0.216,2.359,2.23,0.205,0.226,95.37,191.55,0.165,2.713,6.227,0.126819638,20.06802614,0.05402398
3882,12.39,77.388,73.116,5.77,54.57,0.206,2.371,2.23,0.198,0.212,93.91,189.8,0.164,2.704,6.312,0.116855079,19.02755669,0.05402398
3882.5,12.36,80.066,72.313,5.72,53.008,0.203,2.378,2.24,0.194,0.213,92.79,183.58,0.161,2.696,6.436,0.106890521,16.14261829,0.182861403
3883,12.3,82.767,73.238,6.12,51.641,0.196,2.383,2.25,0.191,0.201,92.67,180.01,0.152,2.687,6.672,0.105522341,12.70739529,0.231582738
3883.5,12.32,86.376,75.759,5.77,50.882,0.197,2.391,2.25,0.186,0.207,92.6,179.62,0.144,2.69,6.849,0.104154161,9.597916409,0.304846673
3884,12.33,87.645,76.249,5.27,50.078,0.192,2.4,2.26,0.181,0.201,92.27,181.93,0.138,2.692,6.847,0.102785982,7.667954326,0.268080895
3884.5,12.33,89.266,77.565,4.76,49.805,0.193,2.407,2.28,0.177,0.208,91.8,182.59,0.135,2.694,6.702,0.101417802,6.529107918,0.157922627
3885,12.34,85.422,73.928,4.5,49.669,0.191,2.412,2.3,0.174,0.206,91.29,180.33,0.134,2.693,6.395,0.100049622,5.94310576,0.081628729
3885.5,12.34,81.747,69.401,4.34,49.414,0.194,2.414,2.32,0.173,0.213,90.84,177.81,0.135,2.689,6.117,0.107830926,6.335910934,0.06298986
3886,12.32,75.164,63.133,4.94,49.102,0.19,2.412,2.33,0.174,0.204,90.4,175.84,0.137,2.683,6.003,0.11561223,7.031268688,0.046808201
3886.5,12.31,72.745,60.092,4.95,48.906,0.187,2.409,2.33,0.176,0.198,90.35,175.15,0.137,2.697,5.929,0.123393534,7.504556858,0.046808201
3887,12.33,70.208,56.828,6.27,48.32,0.186,2.41,2.31,0.175,0.196,90.65,174.35,0.136,2.712,5.965,0.131174839,7.867062824,0.085451006
3887.5,12.34,68.599,57.141,5.36,48.051,0.184,2.408,2.3,0.176,0.191,91.01,173.71,0.135,2.713,6.232,0.138956143,8.033361242,0.131037953
3888,12.35,68.585,56.746,4.12,47.656,0.186,2.409,2.31,0.176,0.195,91.34,173.81,0.139,2.695,6.564,0.118470742,8.965961814,0.232841842
3888.5,12.34,70.68,58.704,4.63,46.953,0.181,2.405,2.33,0.178,0.185,91.22,173.82,0.14,2.693,6.571,0.097985341,8.678836226,0.23799165
3889,12.33,72.793,59.506,5.04,46.324,0.174,2.416,2.34,0.172,0.177,90.79,174.7,0.136,2.693,6.402,0.07749994,6.939412673,0.137079806
3889.5,12.33,75.666,60.782,4.62,46.016,0.169,2.436,2.35,0.16,0.176,90.24,175.4,0.129,2.697,6.337,0.057014539,3.825751878,0.013219542
3890,12.33,80.614,63.684,4.08,45.43,0.164,2.459,2.39,0.147,0.179,89.72,174.39,0.119,2.699,6.322,0.036529138,1.821127965,0
3890.5,12.31,88.7,68.043,3.11,45.037,0.164,2.475,2.44,0.138,0.187,89.73,173.53,0.129,2.7,6.466,0.038771034,2.052434781,0
3891,12.33,96.038,77.72,2.71,44.844,0.171,2.479,2.49,0.135,0.2,90.48,174.59,0.14,2.701,6.572,0.041012931,2.529257407,0
3891.5,12.33,100.101,80.244,2.61,44.375,0.174,2.481,2.52,0.134,0.207,92.34,178.53,0.147,2.705,6.758,0.043254827,2.950068456,0.007216348
3892,12.32,106.437,86.753,2.45,44.375,0.182,2.475,2.57,0.137,0.217,93.84,184.81,0.149,2.714,6.749,0.045496723,3.284373181,0.040092805
3892.5,12.33,106.726,88.481,2.04,44.336,0.18,2.474,2.59,0.138,0.215,94.09,188.24,0.145,2.713,6.866,0.047738619,2.971286512,0.078626066
3893,12.31,108.202,86.315,1.9,43.934,0.178,2.476,2.58,0.137,0.211,93.28,188.66,0.144,2.703,7.044,0.047660368,2.850596548,0.036059966
3893.5,12.32,104.305,84.491,1.87,44.258,0.177,2.489,2.54,0.129,0.215,94.17,186.14,0.143,2.708,7.071,0.047582117,2.512171461,0.006616143
3894,12.31,103.255,81.851,1.95,44.609,0.183,2.488,2.51,0.13,0.223,95.07,188.67,0.141,2.71,7.095,0.047503866,2.213474255,0
3894.5,12.29,104.807,82.474,1.98,45.147,0.207,2.477,2.53,0.137,0.258,97.15,195.4,0.141,2.716,6.973,0.047425615,2.150697682,0
3895,12.29,107.585,83.17,1.78,45.625,0.219,2.454,2.54,0.15,0.271,98.69,200.55,0.144,2.717,6.993,0.047347364,2.45611192,0
3895.5,12.3,108.385,84.667,1.77,46.25,0.214,2.446,2.55,0.155,0.259,97.01,203.32,0.148,2.707,7.299,0.04584769,3.247120255,0.038444568
3896,12.3,101.392,79.034,2.13,47.422,0.19,2.449,2.54,0.153,0.221,92.09,191.86,0.143,2.706,7.601,0.044348016,3.22693095,0.099792033
3896.5,12.27,90.291,69.712,2.52,48.824,0.171,2.463,2.55,0.144,0.194,88.94,183.21,0.134,2.707,7.76,0.042848342,2.61626047,0.125180901
3897,12.27,80.357,62.407,2.8,50.703,0.164,2.477,2.56,0.136,0.187,88.36,172.87,0.124,2.71,7.894,0.041348669,2.000387452,0.118927596
3897.5,12.26,77.965,60.717,3.98,51.563,0.157,2.489,2.56,0.129,0.181,88.35,170.79,0.119,2.712,7.859,0.039848995,1.840347395,0.089098139
3898,12.27,77.432,61.654,4.12,53.008,0.159,2.489,2.55,0.13,0.184,90.16,172.92,0.128,2.712,7.778,0.068683939,2.94326687,0.090186764
3898.5,12.27,78.689,65.722,3.61,55.938,0.162,2.479,2.55,0.135,0.186,92.14,173.47,0.135,2.709,7.558,0.097518884,4.825597964,0.362493481
3899,12.24,77.226,67.332,3.19,57.941,0.175,2.465,2.56,0.143,0.203,93.21,172.46,0.144,2.707,7.314,0.126353828,8.534412822,1.299457356
3899.5,12.09,74.247,64.635,3.22,59.414,0.183,2.445,2.57,0.155,0.208,93.23,170.28,0.154,2.703,7.11,0.155188772,14.53429887,2.940264148
3900,12.09,70.865,63.107,4.91,61.289,0.192,2.423,2.53,0.168,0.214,92.28,168.76,0.166,2.696,7.025,0.184023716,23.55087983,4.564171795
3900.5,12.04,66.591,61.916,6.45,62.422,0.193,2.4,2.47,0.181,0.204,91.35,167.61,0.171,2.697,6.91,0.168859844,27.06953323,4.500119469
3901,12,65.893,62.149,5.4,63.088,0.197,2.391,2.44,0.187,0.207,91.25,167.04,0.169,2.697,7.005,0.153695972,25.87899043,4.02677673
3901.5,12.08,66.431,62.157,4.73,63.477,0.193,2.39,2.43,0.187,0.2,91.51,166.63,0.165,2.701,7.173,0.138532099,22.3190775,3.36313789
3902,12.09,67.595,61.604,5.27,63.75,0.197,2.392,2.45,0.186,0.207,92.2,166.27,0.164,2.702,7.233,0.123368227,21.11791564,3.308148271
3902.5,12.09,67.373,60.641,5.44,63.75,0.193,2.391,2.47,0.187,0.2,91.98,166.99,0.167,2.7,7.014,0.108204354,19.12263044,2.516708277
3903,12.08,68.8,63.139,5.71,63.75,0.196,2.387,2.48,0.189,0.203,92.09,169.25,0.166,2.692,6.586,0.088986938,13.64245703,1.455438902
3903.5,12.04,72.645,65.27,6.99,63.75,0.196,2.388,2.43,0.189,0.203,91.6,170.62,0.151,2.684,6.152,0.069769523,6.524243247,0.452079574
3904,12.08,78.242,70.399,9.29,64.102,0.193,2.404,2.32,0.179,0.207,90.41,170.62,0.131,2.681,5.942,0.050552107,2.535765161,0.07611707
3904.5,12.19,84.515,71.524,8.14,64.648,0.184,2.427,2.21,0.166,0.201,88.61,166.36,0.113,2.681,5.831,0.031334691,1.22841249,0.009196326
3905,12.23,84.347,71.813,8.17,65.257,0.174,2.44,2.15,0.158,0.189,86.48,159.99,0.108,2.683,5.89,0.012117275,1.165171533,0.022353527
3905.5,12.09,83.378,70.196,8.84,66.445,0.168,2.44,2.15,0.158,0.177,85.73,158.66,0.115,2.684,5.88,0.016731303,2.032366481,0.1343631
3906,12.11,83.752,67.591,11.71,67.031,0.16,2.451,2.17,0.152,0.168,85.35,157.84,0.116,2.683,5.888,0.021345332,2.266347359,0.231530477
3906.5,12.15,87.046,69.132,10.47,68.398,0.16,2.459,2.18,0.147,0.171,86.29,155.62,0.11,2.683,5.842,0.025959361,1.663818591,0.155347602
3907,12.16,89.953,72.34,8.6,69.706,0.166,2.457,2.19,0.148,0.182,87.28,154.5,0.102,2.68,5.749,0.03057339,1.110015697,0.046370147
3907.5,12.18,88.983,72.225,7.97,71.25,0.179,2.431,2.21,0.163,0.194,87.02,151.75,0.103,2.684,5.732,0.035187418,1.165826867,0.01929924
3908,12.13,84.878,72.111,10.51,73.594,0.182,2.416,2.26,0.172,0.191,86.71,151.25,0.12,2.68,5.83,1.602339835,3.561206567,0.130757408
3908.5,12.04,84.101,70.719,17.66,75.625,0.185,2.41,2.31,0.176,0.195,87.36,152.42,0.139,2.68,5.941,3.169492252,10.1979407,1.28233067
3909,11.96,80.045,66.169,21.5,77.148,0.195,2.399,2.34,0.182,0.207,88.14,151.15,0.15,2.676,5.92,4.736644668,18.82818496,4.232212641
3909.5,11.91,80.499,66.683,5.04,79.258,0.207,2.377,2.34,0.195,0.218,87.66,149.07,0.154,2.675,5.875,6.303797085,26.19095879,8.483302736
3910,11.85,75.166,64.627,5.54,81.406,0.206,2.37,2.35,0.199,0.214,85.34,148.19,0.158,2.687,5.744,7.870949502,31.56375248,11.30470046
3910.5,11.84,74.165,65.096,10.29,82.852,0.193,2.383,2.35,0.191,0.196,82.73,144.74,0.172,2.69,5.789,8.053085652,47.46901842,14.67715928
3911,11.83,69.122,62.195,8.83,84.338,0.184,2.392,2.35,0.186,0.183,80.99,140.31,0.186,2.677,6.009,8.235221802,60.23003714,14.48264525
3911.5,11.96,63.19,59.605,8.42,85.391,0.182,2.389,2.34,0.188,0.176,80.36,137.01,0.188,2.68,6.141,8.417357953,57.29676598,12.90139562
3912,11.88,57.498,56.225,9.01,87.07,0.181,2.385,2.32,0.19,0.172,79.58,134.69,0.178,2.68,6.138,8.599494103,43.80885334,10.50954802
3912.5,11.89,53.5,53.602,8.89,88.75,0.178,2.392,2.29,0.186,0.17,78.86,135.17,0.169,2.681,6.191,8.781630254,37.91526374,8.60086238
3913,11.92,54.047,53.191,17.34,89.853,0.172,2.392,2.27,0.186,0.157,79.21,136.21,0.163,2.684,6.369,7.067084253,33.82494822,8.545751876
3913.5,11.96,52.785,47.596,13.88,90.898,0.176,2.382,2.25,0.192,0.16,79.93,135.56,0.159,2.69,6.68,5.352538253,28.45848202,5.977761185
3914,11.98,58.975,53.02,12.15,91.602,0.173,2.381,2.3,0.192,0.152,81.18,136.23,0.154,2.694,6.852,3.637992252,23.19978551,3.413643249
3914.5,11.98,66.854,60.569,10.63,91.25,0.174,2.395,2.43,0.184,0.164,81.61,138.36,0.149,2.694,6.764,1.923446252,17.11044156,1.430120021
3915,11.96,79.292,69.6,10.05,90.919,0.174,2.408,2.56,0.177,0.171,82.36,140.65,0.147,2.687,6.696,0.208900251,12.90291961,0.530678449
3915.5,11.99,88.546,75.399,22.65,90.234,0.18,2.411,2.62,0.175,0.185,81.85,142.35,0.145,2.685,6.569,0.169529313,9.037840179,0.354526679
3916,12,96.701,82.432,19.06,89.449,0.182,2.423,2.58,0.168,0.195,81.68,144.98,0.134,2.694,6.45,0.130158376,5.221794992,0.482764943
3916.5,12.08,101.604,85.469,15.42,88.75,0.177,2.449,2.52,0.153,0.198,82.66,149.2,0.117,2.705,6.327,0.090787438,2.568796706,0.54726649
3917,12.18,104.258,86.565,15,88.516,0.172,2.482,2.46,0.134,0.204,83.73,155.59,0.101,2.704,6.242,0.0514165,1.298950719,0.574957503
3917.5,12.19,115.362,94.031,15.9,88.125,0.17,2.508,2.41,0.118,0.209,83.57,156.66,0.094,2.691,6.124,0.012045562,0.980811936,0.594512293
3918,12.22,122.084,97.552,12.3,88.198,0.163,2.527,2.35,0.107,0.204,83.11,154.3,0.104,2.688,5.971,2.665162607,2.352739326,2.653311073
3918.5,12.2,127.836,102.494,6.67,89.063,0.16,2.541,2.3,0.099,0.204,82.23,145.12,0.125,2.687,6.062,5.318279653,8.820985916,14.49619679
3919,12.18,116.705,97.402,5.37,90.117,0.16,2.521,2.26,0.111,0.197,82.01,138.81,0.144,2.688,5.854,7.971396699,25.33838505,44.10447795
3919.5,12.08,98.011,81.045,10.34,92.109,0.17,2.468,2.22,0.141,0.194,82.76,137.38,0.16,2.679,5.585,10.62451374,49.04208798,61.53339325
3920,11.97,76.759,63.531,12.69,94.375,0.183,2.397,2.16,0.183,0.184,82.72,137.19,0.178,2.667,5.328,13.27763079,78.62062525,49.21556184
3920.5,11.92,61.973,51.933,15.76,95.977,0.2,2.347,2.1,0.213,0.188,82.68,138.82,0.18,2.664,5.292,22.1891205,77.26634682,32.27746459
3921,11.99,56.748,48.944,11.06,97.461,0.211,2.326,2.09,0.225,0.196,82.46,142.14,0.18,2.671,5.368,31.1006102,83.32686718,35.9406399
3921.5,11.95,55.53,48.661,8.56,98.64,0.221,2.32,2.1,0.228,0.213,83.43,143.91,0.181,2.682,5.349,40.01209991,88.9813603,48.4431344
3922,11.95,54.409,47.648,9.55,99.609,0.222,2.316,2.12,0.23,0.212,84.13,144.36,0.186,2.682,5.354,48.92358961,105.6549096,69.60958985
3922.5,11.95,53.842,46.085,13.17,100.352,0.228,2.31,2.14,0.234,0.222,84.6,143.47,0.193,2.672,5.517,57.83507932,127.3731729,87.36537619
3923,11.96,51.917,44.55,25.81,101.367,0.228,2.301,2.16,0.239,0.215,84.11,142.55,0.195,2.671,5.619,54.15175445,131.3011014,97.03824801
3923.5,11.97,50.783,45.611,19.4,101.875,0.229,2.297,2.14,0.242,0.216,83.74,142.72,0.194,2.673,5.613,50.46842959,126.0652659,114.3872046
3924,11.97,49.391,46.009,12.01,101.836,0.225,2.303,2.12,0.238,0.212,83.14,142.55,0.193,2.67,5.522,46.78510473,120.4202282,146.4232797
3924.5,11.97,49.83,48.017,11.61,101.406,0.22,2.314,2.06,0.232,0.208,83.02,141.35,0.195,2.669,5.364,43.10177986,126.7674713,189.2894363
3925,11.98,47.862,48.154,9.64,101.25,0.222,2.31,2.06,0.234,0.209,83.11,140.83,0.201,2.681,5.153,39.418455,163.307663,214.1147194
3925.5,11.97,45.588,45.98,8.89,101.133,0.226,2.3,2.07,0.24,0.212,83.73,140.83,0.209,2.679,5.204,71.60502437,206.8802395,336.8330529
3926,11.98,42.254,44.414,9.58,100.625,0.23,2.285,2.1,0.249,0.21,84.63,141.79,0.214,2.673,5.317,103.7915937,243.173685,626.7951858
3926.5,11.96,39.734,43.463,11.54,100.625,0.235,2.276,2.08,0.254,0.213,85.24,142.43,0.216,2.668,5.634,135.9781631,273.999541,850.4402126
3927,11.97,38.866,40.918,13.85,100.073,0.236,2.268,2.03,0.258,0.211,82.93,142.69,0.215,2.671,5.818,168.1647325,298.2231592,710.2844873
3927.5,11.97,36.256,39.205,8.52,99.453,0.231,2.271,1.98,0.257,0.201,80.91,142.38,0.211,2.672,5.949,200.3513018,305.3362991,499.3172759
3928,11.97,36.663,40.319,4.59,98.516,0.221,2.28,1.95,0.252,0.185,79.36,139.21,0.211,2.674,5.973,170.0371854,340.3041136,709.9478561
3928.5,11.93,36.372,39.055,6.67,97.573,0.214,2.288,1.97,0.247,0.176,79.32,136.12,0.202,2.678,6.091,139.723069,335.6133844,1628.098405
3929,11.91,35.918,34.967,11.71,96.25,0.214,2.294,2.01,0.243,0.179,79.95,135.32,0.194,2.681,6.263,109.4089526,274.6050228,3128.166201
3929.5,11.92,35.741,32.515,16.77,94.844,0.224,2.294,2.06,0.243,0.203,80.13,136.52,0.19,2.681,6.308,79.09483616,210.3470432,639.8623022
3930,11.93,38.896,32.864,20.54,93.603,0.226,2.292,2.1,0.244,0.207,80.75,141.94,0.187,2.68,6.223,48.78071974,110.9456046,88.71853637
3930.5,11.93,48.421,38.862,10.55,91.641,0.218,2.305,2.17,0.237,0.198,83.98,150.37,0.186,2.676,5.926,39.84122896,71.28060061,27.23559418
3931,11.95,68.976,53.909,9.05,90.117,0.199,2.356,2.28,0.207,0.191,85.59,153.97,0.185,2.674,5.67,30.90173817,54.50463462,15.86728846
3931.5,12.03,80.571,60.686,6.61,87.852,0.194,2.411,2.34,0.175,0.211,84.42,155.92,0.18,2.678,5.375,21.96224739,47.01318626,12.05207882
3932,12.16,78.583,59.115,13.2,86.544,0.195,2.437,2.3,0.16,0.225,81.11,148.17,0.168,2.675,5.398,13.02275661,35.69884532,8.817048242
3932.5,12.02,63.915,49.237,9.32,85.039,0.183,2.418,2.15,0.171,0.195,77.69,139.26,0.149,2.67,5.607,4.083265823,19.38367523,4.163259684
3933,12.07,58.317,44.44,10.93,82.07,0.165,2.409,2.05,0.176,0.154,77.01,135.9,0.132,2.674,6.051,3.27438064,8.030699653,0.953046569
3933.5,12.07,66.562,50.452,10.69,80.073,0.152,2.436,2.06,0.16,0.145,77.55,135.86,0.119,2.683,6.462,2.465495457,3.522539667,0.201129866
3934,12.15,76.868,60.544,10.56,76.875,0.143,2.47,2.18,0.14,0.145,78.42,140.2,0.115,2.691,6.717,1.656610273,1.884833082,0.027162388
3934.5,12.15,92.427,73.748,8.67,73.047,0.135,2.512,2.33,0.116,0.152,80.27,151.71,0.117,2.698,6.677,0.84772509,1.368810736,0
3935,12.23,109.367,88.236,8.24,71.914,0.135,2.55,2.48,0.094,0.166,81.06,155.25,0.119,2.703,6.721,0.038839907,1.217239641,0
3935.5,12.35,122.824,99.34,9.05,70.039,0.156,2.591,2.58,0.07,0.209,81.62,156.74,0.13,2.705,6.714,0.039202373,2.616725882,0.013877861
3936,12.36,125.931,105.933,8.03,68.516,0.171,2.604,2.63,0.062,0.234,81.47,155.49,0.134,2.697,6.698,0.03956484,4.875150713,0.131037953
3936.5,12.34,119.084,100.114,6.28,68.125,0.178,2.591,2.63,0.07,0.242,80.78,147.01,0.132,2.686,6.7,0.039927306,5.982373187,0.554602842
3937,12.28,106.72,87.297,5.43,68.235,0.164,2.564,2.58,0.086,0.216,80.12,141.95,0.125,2.684,6.725,0.040289772,5.224693991,1.116446524
3937.5,12.28,95.118,76.713,7.76,68.516,0.16,2.518,2.51,0.112,0.196,79.64,137.48,0.116,2.697,6.902,0.040652239,3.784040721,0.999065986
3938,12.12,89.646,71.419,8.88,67.891,0.154,2.487,2.43,0.131,0.174,79.08,136.04,0.108,2.725,7.352,0.035205165,2.664405073,0.578972056
3938.5,12.12,91.624,70.688,19.39,67.5,0.155,2.474,2.45,0.138,0.17,78.08,136.91,0.103,2.749,8.329,0.029758092,2.237564437,0.693088294
3939,12.14,90.815,71.469,13.42,67.5,0.147,2.499,2.6,0.123,0.167,76.86,136.27,0.096,2.772,9.418,0.024311018,1.380068883,0.437132951
3939.5,12.17,85.865,65.145,7.58,67.266,0.141,2.535,2.91,0.102,0.171,75.36,136.64,0.087,2.782,9.863,0.018863944,0.602159895,0.089005422
3940,12.13,83.378,61.874,8.24,66.484,0.14,2.591,3.16,0.07,0.185,74.59,136.26,0.078,2.77,9.269,0.013416871,0.242061167,0.01208434
3940.5,12.24,86.346,63.595,9.12,65.43,0.135,2.629,3.16,0.047,0.185,74.9,135.5,0.075,2.747,8.072,0.012706464,0.141843393,0.000870254
3941,12.26,92.077,69.484,7.45,64.154,0.13,2.641,2.9,0.04,0.179,75.5,135.81,0.075,2.72,7.441,0.011996056,0.123457645,0
3941.5,12.31,97.552,69.942,7.29,62.969,0.114,2.624,2.68,0.05,0.153,76,137.28,0.074,2.718,7.479,0.011285649,0.11192492,0
3942,12.29,103.334,75.01,7.68,62.227,0.115,2.618,2.66,0.054,0.154,76.03,139.91,0.072,2.726,7.96,0.010575242,0.099106051,0
3942.5,12.3,107.429,80.108,8.45,61.875,0.111,2.632,2.8,0.046,0.149,76,141.06,0.074,2.742,8.127,0.009864835,0.117100035,0
3943,12.3,109.515,82.868,6.93,61.836,0.112,2.636,2.93,0.044,0.152,75.67,141.28,0.088,2.744,7.955,0.01054584,0.346282049,0.028737176
