DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE,K_GD_N_PRE
3098.5,8.38,0.25,103.54,112.38,0.339,3.83,0.298,3.59,1.442,2.282,102.9,17281.01777,0.261656284
3099,8.42,0.248,104.02,102.18,0.323,3.82,0.288,3.57,1.445,2.286,103.12,17083.54033,0.187240317
3099.5,8.43,0.244,104.73,126.94,0.327,3.78,0.289,3.71,1.465,2.293,103.44,16886.06289,0.150122672
3100,8.42,0.243,105.49,124.1,0.333,3.67,0.291,3.81,1.484,2.295,103.4,16688.58545,0.164110631
3100.5,8.42,0.241,105.88,143.76,0.348,3.61,0.299,3.95,1.511,2.297,103.75,16491.10801,0.042415824
3101,8.41,0.242,105.93,158.5,0.339,3.65,0.295,3.9,1.505,2.296,104.14,16293.63057,0.115107991
3101.5,8.42,0.242,105.54,144.14,0.348,3.71,0.3,3.84,1.5,2.296,104.18,16096.15313,0.038376711
3102,8.43,0.241,105.04,135.06,0.289,3.77,0.266,3.82,1.491,2.299,104.02,15898.67568,0.10181541
3102.5,8.43,0.238,104.81,133.55,0.272,3.78,0.256,3.82,1.481,2.303,103.75,15701.19824,0.108119667
3103,8.46,0.235,104.79,132.42,0.318,3.78,0.28,3.77,1.479,2.308,103.79,14880.22965,0.062853031
3103.5,8.42,0.231,104.59,133.55,0.311,3.78,0.274,3.51,1.448,2.315,103.4,14059.26107,0.053652018
3104,8.37,0.227,104.52,127.13,0.321,3.78,0.278,3.27,1.4,2.321,103.48,13238.29248,0.038221326
3104.5,8.39,0.229,104.32,111.34,0.341,3.78,0.29,3.44,1.417,2.319,103.12,12417.32389,0.156691283
3105,8.42,0.236,103.54,102.93,0.324,3.78,0.283,3.55,1.451,2.307,102.81,11596.35531,0.206606925
3105.5,8.41,0.24,103.34,96.13,0.306,3.78,0.275,3.75,1.469,2.3,102.66,10775.38672,0.156686202
3106,8.42,0.241,103.44,115.78,0.325,3.78,0.286,3.68,1.476,2.299,103.12,12201.06445,0.211218879
3106.5,8.41,0.24,104.24,102.55,0.327,3.78,0.287,3.66,1.483,2.3,102.81,13626.74219,0.200700507
3107,8.4,0.237,104.69,112.86,0.316,3.78,0.279,3.62,1.48,2.304,102.5,15052.41992,0.147328392
3107.5,8.38,0.236,104.82,109.36,0.309,3.78,0.275,3.64,1.457,2.306,102.31,16478.09766,0.142669395
3108,8.37,0.239,104.83,114.65,0.369,3.78,0.311,3.58,1.458,2.302,101.87,14262.3125,0.231719047
3108.5,8.37,0.243,104.64,104.44,0.339,3.78,0.295,3.49,1.44,2.294,101.8,12046.52734,0.198995009
3109,8.36,0.251,104.41,115.41,0.29,3.78,0.271,3.36,1.436,2.281,101.72,9830.742188,0.146638483
