UWI,Fm Name [42] (*=Aliased),Src,MD,SSTVD,TVD,Qual,Time(ms),Rpt,Sym,Hole Angle,Chg Date,Remarks,Desc
26123215020000,SundanceBase,Petrel,5123.53,-1031.53,5123.53,,,,,,,,
26123215020000,Forelle,Petrel,5132,-1040,5132,,,,,,,,
26123215020000,Minnekahta,Petrel,5158.44,-1066.44,5158.44,,,,,,,,
26123215020000,Opeche,Petrel,5181.18,-1089.18,5181.18,,,,,,,,
26123215020000,DayCrk,Petrel,5213.56,-1121.56,5213.56,,,,,,,,
26123215020000,Blaine,Petrel,5213.56,-1121.56,5213.56,,,,,,,,
26123215020000,Flowerpot_Sh,Petrel,5333.57,-1241.57,5333.57,,,,,,,,
26123215020000,Flowerpot_Anhy,Petrel,5357.76,-1265.76,5357.76,,,,,,,,
26123215020000,Lyons,Petrel,5376.86,-1284.86,5376.86,,,,,,,,
26123215020000,SaltPlain,Petrel,5478.39,-1386.39,5478.39,,,,,,,,
26123215020000,StoneCorral,Petrel,5531.46,-1439.46,5531.46,,,,,,,,
26123215020000,Wolfcamp,Petrel,5579.29,-1487.29,5579.29,,,,,,,,
26123215020000,Virgil,Petrel,6006.89,-1914.89,6006.89,,,,,,,,
26123215020000,Missouri,Petrel,6166,-2074,6166,,,,,,,,
26123215020000,Cherokee,Petrel,6367.29,-2275.29,6367.29,,,,,,,,
26123215020000,Marmaton,Petrel,6458.53,-2366.53,6458.53,,,,,,,,
26033223620000,SharonSprings,Petrel,4567.83,93.17,4567.83,,,,,,,,
26033223620000,Niobrara,Petrel,4630,31,4630,,,,,,,,
26033223620000,FtHays,Petrel,4908,-247,4908,,,,,,,,
26033223620000,Graneros,Petrel,5168.44,-507.44,5168.44,,,,,,,,
26033223620000,Mowry,Petrel,5335,-674,5335,,,,,,,,
26033223620000,D_Sand,Petrel,5446.18,-785.18,5446.18,,,,,,,,
26033223620000,Huntsman,Petrel,5527.89,-866.89,5527.89,,,,,,,,
26033223620000,J_Sand,Petrel,5581.42,-920.42,5581.42,,,,,,,,
26033223620000,SkullCreek_Sh,Petrel,5643.41,-982.41,5643.41,,,,,,,,
26033223620000,Lakota_U,Petrel,5815.28,-1154.28,5815.28,,,,,,,,
26033223620000,Lakota_L,Petrel,5922.35,-1261.35,5922.35,,,,,,,,
26033223620000,Morrison,Petrel,5998.42,-1337.42,5998.42,,,,,,,,
26033223620000,Jurassic_L,Petrel,6131.15,-1470.15,6131.15,,,,,,,,
26033223620000,SundanceBase,Petrel,6167.91,-1506.91,6167.91,,,,,,,,
26033223620000,Forelle,Petrel,6215.37,-1554.37,6215.37,,,,,,,,
26033223620000,Minnekahta,Petrel,6260.31,-1599.31,6260.31,,,,,,,,
26033223620000,Minnekahta,Petrel,6260.31,-1599.31,6260.31,,,,,,,,
26033223620000,Opeche,Petrel,6432.33,-1771.33,6432.33,,,,,,,,
26033223620000,DayCrk,Petrel,6466.57,-1805.57,6466.57,,,,,,,,
26033223620000,Blaine,Petrel,6466.57,-1805.57,6466.57,,,,,,,,
26033223620000,Flowerpot_Sh,Petrel,6643.65,-1982.65,6643.65,,,,,,,,
26033223620000,Flowerpot_Anhy,Petrel,6663.25,-2002.25,6663.25,,,,,,,,
26033223620000,Lyons,Petrel,6677.46,-2016.46,6677.46,,,,,,,,
26033223620000,SaltPlain,Petrel,6747.9,-2086.9,6747.9,,,,,,,,
26033223620000,StoneCorral,Petrel,6831.85,-2170.85,6831.85,,,,,,,,
26033223620000,Wolfcamp,Petrel,6877.51,-2216.51,6877.51,,,,,,,,
26033223620000,Virgil,Petrel,7345,-2684,7345,,,,,,,,
26033223620000,Missouri,Petrel,7526,-2865,7526,,,,,,,,
26033223620000,Atoka,Petrel,7932,-3271,7932,,,,,,,,
26033223620000,Cherokee,Petrel,7885,-3224,7885,,,,,,,,
26123215380000,SharonSprings,Petrel,3092.72,617.28,3092.72,,,,,,,,
26123215380000,Niobrara,Petrel,3129.75,580.25,3129.75,,,,,,,,
26123215380000,FtHays,Petrel,3400.51,309.49,3400.51,,,,,,,,
26123215380000,Codell,Petrel,3435.08,274.92,3435.08,,,,,,,,
26123215380000,Carlile,Petrel,3464.66,245.34,3464.66,,,,,,,,
26123215380000,Greenhorn,Petrel,3682.82,27.18,3682.82,,,,,,,,
26123215380000,Graneros,Petrel,3710.55,-0.55,3710.55,,,,,,,,
26123215380000,Mowry,Petrel,3858,-148,3858,,,,,,,,
26123215380000,D_Sand,Petrel,3977.54,-267.54,3977.54,,,,,,,,
26123215380000,Huntsman,Petrel,4019.69,-309.69,4019.69,,,,,,,,
26123215380000,J_Sand,Petrel,4114.11,-404.11,4114.11,,,,,,,,
26123215380000,SkullCreek_Sh,Petrel,4217.26,-507.26,4217.26,,,,,,,,
26123215380000,Lakota_U,Petrel,4322.79,-612.79,4322.79,,,,,,,,
26123215380000,Lakota_L,Petrel,4502.39,-792.39,4502.39,,,,,,,,
26123215380000,Morrison,Petrel,4613.3,-903.3,4613.3,,,,,,,,
26123215380000,Jurassic_L,Petrel,4810.89,-1100.89,4810.89,,,,,,,,
26123215380000,SundanceBase,Petrel,4889.81,-1179.81,4889.81,,,,,,,,
26123215380000,Forelle,Petrel,4935.58,-1225.58,4935.58,,,,,,,,
26123215380000,Minnekahta,Petrel,4959.84,-1249.84,4959.84,,,,,,,,
26123215380000,Opeche,Petrel,4982.14,-1272.14,4982.14,,,,,,,,
26123215380000,Blaine,Petrel,5000.55,-1290.55,5000.55,,,,,,,,
26123215380000,Flowerpot_Sh,Petrel,5155.89,-1445.89,5155.89,,,,,,,,
26123215380000,Flowerpot_Anhy,Petrel,5174.8,-1464.8,5174.8,,,,,,,,
26123215380000,Lyons,Petrel,5184.12,-1474.12,5184.12,,,,,,,,
26123215380000,SaltPlain,Petrel,5230.05,-1520.05,5230.05,,,,,,,,
26123215380000,StoneCorral,Petrel,5305.47,-1595.47,5305.47,,,,,,,,
26123215380000,Sumner,Petrel,5321.63,-1611.63,5321.63,,,,,,,,
26123215380000,Wolfcamp,Petrel,5386.51,-1676.51,5386.51,,,,,,,,
26123215380000,Virgil,Petrel,5845,-2135,5845,,,,,,,,
26123215380000,Missouri,Petrel,5924,-2214,5924,,,,,,,,
26123215380000,Atoka,Petrel,6172,-2462,6172,,,,,,,,
26123215380000,Cherokee,Petrel,6310.77,-2600.77,6310.77,,,,,,,,
26123215380000,Precambrian,Petrel,6456.8,-2746.8,6456.8,,,,,,,,
26123214870000,SharonSprings,Petrel,4151.67,314.33,4151.67,,,,,,,,
26123214870000,Niobrara,Petrel,4180,286,4180,,,,,,,,
26123214870000,FtHays,Petrel,4493.69,-27.69,4493.69,,,,,,,,
26123214870000,Graneros,Petrel,4737.85,-271.85,4737.85,,,,,,,,
26123214870000,Mowry,Petrel,4903,-437,4903,,,,,,,,
26123214870000,D_Sand,Petrel,5009.82,-543.82,5009.82,,,,,,,,
26123214870000,Huntsman,Petrel,5109.59,-643.59,5109.59,,,,,,,,
26123214870000,J_Sand,Petrel,5158.26,-692.26,5158.26,,,,,,,,
