DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE
2965.5,8.12,0.316,-999.25,66.11,0.338,4.63,0.327,1.65,2.17,-999.25,-999.25,
2966.0,8.13,0.312,-999.25,62.39,0.354,4.7,0.334,1.79,2.176,-999.25,-999.25,
2966.5,8.19,0.311,-999.25,66.0,0.327,4.76,0.319,1.92,2.178,-999.25,-999.25,
2967.0,8.2,0.311,-999.25,68.53,0.322,4.8,0.317,2.09,2.179,-999.25,-999.25,
2967.5,8.16,0.31,-999.25,77.82,0.31,4.79,0.31,2.12,2.179,-999.25,-999.25,
2968.0,8.18,0.309,-999.25,88.68,0.318,4.71,0.314,2.22,2.182,-999.25,-999.25,
2968.5,8.14,0.308,-999.25,97.15,0.344,4.61,0.326,2.43,2.183,-999.25,-999.25,
2969.0,8.15,0.308,-999.25,98.15,0.328,4.56,0.318,2.19,2.183,-999.25,-999.25,
2969.5,8.22,0.312,-999.25,95.42,0.343,4.55,0.328,2.0,2.176,-999.25,-999.25,
2970.0,8.3,0.317,-999.25,90.02,0.344,4.53,0.331,1.88,2.168,-999.25,-999.25,
2970.5,8.32,0.318,-999.25,80.57,0.371,4.51,0.346,1.64,2.166,-999.25,-999.25,
2971.0,8.28,0.311,-999.25,70.06,0.329,4.49,0.32,1.5,2.177,-999.25,-999.25,
2971.5,8.24,0.295,-999.25,63.72,0.328,4.47,0.312,1.79,2.205,-999.25,-999.25,
2972.0,8.19,0.276,-999.25,58.23,0.301,4.46,0.289,2.4,2.237,-999.25,-999.25,
2972.5,8.18,0.265,-999.25,54.47,0.258,4.49,0.262,5.0,2.257,-999.25,-999.25,
2973.0,8.24,0.269,-999.25,58.62,0.258,4.58,0.264,5.82,2.251,-999.25,-999.25,
2973.5,8.34,0.281,-999.25,76.79,0.263,4.67,0.272,2.67,2.23,-999.25,-999.25,
2974.0,8.43,0.287,-999.25,106.17,0.325,4.7,0.307,1.81,2.22,-999.25,-999.25,
2974.5,8.47,0.285,-999.25,130.26,0.385,4.73,0.339,2.17,2.222,-999.25,-999.25,
