DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE,K_GD_N_PRE
101.0,3.37,0.513,-999.25,157.19,-0.038,9.07,0.0,5.96,1.833,-999.25,-999.25,,
101.5,3.39,0.513,-999.25,145.57,-0.038,9.07,0.0,5.96,1.833,-999.25,-999.25,,
102.0,3.37,0.513,-999.25,137.49,-0.038,9.07,0.0,5.96,1.833,-999.25,-999.25,,
102.5,3.39,0.513,-999.25,142.04,-0.037,9.07,0.0,5.96,1.833,-999.25,-999.25,,
103.0,3.39,0.513,-999.25,150.13,-0.034,9.07,0.0,5.96,1.833,-999.25,-999.25,,
103.5,3.39,0.513,-999.25,149.71,-0.037,9.07,0.0,5.96,1.833,-999.25,-999.25,,
104.0,3.42,0.513,-999.25,148.61,-0.035,9.07,0.0,5.96,1.833,-999.25,-999.25,,
104.5,3.42,0.513,-999.25,158.72,-0.038,9.07,0.0,5.96,1.833,-999.25,-999.25,,
105.0,3.39,0.513,-999.25,164.67,-0.034,9.07,0.0,5.96,1.833,-999.25,-999.25,,
105.5,3.37,0.513,-999.25,151.11,-0.036,9.07,0.0,5.96,1.833,-999.25,-999.25,,
106.0,3.37,0.513,-999.25,132.41,-0.04,9.07,0.0,5.96,1.833,-999.25,-999.25,,
106.5,3.37,0.513,-999.25,137.5,-0.032,9.07,0.0,5.96,1.833,-999.25,-999.25,,
107.0,3.39,0.52,-999.25,151.54,-0.03,9.07,0.0,5.96,1.82,-999.25,-999.25,,
107.5,3.39,0.532,-999.25,159.02,-0.036,9.08,0.0,5.96,1.801,-999.25,-999.25,,
108.0,3.39,0.539,-999.25,156.57,-0.038,9.09,0.0,5.96,1.788,-999.25,-999.25,,
108.5,3.37,0.532,-999.25,149.02,-0.034,9.1,0.0,5.96,1.8,-999.25,-999.25,,
109.0,3.39,0.523,-999.25,152.14,-0.038,9.09,0.0,5.96,1.815,-999.25,-999.25,,
109.5,3.37,0.524,-999.25,156.12,-0.03,9.14,0.0,5.96,1.814,-999.25,-999.25,,
110.0,3.37,0.532,-999.25,159.75,-0.034,9.16,0.0,5.96,1.8,-999.25,-999.25,,
110.5,3.39,0.532,-999.25,161.39,-0.04,9.2,0.0,5.96,1.8,-999.25,-999.25,,
111.0,3.39,0.531,-999.25,165.0,-0.039,9.21,0.0,5.96,1.802,-999.25,-999.25,,
111.5,3.37,0.537,-999.25,165.5,-0.031,9.25,0.0,5.96,1.792,-999.25,-999.25,,
112.0,3.37,0.538,-999.25,163.79,-0.034,9.25,0.0,5.96,1.79,-999.25,-999.25,,
112.5,3.37,0.536,-999.25,153.68,-0.04,9.25,0.0,5.96,1.793,-999.25,-999.25,,
113.0,3.39,0.524,-999.25,143.45,-0.036,9.23,0.0,5.96,1.815,-999.25,-999.25,,
113.5,3.39,0.533,-999.25,135.31,-0.033,9.24,0.0,5.96,1.799,-999.25,-999.25,,
114.0,3.42,0.539,-999.25,140.36,-0.034,9.22,0.0,5.96,1.788,-999.25,-999.25,,
114.5,3.39,0.55,-999.25,149.07,-0.037,9.2,0.0,5.96,1.761,-999.25,-999.25,,
115.0,3.39,0.55,-999.25,150.13,-0.033,9.29,0.0,5.96,1.745,-999.25,-999.25,,
115.5,3.37,0.55,-999.25,156.2,-0.029,9.55,0.0,5.96,1.719,-999.25,-999.25,,
116.0,3.37,0.55,-999.25,159.64,-0.036,9.8,0.0,5.96,1.693,-999.25,-999.25,,
116.5,3.39,0.55,-999.25,161.14,-0.035,9.84,0.0,5.96,1.684,-999.25,-999.25,,
117.0,3.42,0.55,-999.25,167.22,-0.037,9.52,0.0,5.96,1.715,-999.25,-999.25,,
117.5,3.39,0.55,-999.25,164.28,-0.035,9.22,0.0,5.96,1.752,-999.25,-999.25,,
118.0,3.37,0.547,-999.25,158.16,-0.034,9.04,0.0,5.96,1.775,-999.25,-999.25,,
118.5,3.37,0.547,-999.25,147.02,-0.032,9.09,0.0,5.96,1.775,-999.25,-999.25,,
119.0,3.39,0.548,-999.25,147.29,-0.031,9.13,0.0,5.96,1.772,-999.25,-999.25,,
119.5,3.42,0.545,-999.25,156.03,-0.032,9.11,0.0,5.96,1.778,-999.25,-999.25,,
120.0,3.37,0.543,-999.25,154.3,-0.042,9.09,0.0,5.96,1.782,-999.25,-999.25,,
120.5,3.37,0.539,-999.25,142.84,-0.038,9.1,0.0,5.96,1.789,-999.25,-999.25,,
121.0,3.39,0.539,-999.25,136.19,-0.032,9.15,0.0,5.96,1.788,-999.25,-999.25,,
121.5,3.37,0.536,-999.25,123.1,-0.027,9.19,0.0,5.96,1.793,-999.25,-999.25,,
122.0,3.39,0.537,-999.25,121.66,-0.035,9.25,0.0,5.96,1.792,-999.25,-999.25,,
122.5,3.39,0.538,-999.25,120.8,-0.037,9.28,0.0,5.96,1.791,-999.25,-999.25,,
123.0,3.42,0.539,-999.25,129.96,-0.03,9.26,0.0,5.96,1.788,-999.25,-999.25,,
123.5,3.39,0.537,-999.25,137.03,-0.034,9.22,0.0,5.96,1.792,-999.25,-999.25,,
124.0,3.39,0.532,-999.25,133.93,-0.033,9.2,0.0,5.96,1.8,-999.25,-999.25,,
124.5,3.37,0.53,-999.25,121.41,-0.034,9.18,0.0,5.96,1.803,-999.25,-999.25,,
125.0,3.37,0.525,-999.25,118.71,-0.033,9.15,0.0,5.96,1.812,-999.25,-999.25,,
125.5,3.39,0.526,-999.25,116.69,-0.03,9.14,0.0,5.96,1.811,-999.25,-999.25,,
126.0,3.39,0.528,-999.25,130.23,-0.032,9.13,0.0,5.96,1.807,-999.25,-999.25,,
126.5,3.37,0.53,-999.25,129.39,-0.039,9.1,0.0,5.96,1.804,-999.25,-999.25,,
127.0,3.37,0.529,-999.25,134.45,-0.033,9.08,0.0,5.96,1.805,-999.25,-999.25,,
127.5,3.39,0.525,-999.25,122.23,-0.036,9.11,0.0,5.96,1.813,-999.25,-999.25,,
128.0,3.39,0.527,-999.25,129.3,-0.036,9.13,0.0,5.96,1.808,-999.25,-999.25,,
128.5,3.39,0.532,-999.25,119.99,-0.039,9.14,0.0,5.96,1.8,-999.25,-999.25,,
129.0,3.37,0.536,-999.25,117.66,-0.029,9.1,0.0,5.96,1.793,-999.25,-999.25,,
129.5,3.39,0.538,-999.25,112.94,-0.035,9.12,0.0,5.96,1.789,-999.25,-999.25,,
130.0,3.39,0.539,-999.25,118.21,-0.038,9.14,0.0,5.96,1.789,-999.25,-999.25,,
130.5,3.39,0.544,-999.25,118.0,-0.03,9.18,0.0,5.96,1.779,-999.25,-999.25,,
131.0,3.39,0.55,-999.25,110.47,-0.029,9.19,0.0,5.96,1.769,-999.25,-999.25,,
131.5,3.39,0.55,-999.25,116.38,-0.034,9.46,0.0,5.96,1.766,-999.25,-999.25,,
132.0,3.37,0.55,-999.25,121.98,-0.04,9.73,0.0,5.96,1.744,-999.25,-999.25,,
132.5,3.37,0.55,-999.25,125.86,-0.038,9.9,0.0,5.96,1.733,-999.25,-999.25,,
133.0,3.39,0.55,-999.25,120.18,-0.037,9.75,0.0,5.96,1.752,-999.25,-999.25,,
133.5,3.37,0.513,-999.25,118.1,-0.03,9.75,0.0,5.96,1.833,-999.25,-999.25,,
134.0,3.39,0.473,-999.25,126.52,-0.036,9.85,0.0,5.96,1.9,-999.25,-999.25,,
134.5,3.37,0.466,-999.25,123.08,-0.036,9.98,0.0,5.96,1.913,-999.25,-999.25,,
135.0,3.37,0.485,-999.25,124.96,-0.032,9.97,0.0,5.96,1.88,-999.25,-999.25,,
135.5,3.37,0.485,-999.25,110.61,-0.042,9.9,0.0,5.96,1.881,-999.25,-999.25,,
136.0,3.39,0.448,-999.25,108.59,-0.037,9.77,0.0,5.96,1.944,-999.25,-999.25,,
136.5,3.37,0.451,-999.25,106.81,-0.015,9.53,0.0,5.96,1.939,-999.25,-999.25,,
137.0,3.39,0.475,-999.25,124.06,-0.028,9.25,0.0,5.96,1.898,-999.25,-999.25,,
137.5,3.37,0.525,-999.25,132.56,-0.04,9.11,0.0,5.96,1.812,-999.25,-999.25,,
138.0,3.42,0.516,-999.25,135.33,-0.039,9.1,0.0,5.96,1.827,-999.25,-999.25,,
138.5,3.37,0.512,-999.25,129.9,-0.033,9.18,0.0,5.96,1.835,-999.25,-999.25,,
139.0,3.37,0.508,-999.25,134.6,-0.031,9.19,0.0,5.96,1.842,-999.25,-999.25,,
139.5,3.42,0.52,-999.25,133.52,-0.035,9.2,0.0,5.96,1.821,-999.25,-999.25,,
140.0,3.42,0.523,-999.25,132.01,-0.036,9.24,0.0,5.96,1.816,-999.25,-999.25,,
140.5,3.39,0.526,-999.25,129.32,-0.031,9.27,0.0,5.96,1.811,-999.25,-999.25,,
141.0,3.39,0.523,-999.25,124.55,-0.034,9.25,0.0,5.96,1.816,-999.25,-999.25,,
141.5,3.39,0.516,-999.25,124.0,-0.031,9.18,0.0,5.96,1.828,-999.25,-999.25,,
142.0,3.39,0.51,-999.25,114.66,-0.03,9.3,0.0,5.96,1.837,-999.25,-999.25,,
142.5,3.39,0.507,-999.25,116.9,-0.036,9.52,0.0,5.96,1.843,-999.25,-999.25,,
143.0,3.37,0.506,-999.25,121.7,-0.038,9.73,0.0,5.96,1.844,-999.25,-999.25,,
143.5,3.37,0.505,-999.25,126.47,-0.036,9.76,0.0,5.96,1.847,-999.25,-999.25,,
144.0,3.39,0.5,-999.25,133.92,-0.039,9.62,0.0,5.96,1.855,-999.25,-999.25,,
144.5,3.37,0.493,-999.25,127.83,-0.041,9.32,0.0,5.96,1.867,-999.25,-999.25,,
145.0,3.42,0.492,-999.25,135.43,-0.035,9.06,0.0,5.96,1.869,-999.25,-999.25,,
145.5,3.37,0.492,-999.25,134.08,-0.029,8.93,0.0,5.96,1.868,-999.25,-999.25,,
146.0,3.39,0.497,-999.25,132.04,-0.028,8.96,0.0,5.96,1.861,-999.25,-999.25,,
146.5,3.37,0.51,-999.25,124.0,-0.037,9.25,0.0,5.96,1.838,-999.25,-999.25,,
147.0,3.37,0.519,-999.25,122.65,-0.035,9.32,0.0,5.96,1.823,-999.25,-999.25,,
147.5,3.37,0.538,-999.25,129.42,-0.034,9.36,0.0,5.96,1.79,-999.25,-999.25,,
148.0,3.42,0.539,-999.25,139.34,-0.036,9.12,0.0,5.96,1.788,-999.25,-999.25,,
148.5,3.39,0.545,-999.25,156.27,-0.035,9.09,0.0,5.96,1.777,-999.25,-999.25,,
149.0,3.39,0.539,-999.25,153.09,-0.034,9.14,0.0,5.96,1.788,-999.25,-999.25,,
149.5,3.42,0.532,-999.25,144.97,-0.043,9.23,0.0,5.96,1.8,-999.25,-999.25,,
150.0,3.37,0.531,-999.25,134.81,-0.032,9.25,0.0,5.96,1.802,-999.25,-999.25,,
150.5,3.39,0.533,-999.25,137.31,-0.027,9.24,0.0,5.96,1.799,-999.25,-999.25,,
151.0,3.37,0.54,-999.25,133.5,-0.035,9.18,0.0,5.96,1.787,-999.25,-999.25,,
151.5,3.37,0.538,-999.25,118.6,-0.035,9.22,0.0,5.96,1.79,-999.25,-999.25,,
152.0,3.37,0.537,-999.25,104.38,-0.033,9.24,0.0,5.96,1.791,-999.25,-999.25,,
152.5,3.42,0.535,-999.25,102.77,-0.037,9.26,0.0,5.96,1.796,-999.25,-999.25,,
153.0,3.39,0.534,-999.25,97.36,-0.032,9.24,0.0,5.96,1.796,-999.25,-999.25,,
153.5,3.39,0.549,-999.25,96.35,-0.034,9.39,0.0,5.96,1.772,-999.25,-999.25,,
154.0,3.37,0.55,-999.25,97.7,-0.029,9.65,0.0,5.96,1.736,-999.25,-999.25,,
154.5,3.37,0.55,-999.25,94.99,-0.037,9.89,0.0,5.96,1.696,-999.25,-999.25,,
155.0,3.39,0.55,-999.25,97.36,-0.056,9.92,0.0,5.96,1.682,-999.25,-999.25,,
155.5,3.39,0.55,-999.25,92.92,-0.023,9.68,0.0,5.96,1.698,-999.25,-999.25,,
156.0,3.4,0.55,-999.25,93.6,0.758,9.38,0.0,5.96,1.715,-999.25,-999.25,,
156.5,3.37,0.55,-999.25,92.92,0.846,9.11,0.0,5.96,1.743,-999.25,-999.25,,
157.0,3.39,0.55,-999.25,89.91,0.339,9.15,0.0,5.96,1.724,-999.25,-999.25,,
157.5,3.37,0.547,-999.25,89.23,0.311,9.23,0.0,5.96,1.774,-999.25,-999.25,,
158.0,3.38,0.447,-999.25,97.6,0.351,9.02,0.402,5.96,1.946,-999.25,-999.25,,
158.5,3.38,0.37,-999.25,87.44,0.336,8.35,0.353,5.96,2.078,-999.25,-999.25,,
159.0,3.38,0.345,-999.25,86.77,0.287,7.54,0.317,5.96,2.121,-999.25,-999.25,,
159.5,3.37,0.395,-999.25,72.02,0.32,7.01,0.359,5.96,2.034,-999.25,-999.25,,
160.0,3.37,0.393,-999.25,80.14,0.281,6.81,0.342,5.96,2.037,-999.25,-999.25,,
