Well,Draco_xwell_predict.xlsx_Prediction,Draco_xwell_predict.xlsx_Lower_Bound,Draco_xwell_predict.xlsx_Upper_Bound
Draco_xwell_predict.xlsx,3.382845878601074,0.00201783688244177,75.74219398498522
Draco_xwell_predict.xlsx,2.028085470199585,4.539992369245738e-05,4.2197499513626076
Draco_xwell_predict.xlsx,2.460808753967285,8.249766397057101e-05,7.794908189773556
Draco_xwell_predict.xlsx,2.66684889793396,8.593059683335014e-05,11.305596065521232
Draco_xwell_predict.xlsx,2.418795347213745,0.0014004778524395079,310.57504806518466
Draco_xwell_predict.xlsx,1.963484287261963,0.0008636859580292367,41.406432723998996
Draco_xwell_predict.xlsx,2.5062220096588135,4.539992369245738e-05,0.5605102241039275
Draco_xwell_predict.xlsx,1.515338659286499,0.0009857317883870565,35.14168119430532
Draco_xwell_predict.xlsx,1.0844706296920776,4.539992369245738e-05,325.1827514648433
Draco_xwell_predict.xlsx,0.9740756154060364,0.0010694147065805736,2.7992031574249205
Draco_xwell_predict.xlsx,2.4396214485168457,0.003488013718742877,0.8348375976085661
Draco_xwell_predict.xlsx,1.273901104927063,0.00858574005542323,4.062063115835178
Draco_xwell_predict.xlsx,0.9626359343528748,8.593059683335014e-05,3.871528244018554
Draco_xwell_predict.xlsx,0.668324887752533,0.00043193595920456576,1.8885315299034116
Draco_xwell_predict.xlsx,1.832152009010315,4.539992369245738e-05,3.424181222170579
Draco_xwell_predict.xlsx,1.5824648141860962,9.858171761152334e-05,65.53916130065917
Draco_xwell_predict.xlsx,1.598475456237793,0.02624843437515665,115.68756713867171
Draco_xwell_predict.xlsx,1.2262707948684692,4.539992369245738e-05,88.2681579589842
Draco_xwell_predict.xlsx,1.2578675746917725,4.539992369245738e-05,45.472610068321075
Draco_xwell_predict.xlsx,0.8476869463920593,4.539992369245738e-05,39.81715755462639
Draco_xwell_predict.xlsx,0.7444924712181091,4.539992369245738e-05,44.6852925300597
Draco_xwell_predict.xlsx,1.0304172039031982,7.225156005006284e-05,2.9669020533561667
Draco_xwell_predict.xlsx,1.837732195854187,0.0012133707641623914,0.11605329588055587
Draco_xwell_predict.xlsx,0.8598682880401611,4.539992369245738e-05,0.8918549895286554
Draco_xwell_predict.xlsx,1.27211594581604,0.0002666754226083867,5.216806030273436
Draco_xwell_predict.xlsx,1.4593716859817505,4.539992369245738e-05,118.49293420314747
Draco_xwell_predict.xlsx,2.8701930046081543,4.539992369245738e-05,40.377075958251865
Draco_xwell_predict.xlsx,2.5127878189086914,4.539992369245738e-05,37.280224609375
Draco_xwell_predict.xlsx,1.2519090175628662,0.001735220586124342,7.586264145374276
Draco_xwell_predict.xlsx,1.0283194780349731,4.539992369245738e-05,0.7753198385238645
Draco_xwell_predict.xlsx,1.3813109397888184,0.005252253431535792,30.56524505615225
