epoch,train_loss,val_loss
1,0.05072684958577156,0.015444370917975903
2,0.012738725170493126,0.010856149718165398
3,0.01020780485123396,0.009655861184000969
4,0.00960496999323368,0.00904498714953661
5,0.008911900222301483,0.00877522211521864
6,0.008530380204319954,0.008405277505517006
7,0.00834725797176361,0.008368655107915401
8,0.00822652317583561,0.008838417008519173
9,0.008316133171319962,0.008165071718394756
10,0.007964474149048328,0.007856116630136967
11,0.007573458831757307,0.007318118121474981
12,0.007606008090078831,0.007318124640733004
13,0.007348257582634687,0.007510105613619089
14,0.007303769234567881,0.006781296338886023
15,0.007301895413547754,0.007014534901827574
16,0.00751408701762557,0.007344445679336786
17,0.0072589656338095665,0.0073766810819506645
18,0.00805191695690155,0.007581619080156088
19,0.007477192208170891,0.007326048333197832
20,0.007269738242030144,0.008107566274702549
21,0.007525219116359949,0.008912182413041592
22,0.007141709327697754,0.007107932586222887
23,0.0070454091764986515,0.00696002971380949
24,0.006857866421341896,0.007110086269676685
25,0.006646210793405771,0.006872883997857571
26,0.006422859150916338,0.006472757086157799
27,0.006552429869771004,0.006377562414854765
28,0.0063066063448786736,0.006555687170475721
29,0.006192901637405157,0.005773638840764761
30,0.0062571121379733086,0.005677827633917332
31,0.006287992466241121,0.005975335370749235
32,0.006036739330738783,0.0054891230538487434
33,0.006187194958329201,0.0053582447580993176
34,0.0062356009148061275,0.005810724571347237
35,0.005694568622857332,0.006177894771099091
36,0.005795625504106283,0.0053495317697525024
37,0.005699018947780132,0.0049655623733997345
38,0.006266077049076557,0.006276413798332214
39,0.005365390796214342,0.004875912796705961
40,0.005747286602854729,0.0057494197972118855
41,0.006167785730212927,0.005909967701882124
42,0.005564988125115633,0.007157860789448023
43,0.005925619974732399,0.005070418119430542
44,0.005505288019776344,0.005032113753259182
45,0.004953356925398111,0.005104555282741785
46,0.005491882562637329,0.005260839127004147
47,0.0057314601726830006,0.005208787973970175
48,0.005959524307399988,0.005100932903587818
49,0.005609516054391861,0.0047087715938687325
50,0.0048287613317370415,0.004555428866297007
51,0.00505584804341197,0.004663223400712013
52,0.005187773611396551,0.005490596871823072
53,0.005200524814426899,0.004724100232124329
54,0.005079790484160185,0.004482716787606478
55,0.005175212863832712,0.005436995066702366
56,0.005811542272567749,0.004794517997652292
57,0.005386334843933582,0.0051498920656740665
58,0.00507864635437727,0.004614830017089844
59,0.005505467299371958,0.004540620371699333
60,0.0054115899838507175,0.004720964934676886
61,0.004910549148917198,0.004403883125633001
62,0.004518598783761263,0.004240847192704678
63,0.004796329420059919,0.004793714266270399
64,0.004802295006811619,0.004184730350971222
65,0.0045503880828619,0.004030721727758646
66,0.00521440152078867,0.004500687588006258
67,0.0045895627699792385,0.004238777793943882
68,0.004484795033931732,0.004185882862657309
69,0.004650300368666649,0.0043220254592597485
70,0.0045572384260594845,0.004550769925117493
71,0.004842610564082861,0.004460470285266638
