DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE
1186,10.79,0.263,-999.25,98.01,0.446,3.31,0.366,2.13,2.26,-999.25,-999.25,
1186.5,10.9,0.276,-999.25,96.17,0.403,3.33,0.345,2.06,2.238,-999.25,-999.25,
1187,10.92,0.28,-999.25,100.47,0.345,3.4,0.314,2,2.23,-999.25,-999.25,
1187.5,11.01,0.293,-999.25,113.39,0.34,3.4,0.317,2.04,2.21,-999.25,-999.25,
1188,11.13,0.309,-999.25,117.01,0.362,3.31,0.337,1.97,2.181,-999.25,-999.25,
1188.5,11.31,0.343,-999.25,119.04,0.437,3.17,0.393,1.37,2.124,-999.25,-999.25,
1189,11.71,0.348,-999.25,106.19,0.398,3.06,0.374,1.66,2.114,-999.25,-999.25,
1189.5,11.94,0.348,-999.25,105.61,0.394,3.08,0.372,2.63,2.116,-999.25,-999.25,
1190,12.21,0.346,-999.25,103.49,0.423,3.13,0.386,2.6,2.118,-999.25,-999.25,
1190.5,12.21,0.344,-999.25,103.92,0.526,3.19,0.444,3,2.121,-999.25,-999.25,
1191,11.46,0.345,-999.25,99.44,0.403,3.24,0.375,2.99,2.12,-999.25,-999.25,
1191.5,11.46,0.347,-999.25,90.76,0.347,3.3,0.347,2.94,2.117,-999.25,-999.25,
1192,11.42,0.356,-999.25,90.33,0.599,3.29,0.493,2.09,2.101,-999.25,-999.25,
1192.5,11.4,0.341,-999.25,95.4,0.573,3.2,0.471,2.01,2.127,-999.25,-999.25,
1193,11.49,0.309,-999.25,97.76,0.45,3.16,0.386,2.14,2.181,-999.25,-999.25,
1193.5,11.78,0.294,-999.25,100.13,0.373,3.17,0.336,2.23,2.207,-999.25,-999.25,
1194,12.05,0.298,-999.25,99.55,0.389,3.16,0.347,2.13,2.201,-999.25,-999.25,
1194.5,12.45,0.316,-999.25,99.8,0.451,3.12,0.389,1.97,2.17,-999.25,-999.25,
1195,12.41,0.329,-999.25,96.17,0.452,3.08,0.395,1.72,2.147,-999.25,-999.25,
1195.5,12,0.357,-999.25,89.57,0.479,3.06,0.422,3.96,2.1,-999.25,-999.25,
1196,11.71,0.374,-999.25,95.16,0.407,3.02,0.391,4.45,2.071,-999.25,-999.25,
1196.5,11.49,0.37,-999.25,98.8,0.375,2.97,0.373,1.98,2.077,-999.25,-999.25,
1197,11.49,0.341,-999.25,97.86,0.383,3.03,0.363,2.64,2.127,-999.25,-999.25,
1197.5,11.13,0.308,-999.25,96.07,0.391,3.17,0.352,3.56,2.183,-999.25,-999.25,
1198,11.15,0.292,-999.25,100.8,0.353,3.33,0.324,2.45,2.211,-999.25,-999.25,
1198.5,11.4,0.285,-999.25,119.16,0.372,3.36,0.331,2.4,2.223,-999.25,-999.25,
1199,11.4,0.296,-999.25,124.79,0.383,3.29,0.342,2.44,2.205,-999.25,-999.25,
1199.5,11.6,0.297,-999.25,120.5,0.339,3.18,0.319,2.33,2.202,-999.25,-999.25,
1200,11.17,0.3,-999.25,111.83,0.405,3.08,0.356,2.22,2.196,-999.25,-999.25,
1200.5,11.26,0.29,-999.25,110.69,0.41,2.99,0.355,2.08,2.215,-999.25,-999.25,
1201,10.86,0.281,-999.25,118.26,0.396,3.07,0.343,2.09,2.23,-999.25,-999.25,
1201.5,10.83,0.277,-999.25,116.43,0.424,3.2,0.358,2.25,2.237,-999.25,-999.25,
1202,10.92,0.281,-999.25,116.66,0.37,3.32,0.329,2.3,2.229,-999.25,-999.25,
1202.5,11.01,0.297,-999.25,103.6,0.425,3.25,0.367,1.93,2.201,-999.25,-999.25,
1203,11.24,0.318,-999.25,100.47,0.432,3.11,0.379,1.83,2.166,-999.25,-999.25,
1203.5,11.6,0.33,-999.25,96.41,0.47,3.01,0.406,2.19,2.145,-999.25,-999.25,
1204,12.44,0.37,-999.25,109.69,0.481,2.97,0.429,3.09,2.078,-999.25,-999.25,
1204.5,11.98,0.409,-999.25,118.36,0.662,2.96,0.55,1.76,2.01,-999.25,-999.25,
1205,12.04,0.428,-999.25,117.11,0.649,2.87,0.55,1.24,1.978,-999.25,-999.25,
1205.5,12.14,0.378,-999.25,114.04,0.639,2.84,0.525,2.79,2.063,-999.25,-999.25,
1206,11.15,0.306,-999.25,111.45,0.427,2.94,0.371,6.65,2.187,-999.25,-999.25,
1206.5,10.77,0.258,-999.25,116.76,0.338,3.13,0.301,11.45,2.27,-999.25,-999.25,
1207,10.74,0.238,-999.25,116.67,0.425,3.27,0.344,3.86,2.302,-999.25,-999.25,
1207.5,10.81,0.244,-999.25,111.61,0.467,3.3,0.373,2.76,2.292,-999.25,-999.25,
1208,10.86,0.269,-999.25,104.52,0.406,3.26,0.344,2,2.25,-999.25,-999.25,
1208.5,10.95,0.306,-999.25,105.53,0.406,3.15,0.359,1.48,2.187,-999.25,-999.25,
1209,10.9,0.312,-999.25,107.32,0.435,3,0.379,1.25,2.176,-999.25,-999.25,
1209.5,11.04,0.317,-999.25,109.92,0.415,2.9,0.369,2.19,2.168,-999.25,-999.25,
1210,10.77,0.322,-999.25,107.17,0.306,2.93,0.314,2.98,2.16,-999.25,-999.25,
1210.5,10.77,0.34,-999.25,109.88,0.315,3,0.328,2.25,2.129,-999.25,-999.25,
1211,10.97,0.349,-999.25,104.83,0.387,3.04,0.368,2.08,2.114,-999.25,-999.25,
1211.5,11.62,0.352,-999.25,97.53,0.323,3.02,0.338,2.27,2.108,-999.25,-999.25,
1212,11.53,0.331,-999.25,95.73,0.388,3.04,0.361,2.53,2.143,-999.25,-999.25,
1212.5,11.33,0.3,-999.25,95.85,0.363,3.08,0.333,3.22,2.197,-999.25,-999.25,
1213,10.7,0.276,-999.25,101.51,0.389,3.1,0.337,2.97,2.238,-999.25,-999.25,
1213.5,10.7,0.273,-999.25,100.94,0.372,3.09,0.326,2.27,2.243,-999.25,-999.25,
1214,11.06,0.277,-999.25,101.49,0.412,3.07,0.351,1.97,2.236,-999.25,-999.25,
1214.5,10.81,0.279,-999.25,94.81,0.361,3.09,0.323,1.82,2.233,-999.25,-999.25,
1215,10.9,0.293,-999.25,93.95,0.349,3.1,0.322,1.87,2.208,-999.25,-999.25,
1215.5,11.24,0.317,-999.25,99.87,0.366,3.03,0.342,1.87,2.168,-999.25,-999.25,
1216,10.97,0.333,-999.25,103.76,0.376,2.88,0.355,1.92,2.14,-999.25,-999.25,
1216.5,11.4,0.34,-999.25,100.56,0.409,2.77,0.376,1.89,2.129,-999.25,-999.25,
1217,11.6,0.327,-999.25,94.72,0.422,2.74,0.378,1.51,2.15,-999.25,-999.25,
1217.5,12,0.332,-999.25,89.41,0.38,2.79,0.357,1.47,2.142,-999.25,-999.25,
1218,12.66,0.352,-999.25,91.35,0.425,2.83,0.39,1.82,2.108,-999.25,-999.25,
1218.5,11.89,0.396,-999.25,91.68,0.453,2.8,0.425,2.13,2.034,-999.25,-999.25,
1219,11.73,0.427,-999.25,93.79,0.381,2.7,0.405,1.99,1.98,-999.25,-999.25,
1219.5,11.73,0.423,-999.25,91.68,0.491,2.62,0.458,1.89,1.986,-999.25,-999.25,
1220,12.7,0.418,-999.25,89.4,0.497,2.65,0.459,1.59,1.994,-999.25,-999.25,
1220.5,13.53,0.412,-999.25,93.61,0.453,2.72,0.433,1.44,2.006,-999.25,-999.25,
1221,12.32,0.417,-999.25,93.45,0.454,2.76,0.436,1.46,1.997,-999.25,-999.25,
1221.5,12.9,0.397,-999.25,96.75,0.507,2.78,0.455,1.54,2.031,-999.25,-999.25,
1222,12.37,0.374,-999.25,97.18,0.444,2.83,0.41,1.56,2.071,-999.25,-999.25,
1222.5,12.14,0.365,-999.25,94.72,0.377,2.89,0.371,2.33,2.085,-999.25,-999.25,
1223,12.16,0.359,-999.25,92.15,0.392,2.9,0.376,2.32,2.096,-999.25,-999.25,
1223.5,12.16,0.353,-999.25,86.75,0.419,2.88,0.387,1.81,2.106,-999.25,-999.25,
1224,12.5,0.341,-999.25,84.46,0.469,2.89,0.41,1.6,2.128,-999.25,-999.25,
1224.5,12.81,0.327,-999.25,85.59,0.569,2.93,0.464,1.46,2.151,-999.25,-999.25,
1225,12.84,0.321,-999.25,85.67,0.502,2.96,0.421,1.98,2.16,-999.25,-999.25,
1225.5,12.88,0.318,-999.25,82.83,0.419,2.98,0.372,2.37,2.166,-999.25,-999.25,
1226,12.63,0.32,-999.25,84.7,0.4,2.95,0.362,2.22,2.163,-999.25,-999.25,
1226.5,12.61,0.315,-999.25,82.25,0.414,2.95,0.368,1.54,2.171,-999.25,-999.25,
1227,12.52,0.312,-999.25,94.14,0.449,2.98,0.387,2.17,2.177,-999.25,-999.25,
1227.5,12.18,0.316,-999.25,96.75,0.487,2.99,0.411,3.33,2.169,-999.25,-999.25,
1228,11.96,0.344,-999.25,100.47,0.437,2.99,0.393,3.01,2.123,-999.25,-999.25,
1228.5,11.8,0.358,-999.25,95.4,0.318,2.98,0.339,1.87,2.098,-999.25,-999.25,
1229,11.64,0.359,-999.25,94.72,0.339,3.03,0.349,1.4,2.096,-999.25,-999.25,
1229.5,11.53,0.309,-999.25,99.55,0.337,3.16,0.323,2.49,2.181,-999.25,-999.25,
1230,11.31,0.282,-999.25,104.51,0.273,3.26,0.278,3.27,2.227,-999.25,-999.25,
1230.5,10.9,0.265,-999.25,100.21,0.3,3.3,0.283,2.92,2.256,-999.25,-999.25,
1231,10.92,0.273,-999.25,105.41,0.381,3.21,0.331,2.27,2.243,-999.25,-999.25,
1231.5,10.83,0.28,-999.25,100.87,0.382,3.14,0.335,2.01,2.231,-999.25,-999.25,
1232,10.83,0.288,-999.25,102.81,0.384,3.1,0.339,1.79,2.218,-999.25,-999.25,
1232.5,10.83,0.303,-999.25,98.86,0.373,3.07,0.34,1.58,2.191,-999.25,-999.25,
1233,11.53,0.323,-999.25,103.25,0.388,3,0.357,1.5,2.158,-999.25,-999.25,
1233.5,11.91,0.325,-999.25,107.98,0.392,2.93,0.36,1.56,2.153,-999.25,-999.25,
1234,12.16,0.333,-999.25,103.59,0.5,2.91,0.425,2.2,2.14,-999.25,-999.25,
1234.5,12.27,0.341,-999.25,102.83,0.446,2.96,0.397,2.19,2.126,-999.25,-999.25,
1235,12.88,0.368,-999.25,102.49,0.4,2.97,0.384,2.55,2.081,-999.25,-999.25,
1235.5,11.62,0.391,-999.25,100.21,0.422,2.99,0.407,5.06,2.041,-999.25,-999.25,
1236,11.13,0.386,-999.25,100.45,0.393,3,0.39,3.51,2.051,-999.25,-999.25,
1236.5,11.04,0.362,-999.25,96.01,0.34,3.09,0.351,2.36,2.091,-999.25,-999.25,
1237,11.44,0.32,-999.25,95,0.404,3.18,0.364,2.4,2.163,-999.25,-999.25,
1237.5,10.81,0.304,-999.25,92.97,0.412,3.19,0.362,2.09,2.19,-999.25,-999.25,
1238,11.13,0.294,-999.25,99.88,0.385,3.13,0.343,1.76,2.207,-999.25,-999.25,
1238.5,11.53,0.3,-999.25,106.22,0.363,3.01,0.333,1.56,2.197,-999.25,-999.25,
1239,11.73,0.289,-999.25,109.01,0.377,3,0.336,1.63,2.216,-999.25,-999.25,
1239.5,12.03,0.288,-999.25,102.83,0.362,3.04,0.327,2.2,2.217,-999.25,-999.25,
1240,11.8,0.284,-999.25,99.47,0.412,3.07,0.354,3.28,2.225,-999.25,-999.25,
1240.5,11.96,0.289,-999.25,101.67,0.386,3.05,0.341,2.99,2.216,-999.25,-999.25,
1241,11.89,0.299,-999.25,104.6,0.371,3.03,0.337,3.02,2.199,-999.25,-999.25,
1241.5,12.54,0.33,-999.25,103.23,0.442,3.01,0.39,2.37,2.146,-999.25,-999.25,
1242,11.58,0.341,-999.25,98.66,0.43,2.99,0.388,1.88,2.126,-999.25,-999.25,
1242.5,11.64,0.347,-999.25,87.63,0.4,3.03,0.374,2.38,2.117,-999.25,-999.25,
1243,10.68,0.318,-999.25,91.1,0.38,3.11,0.35,3.37,2.165,-999.25,-999.25,
1243.5,10.81,0.313,-999.25,95.39,0.457,3.13,0.392,2.06,2.175,-999.25,-999.25,
1244,11.33,0.294,-999.25,99.18,0.424,3.07,0.365,1.91,2.207,-999.25,-999.25,
1244.5,11.37,0.299,-999.25,108.84,0.404,2.97,0.355,2.05,2.2,-999.25,-999.25,
1245,11.86,0.294,-999.25,105.81,0.36,2.93,0.329,2.04,2.207,-999.25,-999.25,
1245.5,11.37,0.302,-999.25,107.84,0.431,2.95,0.372,2.18,2.194,-999.25,-999.25,
1246,11.26,0.309,-999.25,93.7,0.461,3.01,0.392,2,2.182,-999.25,-999.25,
1246.5,11.19,0.324,-999.25,97.85,0.348,3.03,0.336,1.92,2.156,-999.25,-999.25,
1247,11.04,0.329,-999.25,95.74,0.372,3.02,0.351,1.85,2.147,-999.25,-999.25,
1247.5,11.19,0.325,-999.25,102.49,0.435,2.96,0.384,1.69,2.155,-999.25,-999.25,
1248,11.28,0.326,-999.25,93.93,0.409,2.92,0.37,1.74,2.153,-999.25,-999.25,
1248.5,11.22,0.323,-999.25,91.23,0.406,2.93,0.367,1.8,2.157,-999.25,-999.25,
1249,12.03,0.341,-999.25,80.76,0.445,2.98,0.396,2,2.127,-999.25,-999.25,
1249.5,11.76,0.348,-999.25,81.98,0.407,3.03,0.379,1.83,2.114,-999.25,-999.25,
1250,12.59,0.37,-999.25,88.3,0.405,3.04,0.388,1.73,2.077,-999.25,-999.25,
1250.5,12.34,0.371,-999.25,88.38,0.357,3.03,0.364,1.93,2.075,-999.25,-999.25,
1251,11.64,0.361,-999.25,92.58,0.419,3,0.391,2.13,2.093,-999.25,-999.25,
1251.5,11.67,0.335,-999.25,80.86,0.319,3,0.327,2.56,2.137,-999.25,-999.25,
1252,11.76,0.336,-999.25,87.97,0.354,3.04,0.345,2.67,2.135,-999.25,-999.25,
1252.5,12.14,0.347,-999.25,80.56,0.484,3.07,0.421,1.61,2.117,-999.25,-999.25,
1253,12.45,0.358,-999.25,86.03,0.499,3.03,0.434,1.29,2.098,-999.25,-999.25,
1253.5,12.07,0.352,-999.25,79.86,0.419,2.91,0.387,1.72,2.108,-999.25,-999.25,
1254,11.85,0.344,-999.25,77.24,0.366,2.8,0.355,1.91,2.121,-999.25,-999.25,
1254.5,11.71,0.352,-999.25,77.84,0.405,2.77,0.379,1.69,2.108,-999.25,-999.25,
1255,12.52,0.355,-999.25,84.26,0.46,2.77,0.411,1.74,2.103,-999.25,-999.25,
1255.5,12.29,0.346,-999.25,88.64,0.517,2.82,0.44,1.72,2.118,-999.25,-999.25,
1256,12.52,0.325,-999.25,86.96,0.433,2.91,0.383,1.71,2.154,-999.25,-999.25,
1256.5,11.78,0.316,-999.25,84,0.487,3,0.411,1.5,2.169,-999.25,-999.25,
1257,12.56,0.334,-999.25,84.25,0.412,3.04,0.375,1.58,2.138,-999.25,-999.25,
1257.5,11.76,0.348,-999.25,86.69,0.388,3.02,0.369,2.03,2.115,-999.25,-999.25,
1258,11.6,0.342,-999.25,85.52,0.452,2.97,0.401,1.99,2.124,-999.25,-999.25,
1258.5,13.06,0.32,-999.25,78.92,0.415,2.91,0.371,1.97,2.163,-999.25,-999.25,
1259,12.74,0.31,-999.25,83.57,0.448,2.87,0.385,1.76,2.179,-999.25,-999.25,
1259.5,12.9,0.313,-999.25,79.93,0.488,2.83,0.41,1.67,2.175,-999.25,-999.25,
1260,12.25,0.336,-999.25,87.29,0.434,2.82,0.388,1.83,2.135,-999.25,-999.25,
1260.5,12.88,0.355,-999.25,86.96,0.459,2.83,0.41,1.67,2.102,-999.25,-999.25,
1261,12.54,0.376,-999.25,91.35,0.386,2.84,0.381,1.39,2.067,-999.25,-999.25,
1261.5,12.07,0.374,-999.25,86.96,0.476,2.82,0.428,1.84,2.071,-999.25,-999.25,
1262,11.76,0.372,-999.25,81.63,0.466,2.8,0.422,2.23,2.073,-999.25,-999.25,
1262.5,11.7,0.364,-999.25,83.57,0.425,2.8,0.396,2.01,2.087,-999.25,-999.25,
1263,11.89,0.356,-999.25,85.68,0.469,2.83,0.416,1.91,2.1,-999.25,-999.25,
1263.5,12.14,0.338,-999.25,89.23,0.496,2.87,0.424,1.82,2.131,-999.25,-999.25,
1264,11.73,0.312,-999.25,85.68,0.485,2.92,0.408,2.05,2.177,-999.25,-999.25,
1264.5,11.19,0.309,-999.25,91,0.458,2.96,0.391,2.37,2.182,-999.25,-999.25,
1265,11.19,0.319,-999.25,96.83,0.434,2.94,0.381,3.12,2.165,-999.25,-999.25,
1265.5,10.83,0.342,-999.25,100.13,0.359,2.87,0.351,2.85,2.125,-999.25,-999.25,
1266,10.9,0.349,-999.25,94.05,0.34,2.8,0.345,2.27,2.113,-999.25,-999.25,
1266.5,10.88,0.336,-999.25,86.36,0.395,2.8,0.367,2.05,2.136,-999.25,-999.25,
