DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_D,K_TIM_D,K_SDR_N,K_SDR_N_PRE
4301.5,7.98,0.151,89.56,139.92,0.244,3.45,0.203,2.1,2.451,-999.25,-999.25,0.049037796,0.04387016221880913
4302.0,7.99,0.153,89.12,128.54,0.238,3.44,0.2,2.0,2.448,-999.25,-999.25,0.007012168,0.005733955651521683
4302.5,7.95,0.141,89.06,115.83,0.241,3.54,0.197,1.98,2.469,-999.25,-999.25,0.009441543,0.0013305525062605739
4303.0,7.93,0.128,84.45,98.98,0.207,3.59,0.172,2.4,2.491,-999.25,-999.25,0.019431107,0.0003687337157316506
4303.5,8.09,0.098,80.55,85.48,0.187,3.54,0.149,3.33,2.542,-999.25,-999.25,0.10082043,0.004982882644981146
4304.0,8.95,0.084,83.54,79.07,0.198,3.39,0.152,2.44,2.566,-999.25,-999.25,0.058602203,0.011071263812482357
4304.5,8.56,0.091,83.05,70.96,0.18,3.35,0.143,2.08,2.554,-999.25,-999.25,0.126998097,0.012699254788458347
4305.0,7.82,0.099,75.82,67.8,0.119,3.53,0.109,3.24,2.541,-999.25,-999.25,0.015380666,0.0006032714736647904
4305.5,7.83,0.12,72.86,65.23,0.1,3.75,0.11,4.57,2.505,-999.25,-999.25,4.54e-05,1.4196214578987565e-05
4306.0,7.83,0.13,76.2,73.67,0.115,3.78,0.123,2.92,2.487,-999.25,-999.25,0.005013225,1.614217399037443e-05
4306.5,8.05,0.15,83.6,88.62,0.182,3.58,0.167,2.02,2.453,-999.25,-999.25,9.37e-05,1.6648586097289808e-05
4307.0,8.02,0.158,93.22,102.13,0.286,3.35,0.231,1.79,2.439,-999.25,-999.25,0.008789985,3.0030259949853644e-05
4307.5,8.13,0.158,98.07,109.71,0.34,3.4,0.265,1.8,2.44,-999.25,-999.25,0.015445549,5.785723988083191e-05
4308.0,8.16,0.157,82.43,105.93,0.169,3.6,0.163,2.19,2.442,-999.25,-999.25,0.000278879,2.549962118791882e-05
4308.5,8.06,0.165,76.63,99.05,0.123,3.93,0.146,3.15,2.428,-999.25,-999.25,4.54e-05,1.1011228707502596e-05
4309.0,7.83,0.174,80.99,90.57,0.147,4.21,0.161,2.01,2.413,-999.25,-999.25,4.54e-05,1.249953311344143e-05
4309.5,7.87,0.184,82.48,86.3,0.178,4.3,0.181,2.24,2.395,-999.25,-999.25,4.54e-05,1.2251764928805642e-05
4310.0,7.9,0.181,81.3,87.38,0.189,4.14,0.185,3.02,2.401,-999.25,-999.25,4.54e-05,1.1046115105273202e-05
4310.5,7.97,0.177,85.15,95.3,0.196,3.84,0.187,1.93,2.408,-999.25,-999.25,4.54e-05,1.164700006484054e-05
4311.0,8.04,0.149,87.64,103.9,0.224,3.63,0.19,1.91,2.454,-999.25,-999.25,0.000546439,2.9669652576558292e-05
4311.5,8.02,0.12,98.68,99.75,0.336,3.49,0.252,1.55,2.505,-999.25,-999.25,0.103685312,0.08709345757961273
4312.0,8.23,0.069,94.84,88.79,0.303,3.41,0.22,1.67,2.592,-999.25,-999.25,0.007755847,0.010113517753779888
4312.5,7.97,0.071,85.53,78.4,0.198,3.4,0.149,1.77,2.589,-999.25,-999.25,0.020984715,0.00552630377933383
