DEPT,TCMR,BVI,FFI,T2lm_BVI,T2lm_FFI,Permeability,Permeability_Core
3841.875,0.099356996,0.091041222,0.008315774,1.994205523,441.1335886,0.010675744,
3842.5,0.098693105,0.088322135,0.01037097,1.947911445,130.7326404,0.003162529,
3843.125,0.120752963,0.112969965,0.007782998,1.874282676,120.083101,0.003581837,
3843.75,0.140425918,0.140387336,3.85823E-05,2.100903667,16.29808792,0.008160521,
3844.375,0.163396394,0.163133123,0.000263272,2.067848648,67.18157755,0.014644932,
3845,0.167946671,0.166938174,0.001008497,2.624635917,370.8329099,0.02038553,
3845.625,0.158194844,0.154386276,0.003808568,3.374702102,325.2688892,0.019394726,
3846.25,0.159375311,0.147645518,0.011729793,4.647823891,160.9782115,0.026992335,
3846.875,0.161436081,0.145254018,0.016182063,5.811291292,148.9301798,0.041078344,
3847.5,0.181841492,0.166646554,0.015194938,4.720507973,130.9632916,0.045549223,
3848.125,0.201619172,0.191250232,0.01036894,3.075709141,68.33344978,0.041688183,
3848.75,0.205172571,0.201243894,0.003928676,1.926851043,93.77305316,0.031624725,
3849.375,0.186309143,0.186084,0.000225143,1.597157613,74.54954085,0.019150667,
3850,0.147925387,0.130567467,0.01735792,1.04806966,54.47648703,0.005740071,
3850.625,0.129020428,0.103842941,0.025177487,1.118035279,53.17254986,0.012661268,
3851.25,0.128630417,0.098262929,0.030367488,1.201116053,50.1772327,0.022531397,
3851.875,0.145529488,0.144840652,0.000688837,2.373134878,229.7571061,0.010444538,
3852.5,0.163541004,0.163328136,0.000212868,1.708582826,92.60876753,0.012158502,
3853.125,0.161548197,0.161606855,0,1.120245943,13.57281529,0.00764104,
3853.75,0.155643671,0.156039904,0,1.006458698,1.336404892,0.005966761,
3854.375,0.140306756,0.140588181,0,1.050676027,1.289412514,0.004104536,
3855,0.134645759,0.134985635,0,1.103325247,2.329786041,0.003663142,
3855.625,0.142618651,0.142804607,0,1.20188952,2.826528835,0.004998428,
3856.25,0.16416185,0.164263669,0,1.158544133,3.173388422,0.008434875,
3856.875,0.162692535,0.163052391,0,1.198743358,3.180167138,0.008472955,
3857.5,0.146952855,0.147280979,0,1.19005958,1.447162943,0.005599579,
3858.125,0.166667052,0.162055783,0.004611269,1.118511527,349.9044104,0.008267917,
3858.75,0.183199901,0.176522007,0.006677894,1.122203917,421.6745551,0.014432007,
3859.375,0.187641227,0.179915119,0.007726108,1.138923656,411.3343095,0.017962258,
3860,0.182332784,0.17701843,0.005314353,1.153893923,187.2575119,0.011609951,
3860.625,0.161634027,0.158733194,0.002900833,1.34664693,79.22688943,0.008553631,
3861.25,0.18451546,0.184643632,0,1.391139492,3.206171503,0.016169925,
3861.875,0.190749046,0.190816402,0,1.296658736,2.589617995,0.0171905,
3862.5,0.182890354,0.182239751,0.000650603,1.351634578,184.7165719,0.014908485,
3863.125,0.2004169,0.200805343,0,1.543073339,37.57952641,0.025089247,
3863.75,0.202678358,0.203318132,0,1.554800216,7.065845562,0.026569234,
3864.375,0.212839117,0.21359892,0,1.377112618,4.607039559,0.028665906,
3865,0.207880936,0.208487027,0,1.241128975,2.348931532,0.023449472,
3865.625,0.222446351,0.221303808,0.001142543,1.054096701,150.061812,0.025283814,
3866.25,0.23833469,0.232321567,0.006013122,1.001752709,670.4959863,0.03505974,
3866.875,0.231813664,0.226258049,0.005555615,1.027295395,1090.562469,0.038252252,
3867.5,0.216278164,0.213187888,0.003090276,1.067447449,602.6910837,0.022380659,
3868.125,0.178454263,0.17896881,0,1.263831582,1.721641977,0.012965779,
3868.75,0.187753221,0.188180803,0,2.673768003,17.48224232,0.033529339,
3869.375,0.172306375,0.167791635,0.004514741,8.887175354,362.6652179,0.070990596,
3870,0.162330652,0.147449654,0.014880998,15.43766036,142.438815,0.08292117,
3870.625,0.17581026,0.163534624,0.012275636,15.15578281,166.6361009,0.114702416,
3871.25,0.190419867,0.188484589,0.001935278,15.43994965,62.49815051,0.194872469,
3871.875,0.20647368,0.20355237,0.00292131,18.3251287,81.09063474,0.314599695,
3872.5,0.207577463,0.204342382,0.003235081,19.60255162,108.9109944,0.341792808,
3873.125,0.201322132,0.200833934,0.000488197,19.5503333,69.29589683,0.31805524,
3873.75,0.182726964,0.182405844,0.000321121,15.99417311,87.47469816,0.177058502,
3874.375,0.162318132,0.140817297,0.021500835,8.598503043,67.0362547,0.04341388,
3875,0.166850474,0.158193151,0.008657323,7.934233889,87.32002555,0.050116793,
3875.625,0.185056927,0.183039255,0.002017672,8.650479519,178.6602122,0.097104823,
3876.25,0.200691416,0.199280952,0.001410464,11.17103503,54.50002093,0.176180103,
3876.875,0.188213518,0.186818564,0.001394954,16.76358144,62.04914948,0.204196002,
3877.5,0.175688504,0.177853192,0,19.79619508,19.14174051,0.198074414,
3878.125,0.182905624,0.183645455,0,15.51384694,12.24789082,0.176457548,
3878.75,0.183051551,0.183637241,0,10.73148818,6.333069132,0.122040222,
3879.375,0.183148681,0.18311294,3.5741E-05,9.296456189,2.513640025,0.104518595,
3880,0.165087562,0.167147773,0,9.677265402,8.130314818,0.075536182,
3880.625,0.166704193,0.169064879,0,9.51426194,8.162031467,0.077730004,
3881.25,0.16407354,0.165672878,0,9.549264027,14.37263769,0.071940851,
3881.875,0.165254297,0.164950532,0.000303764,8.500043976,30.11047025,0.06292686,
3882.5,0.160605183,0.160664558,0,7.972046197,42.96206536,0.053119031,
3883.125,0.150142045,0.150020357,0.000121689,8.097897905,50.02527777,0.041017867,
3883.75,0.139243502,0.135933899,0.003309603,7.90003065,192.1734958,0.027017968,
3884.375,0.13580712,0.131604286,0.004202834,6.991944102,99.57916266,0.021004785,
3885,0.134181341,0.134251866,0,7.106610806,35.63807099,0.023085743,
3885.625,0.135000509,0.134792548,0.000207961,7.425713898,73.64108379,0.024513298,
3886.25,0.137761906,0.137991736,0,8.005188451,11.7425956,0.029025778,
3886.875,0.135748717,0.136247869,0,9.483059062,6.372781358,0.032678892,
3887.5,0.134805953,0.137162333,0,10.48337702,12.04425267,0.037105702,
3888.125,0.139666063,0.141042263,0,9.9592065,44.20668993,0.039411395,
3888.75,0.140126746,0.13896951,0.001157236,8.039181624,169.3140935,0.02998454,
3889.375,0.130833289,0.129725775,0.001107514,5.368949411,191.6797486,0.015205832,
3890,0.119351221,0.120080743,0,3.247434018,3.628657613,0.006752021,
3890.625,0.131850646,0.13209738,0,1.937983084,3.046195824,0.005901016,
3891.25,0.145265579,0.144856608,0.000408971,1.457977233,28.70162157,0.006419541,
3891.875,0.150406502,0.14883922,0.001567282,1.367975067,54.54106403,0.00671366,
3892.5,0.144776855,0.140474775,0.00430208,1.435660868,57.74432326,0.005601852,
3893.125,0.144355506,0.144726954,0,1.527458998,4.732928127,0.006701426,
3893.75,0.141516182,0.14186372,0,1.369624298,2.111900495,0.005547366,
3894.375,0.140160177,0.140563165,0,1.263731449,1.368191552,0.004933338,
3895,0.144016104,0.144102582,0,1.318558088,3.469302068,0.005685731,
3895.625,0.14901572,0.145561744,0.003453976,1.491068349,127.8726584,0.006717285,
3896.25,0.139592756,0.132184238,0.007408518,1.716963376,175.9124379,0.006174011,
3896.875,0.124686744,0.115376451,0.009310293,2.163559843,74.93469898,0.004255782,
3897.5,0.119149127,0.119313658,0,3.303000201,11.62392518,0.006693746,
3898.125,0.130368972,0.130548983,0,3.930927489,7.645182865,0.011417973,
3898.75,0.138677649,0.13896942,0,6.046459501,13.93142985,0.02255164,
3899.375,0.150992898,0.138997031,0.011995867,7.629280919,66.2687096,0.029387128,
3900,0.166194142,0.15553528,0.010658862,9.432878369,75.17375612,0.055932063,
3900.625,0.172592285,0.168237972,0.004354313,10.0682943,122.3891863,0.080712692,
3901.25,0.16693345,0.166528231,0.000405219,10.19850424,88.64986568,0.078431039,
3901.875,0.163132704,0.163748195,0,10.95643989,13.83814741,0.078772665,
3902.5,0.166759355,0.167741489,0,8.038268143,13.86534618,0.063639164,
3903.125,0.165330309,0.154863811,0.010466498,4.081790474,49.10431359,0.02376679,
3903.75,0.14136638,0.135256934,0.006109446,2.415033037,101.7310559,0.008226972,
3904.375,0.114874807,0.113451246,0.001423561,2.10796775,928.4733711,0.003527619,
3905,0.107967001,0.104586568,0.003380433,2.963428999,162.2467363,0.003580044,
3905.625,0.117024543,0.104250256,0.012774287,3.456642602,107.4753922,0.007158693,
3906.25,0.115399774,0.098899326,0.016500448,3.124745608,110.8416519,0.012096712,
3906.875,0.102101834,0.095259826,0.006842009,3.544914488,67.25898397,0.003018209,
3907.5,0.103309612,0.09994331,0.003366302,4.298489085,73.47808138,0.004295683,
3908.125,0.124385248,0.115825871,0.008559376,6.130638208,359.5039037,0.017970937,
3908.75,0.148822527,0.127639327,0.0211832,7.349326554,408.91556,0.356199364,
3909.375,0.152905829,0.101316391,0.051589438,6.891936559,179.5655614,2.291226241,
3910,0.158005918,0.101879068,0.05612685,8.99333306,124.9417695,1.558854665,
3910.625,0.175609662,0.14133669,0.034272972,13.86473186,120.2529541,0.254851806,
3911.25,0.192621906,0.17691048,0.015711425,13.68216453,99.79092858,0.140087812,
3911.875,0.180460414,0.148997095,0.031463319,10.92624939,69.05235322,0.100577354,
3912.5,0.168890199,0.142895734,0.025994465,14.18658103,78.69643161,0.087427024,
3913.125,0.161558055,0.139884796,0.021673259,16.54887913,69.16165149,0.073919431,
3913.75,0.156658431,0.138415502,0.01824293,15.22026114,95.57773153,0.065985663,
3914.375,0.14897798,0.133767107,0.015210873,12.38450779,93.85605107,0.044368649,
3915,0.147280716,0.139315548,0.007965168,8.746827906,158.559287,0.033961467,
3915.625,0.144872886,0.142847187,0.002025699,6.185704634,304.7747528,0.025771495,
