DEPT,CAL_N,SGR_N,CGR_N,RESDEEP_N,SP_N,POR_N,RHOB_N,PE_N,DPHI_N,NPHI_N,DTC_N,DTS_N,TCMR,RHOMAA_N,UMAA_N,K_GD_N,K_SDR_N,K_TIM_N,K_CORE_AIR,K_CORE_BRINE
4851,8.8,25.835,23.832,2.06,98.566,0.297,2.138,1.9,0.335,0.255,102.13,214.37,0.276,2.663,5.339,1349.912002,1417.150054,1359.931132,,
4851.5,8.78,27.112,25.434,2.03,98.516,0.299,2.125,1.92,0.342,0.249,102.79,215.41,0.287,2.664,5.37,1831.109577,1873.66217,1564.153024,,
4852,8.78,30.698,27.935,2.08,98.75,0.304,2.115,1.93,0.348,0.253,102.72,217.47,0.296,2.662,5.354,2350.527949,2355.585808,1768.374915,3000,1444.433692
4852.5,8.8,34.662,30.715,2.12,98.75,0.306,2.111,1.92,0.35,0.253,102.63,218.99,0.303,2.659,5.357,2753.835561,2723.702309,1972.596807,,
4853,8.78,37.596,33.18,2.07,99.063,0.312,2.112,1.92,0.35,0.269,101.65,218.34,0.302,2.659,5.445,2552.756169,2541.15963,1867.835294,,
4853.5,8.78,38.452,33.917,2.06,99.297,0.304,2.115,1.94,0.348,0.253,100.66,214.62,0.3,2.66,5.607,2258.38139,2271.726994,1763.073781,,
4854,8.81,37.835,34.466,2.08,99.375,0.309,2.117,1.96,0.347,0.266,100.19,211.99,0.295,2.66,5.624,1968.300395,2003.120886,1658.312268,,
4854.5,8.79,35.872,32.926,2.12,99.375,0.301,2.128,1.93,0.34,0.256,99.76,210.85,0.289,2.66,5.586,1647.364994,1701.796692,1553.550755,,
4855,8.79,35.556,33.126,2.15,99.297,0.305,2.134,1.91,0.337,0.27,99.6,209.57,0.283,2.659,5.439,1340.470103,1409.116101,1448.789241,,
4855.5,8.79,35.773,33.582,2.16,99.375,0.301,2.136,1.89,0.336,0.263,99.83,209.18,0.284,2.659,5.456,1297.658883,1368.174535,1534.188752,,
4856,8.79,34.336,31.97,2.17,99.414,0.306,2.135,1.87,0.336,0.272,100.02,209.35,0.288,2.659,5.483,1369.742876,1437.995743,1619.588262,,
4856.5,8.78,31.744,28.439,2.18,99.375,0.304,2.131,1.86,0.339,0.265,100.27,209.74,0.297,2.659,5.617,1544.46632,1605.860976,1704.987773,,
4857,8.78,27.537,24.043,2.17,99.375,0.305,2.129,1.84,0.34,0.266,100.25,210.66,0.307,2.658,5.651,1866.008895,1910.708916,1790.387283,,
4857.5,8.78,25.325,22.452,2.14,99.154,0.308,2.127,1.84,0.341,0.272,100.16,210.55,0.314,2.658,5.616,2069.587774,2101.302814,1875.786794,3520,1774.421729
4858,8.8,24.002,21.779,2.12,99.375,0.303,2.134,1.82,0.337,0.264,100.61,209.5,0.313,2.658,5.523,1999.463807,2036.052629,1819.648346,,
4858.5,8.78,23.004,20.832,2.1,99.375,0.301,2.135,1.81,0.336,0.262,101.28,208.6,0.305,2.657,5.451,1825.061691,1871.819581,1763.509898,,
4859,8.8,22.621,20.607,2.11,99.375,0.296,2.134,1.81,0.337,0.248,102.06,208.06,0.298,2.657,5.439,1761.32815,1810.90775,1707.37145,,
4859.5,8.8,23.494,21.691,2.13,99.375,0.309,2.128,1.84,0.341,0.273,102.29,209.04,0.294,2.658,5.47,1690.391426,1743.287751,1651.233002,,
4860,8.79,23.453,21.132,2.14,99.375,0.308,2.125,1.86,0.342,0.269,100.72,209.6,0.29,2.658,5.441,1621.809114,1677.896096,1595.094553,,2880
4860.5,8.81,22.802,19.526,2.18,99.219,0.305,2.128,1.88,0.34,0.265,98.24,204.58,0.281,2.657,5.373,1397.414683,1463.263343,1523.313832,,
4861,8.82,21.487,17.264,2.28,98.945,0.29,2.144,1.88,0.331,0.241,95.93,198.32,0.271,2.656,5.229,1126.002918,1200.220899,1451.533111,,
4861.5,8.76,21.444,17.511,2.4,98.828,0.275,2.171,1.85,0.315,0.228,95.04,193.52,0.259,2.657,5.186,914.4876688,991.2685314,1379.75239,,
4862,8.77,22.754,18.392,2.48,98.75,0.263,2.193,1.81,0.302,0.216,95.59,193.69,0.248,2.657,5.153,796.6671111,872.8305131,1307.971669,,
4862.5,8.78,24.213,20.396,2.45,98.477,0.257,2.199,1.79,0.299,0.207,96.9,196.76,0.243,2.656,5.168,795.1066451,870.6781456,1236.190947,,
4863,8.78,25.028,21.34,2.44,98.438,0.263,2.197,1.81,0.3,0.219,97.36,199.68,0.242,2.657,5.201,853.3030703,928.6172974,1246.672351,,
4863.5,8.77,26.119,22.867,2.45,98.125,0.265,2.193,1.84,0.302,0.222,97.18,199.79,0.244,2.658,5.255,776.6326334,852.2089055,1257.153754,,
4864,8.78,25.608,22.015,2.48,98.125,0.265,2.197,1.85,0.3,0.226,96.61,198.79,0.247,2.662,5.345,713.4937618,789.2184829,1267.635157,,
4864.5,8.79,23.983,20.336,2.49,98.125,0.255,2.204,1.84,0.296,0.205,96.44,197.44,0.251,2.664,5.327,683.4089464,759.3195487,1278.116561,,
4865,8.79,24.405,19.297,2.45,98.419,0.254,2.202,1.83,0.297,0.201,98.04,196.83,0.256,2.662,5.306,871.9258092,948.8582412,1288.597964,,
4865.5,8.81,24.234,19.364,2.42,98.125,0.259,2.189,1.82,0.305,0.204,100.14,200.04,0.263,2.66,5.23,1404.210258,1466.316174,1488.880836,,
4866,8.79,25.806,21.217,2.29,98.477,0.278,2.161,1.82,0.321,0.228,101.45,204.16,0.273,2.659,5.168,2178.301985,2191.470349,1689.163708,,
4866.5,8.78,24.308,20.608,2.17,98.125,0.295,2.135,1.8,0.336,0.246,101.56,207.79,0.281,2.658,5.162,2683.21172,2652.937662,1889.44658,,
4867,8.8,23.92,20.19,2.08,98.125,0.3,2.119,1.77,0.345,0.247,100.58,208.82,0.283,2.658,5.191,2524.570518,2510.099656,2089.729451,,
4867.5,8.78,22.107,19.439,2.05,98.125,0.3,2.123,1.76,0.343,0.249,99.58,208.38,0.28,2.658,5.291,1957.032982,1989.187215,2290.012323,,
4868,8.78,21.725,19.451,2.08,98.203,0.291,2.138,1.77,0.334,0.241,98.23,206.92,0.277,2.658,5.344,1458.691891,1520.943128,2077.412908,,
4868.5,8.79,22.152,20.127,2.2,98.125,0.285,2.155,1.8,0.324,0.239,96.89,204.34,0.266,2.659,5.402,1099.703185,1173.896342,1864.813493,4700,2574.373128
4869,8.81,23.238,19.684,2.32,98.047,0.273,2.168,1.84,0.317,0.22,95.29,201.02,0.251,2.661,5.39,854.3539131,930.5431964,1652.214078,,
4869.5,8.78,23.705,20.586,2.42,98.086,0.262,2.184,1.86,0.308,0.208,94.7,197.82,0.237,2.661,5.343,736.7650612,811.5399134,1439.614663,,
4870,8.78,24.904,22.377,2.49,97.813,0.251,2.197,1.85,0.3,0.191,94.97,198.4,0.231,2.661,5.279,719.9814064,793.9813168,1227.015247,,
4870.5,8.79,26.429,24.331,2.47,97.969,0.251,2.198,1.83,0.299,0.191,95.7,199.87,0.239,2.66,5.259,881.186663,955.722748,1712.500457,,
4871,8.78,29.29,26.851,2.4,97.734,0.263,2.183,1.83,0.308,0.207,97.18,203.83,0.255,2.658,5.282,1318.440204,1383.154588,2197.985666,,
4871.5,8.78,29.392,26.129,2.35,97.5,0.279,2.163,1.84,0.32,0.232,100.03,208.21,0.273,2.658,5.28,2082.345031,2103.252484,2683.470876,,
4872,8.81,29.64,24.984,2.27,97.734,0.295,2.14,1.83,0.333,0.251,100.57,212.96,0.286,2.659,5.267,2981.016278,2922.281289,3168.956085,,
4872.5,8.81,29.118,24.945,2.18,97.773,0.298,2.128,1.82,0.34,0.248,100.38,213.38,0.29,2.659,5.273,3136.786196,3062.298756,3654.441295,5510,3159.057049
4873,8.81,30.402,25.362,2.13,97.539,0.299,2.125,1.8,0.342,0.249,99.34,213.58,0.285,2.66,5.349,2670.489326,2642.40085,3170.476556,,
4873.5,8.81,31.145,24.143,2.09,97.5,0.293,2.133,1.79,0.337,0.242,98.94,212.56,0.283,2.661,5.381,2532.545403,2517.33028,2686.511818,,
4874,8.79,28.527,21.853,2.07,97.227,0.294,2.137,1.8,0.335,0.247,99.84,211.89,0.281,2.662,5.39,2202.901667,2216.169048,2202.54708,,
4874.5,8.8,28.268,21.701,2.09,96.719,0.293,2.142,1.8,0.332,0.248,99.38,209.31,0.275,2.662,5.312,1623.291018,1676.315664,1718.582341,,
4875,8.79,26.823,19.811,2.09,96.719,0.289,2.148,1.8,0.329,0.242,98.72,205.26,0.263,2.662,5.234,1016.359142,1092.063613,1234.617603,,
4875.5,8.79,28.392,19.756,2.1,96.406,0.277,2.163,1.78,0.32,0.226,99.75,202.1,0.253,2.661,5.179,848.0866312,924.6841492,1024.432393,,
4876,8.8,27.905,20.518,2.13,96.211,0.273,2.165,1.8,0.319,0.218,99.47,198.94,0.254,2.666,5.236,935.0866883,1010.953774,814.2471837,,
4876.5,8.78,28.568,22.775,2.2,96.016,0.281,2.16,1.86,0.322,0.233,101,195.78,0.254,2.677,5.376,846.503093,923.2310816,604.0619742,,
4877,8.79,32.796,26.935,2.28,95.82,0.276,2.174,1.97,0.314,0.233,96.53,192.62,0.243,2.695,5.598,446.6257275,514.5308034,393.8767647,,
4877.5,8.81,45.085,38.224,2.4,95.547,0.254,2.219,2.12,0.287,0.216,84,189.46,0.213,2.712,5.992,107.8379238,140.1587186,183.6915552,,
4878,8.78,64.505,53.01,3.11,95.039,0.224,2.288,2.32,0.247,0.199,82.44,171.85,0.179,2.725,6.445,15.94203509,24.3727498,147.5509126,,
4878.5,8.8,81.949,68.016,4.3,94.961,0.212,2.331,2.53,0.221,0.203,80.69,169.1,0.163,2.73,6.784,4.55654544,7.75328655,111.4102701,,
4879,8.8,91.877,78.218,5.13,94.414,0.209,2.362,2.66,0.204,0.214,81.87,168.83,0.156,2.721,6.952,2.464635033,4.420218819,75.26962751,,
4879.5,8.78,95.622,82.414,5.56,94.336,0.201,2.375,2.7,0.196,0.206,81.35,166.66,0.153,2.715,6.882,2.136465148,3.877611804,39.12898496,,
4880,8.81,99.085,86.569,5.83,94.154,0.193,2.391,2.68,0.186,0.2,80.27,167.1,0.151,2.711,6.802,1.979068212,3.614614727,2.988342415,,
4880.5,8.79,100.094,87.758,6.3,93.75,0.193,2.394,2.71,0.185,0.2,79.91,165.75,0.154,2.712,6.788,2.168076845,3.930760672,2.411292297,,
4881,8.78,103.668,91.208,7.01,93.516,0.191,2.393,2.76,0.185,0.196,79.83,165.51,0.153,2.713,6.985,1.525290761,2.852264785,1.834242178,,
4881.5,8.79,107.033,94.347,7.42,93.125,0.184,2.399,2.83,0.182,0.187,79.05,164.38,0.148,2.718,7.194,0.766730064,1.521181062,1.25719206,,
4882,8.81,112.323,96.26,7.89,93.047,0.173,2.411,2.92,0.175,0.171,78.77,162.68,0.14,2.726,7.404,0.431198593,0.898253607,0.680141941,,
4882.5,8.83,111.529,93.986,8.05,92.852,0.171,2.436,2.97,0.16,0.181,78.44,162.56,0.135,2.732,7.513,0.304884491,0.653829568,0.103091822,,
4883,8.83,110.96,93.809,8.38,93.125,0.17,2.454,3.02,0.15,0.188,77.1,162.04,0.128,2.731,7.574,0.267598746,0.579604823,0.085514082,,
4883.5,8.81,110.777,93.884,8.73,93.047,0.166,2.473,3.01,0.139,0.189,75.97,161.23,0.122,2.73,7.642,0.189952071,0.423339452,0.067936342,,
4884,8.78,111.512,95.24,9.13,93.008,0.155,2.49,3,0.129,0.178,75.84,160.32,0.119,2.728,7.723,0.128261782,0.295654083,0.050358601,,
4884.5,8.79,112.063,97.186,9.42,92.969,0.149,2.503,3.02,0.121,0.172,76.46,159.8,0.117,2.729,7.776,0.079122915,0.190249039,0.032780861,,
4885,8.79,115.745,98.952,9.59,92.868,0.146,2.512,3.08,0.116,0.171,77.8,159.6,0.11,2.732,7.811,0.033917309,0.087656805,0.015203121,,
4885.5,8.81,122.983,103.308,9.61,93.125,0.149,2.513,3.16,0.115,0.176,77.03,158.91,0.102,2.738,7.806,0.023612923,0.06286298,0.030618472,,
4886,8.81,124.021,104.398,9.64,93.672,0.148,2.52,3.21,0.111,0.177,75.66,156.98,0.102,2.741,7.775,0.029689192,0.077437846,0.046033823,,
4886.5,8.81,119.959,102.397,9.78,93.594,0.146,2.524,3.18,0.109,0.176,74.62,155.2,0.108,2.738,7.609,0.059808388,0.147001806,0.061449174,,
4887,8.83,112.197,94.733,10.24,93.75,0.149,2.52,3.12,0.111,0.18,74.48,155.46,0.12,2.732,7.441,0.137268141,0.314706396,0.076864526,,
4887.5,8.82,107.203,91.082,10.67,93.828,0.146,2.509,3.04,0.117,0.17,76.14,154.49,0.137,2.73,7.284,0.309954048,0.664229123,0.092279877,,
4888,8.83,103.985,88.058,10.3,94.265,0.148,2.492,3.01,0.128,0.166,77.33,156.68,0.142,2.732,7.285,0.415800107,0.869363645,0.083537268,,
4888.5,8.79,100.328,85.167,9.62,94.375,0.146,2.477,2.98,0.136,0.156,77.86,159.21,0.146,2.739,7.234,0.524315189,1.075110563,0.074794658,,
4889,8.79,99.541,84.449,9.18,94.297,0.157,2.46,2.97,0.146,0.168,78.15,162.81,0.145,2.743,7.334,0.511116076,1.050399087,0.066052049,,
4889.5,8.81,100.824,84.574,9,94.297,0.163,2.464,2.95,0.144,0.181,77.27,162.81,0.139,2.742,7.473,0.324124312,0.692204939,0.05730944,,
4890,8.78,109.096,88.387,8.82,94.297,0.162,2.485,2.95,0.132,0.188,76.51,160.8,0.131,2.735,7.654,0.181266774,0.406615859,0.048566831,,
4890.5,8.79,113.444,93.785,8.79,94.414,0.156,2.508,2.96,0.118,0.186,76.35,158.7,0.122,2.729,7.655,0.094496654,0.223942588,0.106004157,,
4891,8.83,111.74,93.84,8.98,94.609,0.152,2.504,3.01,0.12,0.178,76.23,158.7,0.116,2.725,7.487,0.066286837,0.161793912,0.163441484,,
4891.5,8.83,107.86,90.919,9.21,94.57,0.157,2.493,3.03,0.127,0.183,76.88,154.04,0.113,2.722,7.466,0.067281675,0.16386347,0.220878811,,
4892,8.83,107.015,90.946,8.64,94.688,0.156,2.488,3,0.13,0.178,78.08,149.38,0.116,2.714,7.537,0.118547552,0.274927118,0.278316138,,
4892.5,8.83,108.689,92.092,7.95,94.766,0.162,2.489,2.92,0.129,0.19,79.27,144.72,0.128,2.71,7.515,0.389006287,0.815288833,0.335753465,,
4893,8.82,104.206,89.597,7.44,94.57,0.172,2.465,2.84,0.144,0.197,81.75,148.52,0.144,2.716,7.223,1.715935988,3.169307877,2.382325045,,
4893.5,8.82,96.308,84.664,6.42,94.531,0.199,2.41,2.77,0.175,0.22,84.17,161.4,0.165,2.728,6.732,6.20930275,10.28598622,4.428896626,,
4894,8.81,86.882,74.069,5.68,94.265,0.217,2.361,2.69,0.204,0.229,85.39,174.29,0.178,2.732,6.449,13.69668983,21.22150711,6.475468206,,
4894.5,8.8,80.129,68.728,5.14,93.828,0.222,2.331,2.66,0.222,0.221,85.38,179.01,0.182,2.725,6.46,15.62148995,23.93869895,8.522039787,,
4895,8.82,76.463,64.666,5,93.75,0.207,2.34,2.65,0.216,0.197,84.59,177.6,0.18,2.717,6.652,9.888410057,15.7693952,10.56861137,,
4895.5,8.81,83.023,70.515,4.84,93.359,0.193,2.362,2.74,0.204,0.182,82.51,173.15,0.169,2.721,6.849,3.347569911,5.85982378,8.474843161,,
4896,8.82,92.891,77.308,5.47,93.125,0.175,2.406,2.81,0.178,0.172,80,167.36,0.157,2.734,6.904,1.177435538,2.254426197,6.381074955,,
