DEPT,CAL_N,SGR_N,CGR_N,RESDEEP_N,SP_N,POR_N,RHOB_N,PE_N,DPHI_N,NPHI_N,DTC_N,DTS_N,TCMR,RHOMAA_N,UMAA_N,K_GD_N,K_SDR_N,K_TIM_N,K_CORE_AIR,K_CORE_BRINE
3500,12.3,125.444,100.403,1.59,60,0.251,2.397,2.87,0.183,0.304,109.44,235.19,0.161,2.74,8.261,,,,,
3500.5,12.28,128.763,105.407,1.56,59.922,0.253,2.4,2.88,0.181,0.308,108.92,235.94,0.158,2.745,8.055,,,,,
3501,12.27,134.72,112.834,1.51,60,0.252,2.399,2.86,0.182,0.307,109.2,236.01,0.169,2.75,7.857,,,,,
3501.5,12.28,145.062,122.663,1.55,59.844,0.25,2.39,2.85,0.187,0.299,109.48,234.2,0.177,2.751,7.771,,,,,
3502,12.26,152.886,126.969,1.6,60,0.253,2.383,2.84,0.191,0.303,109.72,233.41,0.177,2.747,7.868,,,,,
3502.5,12.28,157.57,130.41,1.6,60,0.253,2.377,2.85,0.195,0.3,109.36,234.28,0.174,2.741,7.992,,,,,
3503,12.27,148.408,118.858,1.51,60,0.251,2.374,2.85,0.197,0.296,108.15,237.9,0.169,2.741,8.158,,,,,
3503.5,12.27,136.416,107.379,1.66,60.313,0.255,2.38,2.83,0.193,0.305,106.07,233.6,0.165,2.739,8.351,,,,,
3504,12.27,122.297,98.254,2,60.625,0.244,2.388,2.84,0.188,0.289,104.73,228.47,0.158,2.743,8.482,,,,,
3504.5,12.27,117.688,93.274,2.22,60.625,0.246,2.396,2.9,0.184,0.295,103.77,215.79,0.15,2.744,8.5,,,,,
3505,12.28,114.575,85.794,2.28,60.625,0.231,2.404,2.99,0.179,0.274,102.87,213.37,0.148,2.742,8.291,,,,,
3505.5,12.27,114.139,84.546,2.34,60.625,0.234,2.414,3.05,0.173,0.282,103.68,212.57,0.151,2.737,7.992,,,,,
3506,12.26,116.399,83.832,2.32,60.625,0.232,2.413,3.06,0.174,0.279,103.14,208.26,0.15,2.732,7.699,,,,,
3506.5,12.27,118.971,87.089,2.25,61.211,0.24,2.397,3.01,0.183,0.286,104.22,210.57,0.146,2.727,7.66,,,,,
3507,12.26,121.678,88.75,2.16,61.25,0.251,2.38,2.96,0.193,0.298,104.23,211.41,0.143,2.72,7.841,,,,,
3507.5,12.27,121.607,88.959,2.15,61.484,0.246,2.382,2.91,0.192,0.29,103.78,212.72,0.146,2.719,7.993,,,,,
3508,12.27,124.061,88.904,2.16,61.875,0.252,2.386,2.89,0.189,0.302,103.74,213.83,0.155,2.72,7.983,,,,,
3508.5,12.27,124.843,92.079,2.04,61.875,0.238,2.382,2.88,0.192,0.276,103.85,214.13,0.161,2.726,7.929,,,,,
3509,12.28,128.066,95.372,1.96,62.109,0.248,2.373,2.88,0.197,0.291,105.23,215.27,0.165,2.725,7.874,,,,,
3509.5,12.27,130.209,95.29,1.98,61.914,0.252,2.37,2.89,0.199,0.296,105.8,219.35,0.166,2.729,7.848,,,,,
3510,12.27,136.459,96.728,1.83,62.109,0.279,2.374,2.89,0.197,0.342,106.2,223.31,0.16,2.737,7.538,,,,,
3510.5,12.29,136.377,99.211,1.71,61.875,0.284,2.38,2.89,0.193,0.353,105.67,227.23,0.153,2.749,7.27,,,,,
3511,12.34,132.339,96.92,1.85,61.953,0.265,2.387,2.87,0.189,0.324,104.79,224.39,0.146,2.753,7.082,,,,,
3511.5,12.3,126.484,93.396,2.13,62.458,0.241,2.395,2.84,0.184,0.287,103.89,218.86,0.143,2.744,7.347,,,,,
3512,12.3,122.563,86.543,2.24,62.5,0.223,2.396,2.83,0.183,0.257,102.46,214.84,0.144,2.729,7.664,,,,,
3512.5,12.29,119.921,84.619,2.37,62.5,0.223,2.392,2.84,0.186,0.254,101.81,211.87,0.146,2.716,8.049,,,,,
3513,12.28,117.233,81.593,2.5,62.891,0.228,2.392,2.85,0.186,0.263,100.81,208.56,0.149,2.714,8.128,,,,,
3513.5,12.27,116.151,83.383,2.64,63.125,0.225,2.404,2.84,0.179,0.263,100.19,206.25,0.151,2.717,8.17,,,,,
3514,12.28,117.229,82.153,2.67,63.125,0.234,2.415,2.82,0.172,0.283,99.78,200.49,0.153,2.721,7.914,,,,,
3514.5,12.28,114.042,78.431,2.8,63.25,0.236,2.422,2.81,0.169,0.288,98.12,198.08,0.151,2.72,7.75,,,,,
3515,12.27,111.866,77.902,3.01,63.164,0.237,2.425,2.81,0.167,0.29,97.47,196.93,0.146,2.715,7.606,,,,,
3515.5,12.26,111.803,81.31,3.04,63.398,0.227,2.43,2.83,0.163,0.276,95.91,191.29,0.139,2.716,7.62,,,,,
3516,12.26,113.391,82.41,3.06,63.75,0.214,2.432,2.86,0.163,0.255,94.5,188.85,0.137,2.723,7.488,,,,,
3516.5,12.27,115.995,83.852,3.13,63.633,0.212,2.429,2.89,0.164,0.251,93.95,184.89,0.138,2.73,7.374,,,,,
3517,12.26,113.295,82.129,3.3,63.75,0.211,2.431,2.88,0.163,0.25,93.68,182.06,0.141,2.729,7.499,,,,,
3517.5,12.27,112.402,79.79,3.35,64.141,0.219,2.435,2.87,0.161,0.265,93.27,181.42,0.148,2.728,7.76,,,,,
3518,12.25,113.075,85.384,3.37,64.219,0.221,2.439,2.87,0.159,0.269,92.89,181.42,0.162,2.735,7.898,,,,,
3518.5,12.27,115.595,88.167,3.43,64.375,0.221,2.44,2.87,0.158,0.269,92.31,181.43,0.169,2.745,7.765,,,,,
3519,12.27,119.901,92.206,3.59,64.708,0.218,2.431,2.88,0.163,0.262,91.82,180.86,0.172,2.749,7.655,,,,,
3519.5,12.3,123.63,94.531,3.82,65,0.218,2.418,2.88,0.171,0.257,91.54,178.1,0.171,2.74,7.685,,,,,
3520,12.35,123.191,96.992,3.73,65.078,0.219,2.415,2.89,0.173,0.257,91.95,177.86,0.16,2.723,7.836,,,,,
3520.5,12.46,119.211,92.127,3.7,65.469,0.215,2.423,2.92,0.168,0.254,91.67,179.13,0.155,2.707,8.106,,,,,
3521,12.45,114.185,86.695,3.7,65.352,0.218,2.437,2.95,0.16,0.263,91.26,178.48,0.151,2.707,8.386,,,,,
3521.5,12.28,113.686,87.15,3.9,65.625,0.221,2.439,2.99,0.158,0.27,91.32,177.47,0.145,2.713,8.712,,,,,
3522,12.28,114.377,87.675,4.2,65.469,0.219,2.438,2.99,0.159,0.266,91.84,175.69,0.141,2.727,8.828,,,,,
3522.5,12.27,114.703,84.469,4.28,65,0.22,2.429,2.98,0.164,0.264,93.83,177.28,0.146,2.73,8.807,,,,,
3523,12.24,116.604,84.956,4.39,65,0.21,2.429,2.95,0.164,0.248,94.98,182.03,0.146,2.727,8.819,,,,,
3523.5,12.27,116.528,79.564,3.65,65,0.217,2.431,2.98,0.163,0.26,94.44,186.2,0.146,2.72,9.027,,,,,
3524,12.25,117.34,78.944,3.46,65,0.215,2.433,3.06,0.162,0.257,94.06,189.42,0.144,2.723,9.337,,,,,
3524.5,12.26,117.197,76.896,3.29,65,0.215,2.431,3.18,0.163,0.257,93.42,189.02,0.137,2.726,9.606,,,,,
3525,12.24,120.248,81.763,3.26,64.414,0.212,2.424,3.32,0.167,0.249,94.09,186.25,0.133,2.728,9.72,,,,,
3525.5,12.26,122.114,77.35,3.29,64.375,0.219,2.416,3.41,0.172,0.258,96.66,183.98,0.131,2.728,9.768,,,,,
3526,12.26,121.005,78.703,3.34,64.375,0.234,2.402,3.46,0.18,0.278,98.76,185.55,0.137,2.732,9.672,,,,,
3526.5,12.23,113.418,73.946,3.37,64.531,0.229,2.401,3.42,0.181,0.269,99.57,190.81,0.144,2.741,9.687,,,,,
3527,12.24,106.736,67.92,3.09,64.414,0.229,2.408,3.42,0.176,0.271,98.41,195.01,0.15,2.742,9.8,,,,,
3527.5,12.24,106.346,66.007,2.92,64.727,0.219,2.424,3.47,0.168,0.26,97.49,196.59,0.151,2.738,10.291,,,,,
3528,12.23,110.619,68.869,2.93,64.458,0.227,2.434,3.59,0.162,0.277,95.86,192.61,0.151,2.732,10.473,,,,,
3528.5,12.24,108.609,69.608,3.33,64.453,0.231,2.425,3.69,0.167,0.281,95.29,188.14,0.152,2.736,10.267,,,,,
3529,12.26,103.172,66.994,3.78,64.922,0.237,2.409,3.73,0.176,0.285,95.56,186,0.153,2.743,9.803,,,,,
3529.5,12.26,101.248,64.79,3.75,64.57,0.239,2.397,3.68,0.183,0.284,95.06,185.57,0.156,2.739,9.779,,,,,
3530,12.26,101.097,64.12,3.86,64.453,0.235,2.402,3.63,0.18,0.279,93.64,185.92,0.16,2.73,10.112,,,,,
3530.5,12.28,101.843,61.685,4.1,64.258,0.225,2.407,3.65,0.177,0.263,92.73,185.84,0.161,2.723,10.464,,,,,
3531,12.25,99.85,63.58,4.23,63.945,0.221,2.414,3.7,0.173,0.261,92.99,181.49,0.158,2.725,10.494,,,,,
3531.5,12.26,103.459,65.633,3.97,63.75,0.218,2.424,3.7,0.167,0.259,93.2,178.43,0.152,2.727,10.286,,,,,
3532,12.27,106.666,66.802,3.86,63.75,0.216,2.443,3.61,0.156,0.262,93.13,180.55,0.145,2.727,10.032,,,,,
3532.5,12.26,105.763,68.06,4.04,63.75,0.207,2.451,3.53,0.151,0.25,91.99,182.62,0.139,2.728,9.795,,,,,
3533,12.28,101.218,67.053,4.01,63.867,0.199,2.456,3.51,0.148,0.239,90.35,181.46,0.133,2.732,9.8,,,,,
3533.5,12.28,94.983,63.901,3.87,64.023,0.195,2.458,3.57,0.147,0.234,89.11,177.46,0.132,2.738,9.855,,,,,
3534,12.31,92.25,62.086,3.63,63.867,0.192,2.465,3.64,0.143,0.23,90.18,172.16,0.135,2.74,10.079,,,,,
3534.5,12.26,88.446,58.734,3.5,63.75,0.178,2.479,3.67,0.135,0.213,91.24,167.99,0.139,2.74,10.186,,,,,
3535,12.27,85.344,58.7,4.65,63.516,0.179,2.481,3.65,0.134,0.214,92.31,169.44,0.145,2.741,10.054,,,,,
3535.5,12.27,88.793,61.967,3.8,63.281,0.2,2.46,3.59,0.146,0.243,98.11,172.69,0.152,2.74,9.777,,,,,
3536,12.26,103.791,74.22,2.56,63.125,0.248,2.432,3.47,0.163,0.31,100.64,179.46,0.153,2.737,9.358,,,,,
3536.5,12.27,114.991,84.372,1.48,62.695,0.267,2.417,3.36,0.171,0.336,100.67,211.79,0.15,2.729,9.206,,,,,
3537,12.27,115.158,84.413,1.86,62.375,0.252,2.424,3.28,0.167,0.314,96.81,208.37,0.145,2.729,9.074,,,,,
3537.5,12.27,110.284,81.22,3.91,61.875,0.227,2.424,3.27,0.167,0.273,96.55,200.19,0.136,2.731,9.189,,,,,
3538,12.27,111.191,82.936,5.61,61.328,0.225,2.421,3.24,0.169,0.27,98.11,185.05,0.134,2.739,9.171,,,,,
3538.5,12.27,117.07,85.951,4.31,61.25,0.23,2.423,3.18,0.168,0.278,98.34,184.31,0.133,2.738,9.282,,,,,
3539,12.28,117.491,88.073,3.52,60.898,0.226,2.442,3.16,0.157,0.278,95.05,192.96,0.133,2.733,9.248,,,,,
3539.5,12.26,113.677,86.707,3.36,60.625,0.202,2.464,3.21,0.144,0.247,91.68,190.71,0.135,2.727,9.238,,,,,
3540,12.27,108.407,83.163,3.25,60.273,0.195,2.465,3.33,0.143,0.235,90.44,181.77,0.138,2.726,9.021,,,,,
3540.5,12.27,107.208,81.508,3.17,60.508,0.19,2.452,3.41,0.151,0.223,91.33,177.49,0.135,2.727,8.866,,,,,
3541,12.28,108.709,82.42,3.2,60.583,0.203,2.436,3.42,0.16,0.237,92.97,180.57,0.133,2.727,8.889,,,,,
3541.5,12.28,113.195,87.766,3.15,60,0.21,2.431,3.41,0.163,0.248,95.43,184.92,0.133,2.725,9.182,,,,,
3542,12.28,115.224,89.15,2.75,60,0.208,2.432,3.39,0.163,0.244,101.8,194.42,0.137,2.724,9.436,,,,,
3542.5,12.23,119.536,92.063,2.38,60,0.217,2.438,3.29,0.159,0.263,103.32,198.93,0.143,2.725,9.467,,,,,
3543,12.27,120.902,95.015,2.34,59.805,0.225,2.435,3.16,0.161,0.275,101.87,199.36,0.156,2.725,9.247,,,,,
3543.5,12.28,120.539,92.689,2.46,59.57,0.24,2.432,3.05,0.162,0.297,99.94,199.79,0.162,2.727,9.123,,,,,
3544,12.26,117.548,91.77,2.56,59.453,0.233,2.426,3.07,0.166,0.285,98.82,198.86,0.158,2.727,9.153,,,,,
3544.5,12.27,110.979,84.754,2.91,60,0.225,2.43,3.16,0.164,0.273,96.63,198.64,0.148,2.731,9.405,,,,,
3545,12.27,108.501,82.216,3.1,60,0.21,2.439,3.3,0.158,0.251,94.65,196.25,0.135,2.731,9.693,,,,,
3545.5,12.27,104.74,80.456,3.24,60.078,0.202,2.453,3.42,0.15,0.243,91.11,187,0.131,2.729,10.039,,,,,
3546,12.26,100.611,78.294,3.35,59.625,0.19,2.465,3.52,0.143,0.226,87.56,179.14,0.131,2.719,10.249,,,,,
3546.5,12.28,98.308,75.252,3.83,59.375,0.186,2.474,3.57,0.138,0.224,91.83,174.76,0.136,2.717,10.135,,,,,
3547,12.26,108.61,79.247,3.89,59.375,0.192,2.465,3.53,0.143,0.231,96.1,175.58,0.145,2.718,9.921,,,,,
3547.5,12.27,131.704,94.353,2.94,58.789,0.21,2.444,3.42,0.155,0.253,100.33,188.73,0.151,2.722,9.85,,,,,
3548,12.28,139.944,102.093,2.18,58.75,0.219,2.426,3.3,0.166,0.261,99.85,204,0.154,2.734,9.673,,,,,
3548.5,12.27,129.374,93.975,2.34,59.297,0.214,2.423,3.27,0.168,0.252,98.11,206.25,0.154,2.738,9.597,,,,,
3549,12.26,112.845,81.63,2.75,59.375,0.222,2.426,3.26,0.166,0.266,96.5,198.12,0.147,2.736,9.642,,,,,
3549.5,12.29,106.061,78.065,2.75,59.375,0.23,2.422,3.28,0.169,0.278,96.75,190.43,0.137,2.733,9.817,,,,,
3550,12.27,104.108,77.027,2.9,59.375,0.234,2.425,3.26,0.167,0.286,95.53,187.37,0.13,2.731,9.796,,,,,
3550.5,12.28,100.603,74.722,3,58.867,0.214,2.438,3.24,0.159,0.258,94.29,188.22,0.133,2.727,9.8,,,,,
3551,12.27,101.983,77.194,2.97,59.063,0.214,2.449,3.24,0.153,0.261,94.44,185.86,0.132,2.724,9.42,,,,,
3551.5,12.3,106.96,80.894,2.96,58.906,0.213,2.448,3.23,0.153,0.26,95.42,183.42,0.131,2.722,9.153,,,,,
3552,12.3,106.773,82.15,2.94,58.75,0.21,2.444,3.21,0.155,0.253,96.6,186.36,0.13,2.722,9.005,,,,,
3552.5,12.26,105.789,84.2,2.92,58.75,0.207,2.443,3.21,0.156,0.248,97,188.85,0.127,2.722,9.434,,,,,
3553,12.28,104.186,83.209,3.06,58.477,0.213,2.438,3.25,0.159,0.255,96.97,193.15,0.135,2.723,10.032,,,,,
3553.5,12.26,105.923,84.756,3.02,58.672,0.222,2.428,3.31,0.165,0.267,96.82,191.95,0.137,2.724,10.458,,,,,
3554,12.27,103.448,83.162,3.06,58.25,0.219,2.429,3.35,0.164,0.262,95.6,191.02,0.134,2.724,10.549,,,,,
3554.5,12.27,98.545,79.624,3,58.32,0.213,2.437,3.4,0.16,0.256,93.74,189.51,0.13,2.73,10.095,,,,,
3555,12.26,94.296,76.279,3.17,58.125,0.213,2.448,3.48,0.153,0.26,97.64,186.64,0.13,2.729,9.575,,,,,
3555.5,12.26,93.845,75.553,3.38,58.086,0.216,2.449,3.53,0.153,0.265,96.87,185.48,0.131,2.727,9.131,,,,,
3556,12.27,101.065,82.906,3.14,57.667,0.226,2.438,3.51,0.159,0.277,98.77,188.16,0.13,2.718,9.043,,,,,
3556.5,12.27,108.022,88.215,2.84,57.578,0.228,2.427,3.42,0.166,0.276,99.3,194.75,0.131,2.716,9.093,,,,,
3557,12.27,109.158,87.34,2.66,57.852,0.235,2.423,3.32,0.168,0.286,98.76,201.02,0.133,2.714,9.224,,,,,
3557.5,12.27,105.495,85.394,2.51,58.125,0.23,2.435,3.26,0.161,0.283,97.33,202.23,0.132,2.724,8.977,,,,,
3558,12.31,101.818,84.569,2.59,58.125,0.225,2.446,3.26,0.154,0.278,96.36,199.04,0.133,2.733,8.939,,,,,
3558.5,12.26,103.832,84.346,2.94,58.164,0.219,2.45,3.3,0.152,0.269,96.71,194.95,0.133,2.74,8.885,,,,,
3559,12.27,105.928,83.963,3.1,58.164,0.218,2.447,3.33,0.154,0.267,96.5,193.07,0.134,2.733,9.416,,,,,
3559.5,12.28,104.176,80.876,3.18,58.164,0.22,2.443,3.39,0.156,0.27,95.07,192.09,0.134,2.725,10.06,,,,,
3560,12.25,95.94,73.736,3.16,58.125,0.21,2.447,3.53,0.154,0.255,89.05,188.28,0.128,2.72,10.688,,,,,
3560.5,12.26,82.714,61.592,3.35,58.125,0.189,2.467,3.71,0.142,0.227,84.53,183.66,0.133,2.727,10.73,,,,,
3561,12.26,80.2,59.009,3.69,58.125,0.166,2.485,3.84,0.132,0.194,84.88,170.87,0.142,2.736,10.359,,,,,
3561.5,12.26,87.403,64.341,4.44,57.969,0.171,2.487,3.82,0.131,0.204,92.2,166.99,0.155,2.744,9.757,,,,,
3562,12.27,101.507,72.073,3.48,57.969,0.185,2.469,3.63,0.141,0.221,96.81,174.67,0.168,2.749,9.135,,,,,
3562.5,12.27,111.814,79.749,2.78,57.344,0.205,2.451,3.4,0.151,0.247,99.36,186.15,0.17,2.746,8.695,,,,,
3563,12.27,117.286,84.228,2.37,56.958,0.211,2.443,3.21,0.156,0.255,100.46,198.9,0.163,2.742,8.439,,,,,
3563.5,12.26,121.848,83.998,2.24,57.07,0.22,2.437,3.11,0.16,0.266,101.65,208.65,0.153,2.736,8.461,,,,,
3564,12.28,123.858,88.808,2.23,56.875,0.235,2.428,3.1,0.165,0.289,102.37,208.88,0.148,2.735,8.639,,,,,
3564.5,12.27,126.634,93.068,2.44,56.875,0.244,2.419,3.12,0.17,0.301,102.82,210.34,0.144,2.735,9.138,,,,,
3565,12.27,130.349,95.578,2.61,56.758,0.256,2.412,3.2,0.174,0.318,102.43,212.32,0.134,2.729,9.93,,,,,
3565.5,12.28,129.863,96.883,2.54,56.25,0.248,2.426,3.35,0.166,0.309,92.3,209.51,0.127,2.721,10.652,,,,,
3566,12.27,114.593,84.984,2.49,56.25,0.213,2.453,3.59,0.15,0.261,87.75,201.52,0.121,2.713,10.94,,,,,
3566.5,12.26,96.119,71.518,2.91,56.875,0.173,2.482,3.78,0.133,0.206,85.37,182.95,0.12,2.712,10.686,,,,,
3567,12.25,86.71,63.375,3.83,56.953,0.163,2.488,3.83,0.13,0.191,85.26,168.77,0.124,2.713,10.371,,,,,
3567.5,12.26,90.62,66.507,3.92,56.875,0.171,2.483,3.71,0.133,0.202,90.24,170.72,0.126,2.717,10.148,,,,,
3568,12.26,102.301,76.044,3.72,56.875,0.194,2.473,3.56,0.138,0.237,92.49,172.59,0.134,2.724,9.974,,,,,
3568.5,12.26,104.276,75.87,3.36,56.875,0.207,2.462,3.46,0.145,0.254,94.19,182.01,0.137,2.736,9.629,,,,,
3569,12.27,105.508,77.313,3.19,56.914,0.215,2.447,3.42,0.154,0.262,95.64,189.81,0.138,2.739,9.317,,,,,
3569.5,12.25,102.269,72.842,2.89,57.5,0.231,2.435,3.38,0.161,0.284,98.82,188.84,0.137,2.738,9.24,,,,,
3570,12.24,111.259,77.306,2.88,57.5,0.236,2.427,3.35,0.166,0.289,100.25,196.51,0.128,2.727,9.577,,,,,
3570.5,12.26,120.6,83.229,2.92,57.539,0.247,2.426,3.34,0.166,0.308,98.67,198.88,0.122,2.716,9.891,,,,,
3571,12.26,120.223,81.597,2.86,57.773,0.226,2.428,3.4,0.165,0.273,95.48,200.78,0.118,2.712,9.98,,,,,
3571.5,12.23,107.928,74.66,3.32,58.125,0.199,2.447,3.45,0.154,0.236,91.83,189.25,0.115,2.716,9.794,,,,,
3572,12.23,95.603,66.565,3.75,58.125,0.179,2.461,3.5,0.146,0.208,91.16,177.84,0.116,2.723,9.64,,,,,
3572.5,12.25,90.158,61.51,3.88,58.125,0.18,2.467,3.52,0.142,0.211,91.42,172.04,0.122,2.729,9.53,,,,,
3573,12.23,90.49,60.398,3.93,58.125,0.195,2.462,3.52,0.145,0.234,91.84,170.04,0.128,2.731,9.532,,,,,
3573.5,12.24,89.668,59.181,4.17,58.125,0.201,2.452,3.55,0.151,0.24,91.31,175.32,0.13,2.729,9.68,,,,,
3574,12.23,88.422,60.295,4.44,58.125,0.196,2.456,3.54,0.149,0.234,90.62,176.31,0.125,2.729,9.88,,,,,
3574.5,12.26,83.222,56.798,4.7,58.125,0.183,2.463,3.58,0.144,0.215,87.75,171.98,0.117,2.728,10.009,,,,,
3575,12.23,78.197,53.021,4.6,58.047,0.173,2.479,3.65,0.135,0.204,85.29,169.02,0.112,2.735,9.867,,,,,
3575.5,12.26,75.573,51.834,4.76,58.125,0.165,2.482,3.78,0.133,0.192,84.86,165.86,0.11,2.737,9.659,,,,,
3576,12.24,77.832,53.319,5.15,58.125,0.164,2.482,3.85,0.133,0.19,86.18,161.1,0.112,2.736,9.507,,,,,
3576.5,12.23,87.025,58.991,4.81,58.125,0.168,2.479,3.82,0.135,0.196,88.45,160.97,0.117,2.728,9.488,,,,,
3577,12.23,94.074,63.899,5.52,58.125,0.176,2.471,3.74,0.14,0.206,89.21,161.07,0.124,2.72,9.612,,,,,
3577.5,12.24,98.381,68.696,4.56,58.125,0.187,2.462,3.66,0.145,0.222,89.86,163.03,0.126,2.719,9.639,,,,,
3578,12.24,96.674,68.756,4.46,58.625,0.197,2.459,3.61,0.147,0.237,89.19,166.64,0.126,2.72,9.861,,,,,
3578.5,12.23,94.604,68.807,5.05,58.672,0.197,2.46,3.61,0.146,0.237,88.53,167.16,0.126,2.723,10.107,,,,,
3579,12.25,93.615,67.608,5.64,58.633,0.182,2.47,3.69,0.14,0.216,85.48,167.98,0.125,2.72,10.626,,,,,
3579.5,12.24,89.429,62.944,5.52,58.75,0.162,2.481,3.79,0.134,0.187,81.58,163.87,0.123,2.721,10.951,,,,,
3580,12.24,82.173,56.133,5.38,58.594,0.147,2.501,3.86,0.123,0.168,79.77,160.89,0.118,2.726,11.069,,,,,
3580.5,12.24,80.134,56.019,5.12,58.125,0.14,2.515,3.89,0.114,0.163,82.17,152.69,0.11,2.734,10.982,,,,,
3581,12.24,76.296,53.537,4.29,58.516,0.134,2.519,3.86,0.112,0.154,84.57,153.95,0.116,2.744,10.482,,,,,
3581.5,12.24,85.55,61.104,4.99,58.711,0.14,2.507,3.77,0.119,0.158,86.97,160.82,0.13,2.747,10.024,,,,,
3582,12.25,93.791,68.598,5.87,58.75,0.185,2.465,3.6,0.143,0.219,92.1,165.5,0.145,2.747,9.647,,,,,
3582.5,12.23,108.04,77.788,2.62,58.75,0.232,2.429,3.45,0.164,0.284,93.26,182.89,0.151,2.732,10.052,,,,,
3583,12.22,103.075,73.558,1.56,58.75,0.231,2.417,3.43,0.171,0.279,91.74,200.6,0.137,2.72,10.671,,,,,
3583.5,12.2,91.145,64.49,2.22,58.867,0.189,2.449,3.56,0.152,0.22,86.9,186.36,0.117,2.713,11.126,,,,,
3584,12.23,81.335,55.968,5.8,58.75,0.154,2.475,3.78,0.137,0.17,82.17,163.62,0.099,2.714,11.227,,,,,
3584.5,12.23,76.921,52.865,5.61,58.828,0.154,2.49,3.92,0.129,0.176,82.86,147.52,0.089,2.723,10.991,,,,,
3585,12.23,76.727,53.489,8.52,58.75,0.152,2.488,3.99,0.13,0.17,83.32,146.96,0.088,2.731,10.911,,,,,
3585.5,12.22,73.921,53.716,11.01,58.75,0.155,2.488,4.03,0.13,0.177,84.24,154.48,0.086,2.735,11.055,,,,,
3586,12.24,75.707,52.978,9.6,58.867,0.158,2.485,4.11,0.132,0.18,83.98,152.79,0.086,2.731,11.53,,,,,
3586.5,12.23,73.147,49.505,6.61,59.063,0.154,2.498,4.19,0.124,0.179,80.73,149.45,0.086,2.726,11.999,,,,,
3587,12.23,67.413,43.5,4.3,58.867,0.132,2.522,4.27,0.11,0.15,77.89,150.41,0.087,2.723,12.293,,,,,
3587.5,12.22,63.082,39.804,6.01,58.711,0.122,2.542,4.31,0.098,0.142,76.6,146.06,0.087,2.722,12.251,,,,,
3588,12.23,63.303,40.757,11.86,58.32,0.125,2.527,4.38,0.107,0.14,77.45,142.89,0.091,2.721,12.008,,,,,
3588.5,12.24,64.155,41.644,9.86,58.672,0.142,2.499,4.4,0.123,0.159,79.43,144.37,0.092,2.721,11.734,,,,,
3589,12.23,68.27,44.142,8.19,58.75,0.151,2.484,4.35,0.132,0.168,80.18,145.56,0.092,2.718,11.575,,,,,
3589.5,12.24,69.546,44.943,8.17,58.75,0.152,2.489,4.26,0.129,0.171,80.46,148.29,0.092,2.719,11.538,,,,,
3590,12.23,71.694,45.892,7.79,59.081,0.149,2.501,4.18,0.122,0.171,80.04,149.39,0.093,2.719,11.635,,,,,
3590.5,12.24,68.87,43.579,10.61,58.833,0.142,2.5,4.22,0.123,0.158,79.53,145.96,0.091,2.719,11.808,,,,,
3591,12.24,69.243,40.888,8.88,59.375,0.145,2.496,4.26,0.125,0.162,80.49,147.21,0.09,2.721,11.916,,,,,
3591.5,12.24,70.449,43.249,8.34,59.219,0.15,2.496,4.25,0.125,0.171,80.87,147.73,0.092,2.726,11.87,,,,,
3592,12.27,70.297,43.786,7.6,59.336,0.149,2.502,4.21,0.122,0.172,80.58,147.89,0.097,2.73,11.889,,,,,
3592.5,12.27,68.848,45.319,7.94,59.375,0.15,2.506,4.14,0.119,0.175,80.15,150.39,0.102,2.727,11.971,,,,,
3593,12.23,67.905,46.097,9.24,59.141,0.149,2.512,4.14,0.116,0.176,79.27,146,0.098,2.72,12.159,,,,,
3593.5,12.26,67.922,43.648,9.36,58.984,0.145,2.525,4.15,0.108,0.174,77.09,144.5,0.087,2.716,11.967,,,,,
3594,12.24,62.249,39.36,9.06,59.102,0.133,2.541,4.2,0.099,0.161,76.55,147.54,0.079,2.717,11.662,,,,,
3594.5,12.23,65.508,42.134,8.46,59.375,0.131,2.538,4.17,0.101,0.156,78.01,145.07,0.077,2.721,11.108,,,,,
3595,12.24,72.083,47.263,8.1,59.375,0.147,2.511,4.08,0.116,0.173,82.83,149.42,0.079,2.718,10.969,,,,,
3595.5,12.24,85.283,57.216,7.58,59.375,0.175,2.479,3.98,0.135,0.206,86.66,153.01,0.081,2.714,11.143,,,,,
3596,12.26,88.512,58.701,6.98,59.336,0.184,2.456,3.98,0.148,0.213,87.48,157.29,0.083,2.717,11.448,,,,,
3596.5,12.23,86.876,61.064,6.98,59.375,0.178,2.454,4.09,0.15,0.203,85.94,163.77,0.085,2.721,11.824,,,,,
3597,12.23,82.931,58.274,8.03,59.375,0.159,2.474,4.21,0.138,0.177,82.67,161.45,0.089,2.725,11.939,,,,,
3597.5,12.23,80.773,56.605,9.1,59.375,0.149,2.498,4.34,0.124,0.17,79.37,153.15,0.094,2.732,12.006,,,,,
3598,12.24,78.826,51.994,9.69,59.375,0.133,2.522,4.43,0.11,0.153,77.39,149.05,0.097,2.727,12.316,,,,,
3598.5,12.24,73.543,46.874,9.34,59.375,0.127,2.535,4.51,0.102,0.148,76.79,142.19,0.099,2.723,12.671,,,,,
3599,12.23,67.039,44.843,10.14,59.492,0.116,2.541,4.56,0.098,0.132,75.54,138.97,0.098,2.72,12.799,,,,,
3599.5,12.24,61.036,41.764,10.25,59.375,0.122,2.537,4.57,0.101,0.14,76.13,138.25,0.095,2.719,12.915,,,,,
3600,12.33,62.586,42.281,9.71,59.375,0.133,2.522,4.58,0.11,0.153,76.64,138.22,0.089,2.729,12.694,,,,,
