DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE
401,8.08,-0.125,-999.25,71.94,0.606,-999.25,0.438,31.87,1950,-999.25,,
401.5,8.07,-0.125,-999.25,60.97,0.572,-999.25,0.414,27.58,1950,-999.25,,
402,8.07,-0.118,-999.25,76.09,0.703,-999.25,0.504,30.46,1950,-999.25,,
402.5,8.08,-0.111,-999.25,73.07,0.615,-999.25,0.442,31.14,1950,-999.25,,
403,8.09,-0.112,-999.25,69.67,0.658,-999.25,0.472,28.94,1950,-999.25,,
403.5,8.09,-0.118,-999.25,71.94,0.581,-999.25,0.419,31.2,1950,-999.25,,
404,8.09,-0.125,-999.25,72.69,0.567,-999.25,0.411,30.3,1950,-999.25,,
404.5,8.09,-0.12,-999.25,77.23,0.591,-999.25,0.426,28.72,1950,-999.25,,
405,8.09,-0.126,-999.25,71.08,0.644,-999.25,0.464,27.37,1950,-999.25,,
405.5,8.07,-0.125,-999.25,75.72,0.585,-999.25,0.423,26.86,1950,-999.25,,
406,8.08,-0.136,-999.25,74.96,0.668,-999.25,0.482,23.91,1950,-999.25,,
406.5,8.07,-0.136,-999.25,77.23,0.702,-999.25,0.506,18.86,1950,-999.25,,
407,8.09,-0.142,-999.25,76.25,0.655,-999.25,0.474,17.56,1950,-999.25,,
407.5,8.09,-0.138,-999.25,64.56,0.505,-999.25,0.37,15.56,1950,-999.25,,
408,8.09,-0.137,-999.25,70.8,0.545,-999.25,0.397,14.13,1950,-999.25,,
408.5,8.07,-0.12,-999.25,72.31,0.577,-999.25,0.417,11.08,1950,-999.25,,
409,8.08,-0.119,-999.25,83.28,0.535,-999.25,0.388,8.3,1950,-999.25,,
409.5,8.08,-0.121,-999.25,76.09,0.604,-999.25,0.436,5.47,1950,-999.25,,
410,8.08,-0.137,-999.25,76.09,0.622,-999.25,0.45,4.4,1950,-999.25,,
410.5,8.09,-0.141,-999.25,68.63,0.616,-999.25,0.447,3.84,1950,-999.25,,
411,8.08,-0.139,-999.25,63.62,0.601,-999.25,0.436,3.37,1950,-999.25,,
411.5,8.07,-0.136,-999.25,70.8,0.569,-999.25,0.414,3,1950,-999.25,,
412,8.08,-0.132,-999.25,76.09,0.639,-999.25,0.461,2.69,1950,-999.25,,
412.5,8.07,-0.132,-999.25,63.81,0.692,-999.25,0.498,2.41,1164.798,-999.25,,
413,8.07,-0.131,-999.25,76.47,0.648,-999.25,0.467,2.5,105.296,-999.25,,
413.5,8.07,-0.138,-999.25,69.67,0.626,-999.25,0.453,3.08,31.109,-999.25,,
414,8.06,-0.183,-999.25,66.64,0.547,-999.25,0.408,3.13,11.953,-999.25,,
414.5,8.07,-0.2,-999.25,65.23,0.58,-999.25,0.434,5.61,5.46,-999.25,,
415,8.06,-0.2,-999.25,69.67,0.539,-999.25,0.407,3.9,2.913,-999.25,,
415.5,8.07,-0.2,-999.25,46.14,0.526,-999.25,0.398,5.99,1.761,-999.25,,
416,8,-0.082,-999.25,57.57,0.644,-999.25,0.459,4.56,1.182,-999.25,,
416.5,8.02,0.232,-999.25,84.79,0.764,-999.25,0.565,3.43,0.788,-999.25,2.77,
417,7.96,0.37,-999.25,101.04,0.439,-999.25,0.406,3.78,0.615,-999.25,16.33,
417.5,7.97,0.414,-999.25,110.11,0.427,-999.25,0.421,4.19,0.841,-999.25,26.88,
418,8,0.421,-999.25,90.08,0.418,-999.25,0.42,4.31,0.839,-999.25,34.33,
418.5,8,0.439,-999.25,98.02,0.4,-999.25,0.42,3.33,0.935,-999.25,37.23,
419,8.66,0.445,-999.25,98.02,0.383,-999.25,0.415,3.54,0.76,-999.25,37.54,
419.5,10.51,0.407,-999.25,84.41,0.471,-999.25,0.44,3.92,0.658,-999.25,31.25,
420,11.82,0.367,-999.25,87.81,0.629,-999.25,0.515,3.42,0.66,-999.25,27.33,
420.5,12.47,0.345,-999.25,75.34,0.678,-999.25,0.538,6.39,0.681,-999.25,29.61,
421,13.37,0.377,-999.25,73.92,0.931,-999.25,0.71,7.61,0.724,-999.25,31.84,
421.5,13.62,0.445,-999.25,88.95,0.688,-999.25,0.579,9.75,0.794,-999.25,34,
422,12.07,0.491,-999.25,95.37,0.537,-999.25,0.515,56.2,0.894,-999.25,35.98,
422.5,11.08,0.471,-999.25,93.48,0.517,-999.25,0.495,48.66,1.033,-999.25,38.08,
423,8.01,0.388,-999.25,114.27,0.411,-999.25,0.4,25.84,1.232,-999.25,40.51,
423.5,7.99,0.327,-999.25,108.98,0.412,-999.25,0.372,11.35,1.357,-999.25,42.42,
424,7.97,0.304,-999.25,106.33,0.429,-999.25,0.372,5.09,1.27,-999.25,43.96,
424.5,7.97,0.308,-999.25,101.42,0.389,-999.25,0.351,3.59,1.342,-999.25,45.31,
425,8.01,0.309,-999.25,106.71,0.405,-999.25,0.36,2.89,1.473,-999.25,46.87,
425.5,8.02,0.308,-999.25,91.21,0.421,-999.25,0.369,2.8,1.556,-999.25,47.75,
426,8.02,0.306,-999.25,112.38,0.425,-999.25,0.37,2.89,1.619,-999.25,48.71,
426.5,8.06,0.305,-999.25,104.82,0.419,-999.25,0.366,3.27,1.703,-999.25,49.54,
427,8.06,0.303,-999.25,91.69,0.367,-999.25,0.337,3.9,1.78,-999.25,50.31,
427.5,8.07,0.301,-999.25,108.98,0.38,-999.25,0.343,4.74,1.834,-999.25,50.9,
428,8.09,0.298,-999.25,108.22,0.429,-999.25,0.369,5.78,1.852,-999.25,51.58,
428.5,8.04,0.301,-999.25,99.91,0.406,-999.25,0.357,5.8,1.816,-999.25,51.99,
429,8.03,0.303,-999.25,110.11,0.388,-999.25,0.348,5.8,1.843,-999.25,52.5,
429.5,8.03,0.305,-999.25,100.57,0.4,-999.25,0.356,5.68,1.835,-999.25,52.5,
430,8,0.3,-999.25,100.66,0.406,-999.25,0.357,5.62,1.854,-999.25,52.97,
430.5,8.03,0.299,-999.25,115.03,0.446,-999.25,0.38,5.74,1.882,-999.25,53,
431,8.02,0.299,-999.25,122.21,0.391,-999.25,0.348,5.48,1.893,-999.25,53.2,
431.5,8.05,0.301,-999.25,104.82,0.398,-999.25,0.353,5.7,1.907,-999.25,53.24,
432,8.02,0.299,-999.25,106.33,0.413,-999.25,0.361,5.7,1.891,-999.25,52.77,
432.5,8.02,0.298,-999.25,95.37,0.392,-999.25,0.348,5.67,1.881,-999.25,52.15,
433,8.06,0.297,-999.25,103.78,0.328,-999.25,0.313,5.56,1.859,-999.25,51.67,
433.5,8.07,0.299,-999.25,104.07,0.358,-999.25,0.33,5.53,1.833,-999.25,51.13,
434,8.07,0.302,-999.25,115.41,0.409,-999.25,0.36,5.65,1.819,-999.25,50.63,
434.5,8.08,0.306,-999.25,113.52,0.394,-999.25,0.353,5.81,1.807,-999.25,50.5,
435,8.07,0.306,-999.25,104.07,0.388,-999.25,0.349,5.88,1.801,-999.25,50.47,
435.5,8.09,0.303,-999.25,110.87,0.406,-999.25,0.358,5.94,1.799,-999.25,50.35,
436,8.09,0.301,-999.25,108.98,0.38,-999.25,0.343,6.04,1.804,-999.25,50.27,
436.5,8.1,0.298,-999.25,103.31,0.388,-999.25,0.346,6.15,1.811,-999.25,50.37,
437,8.11,0.294,-999.25,105.96,0.399,-999.25,0.35,6.21,1.819,-999.25,50.23,
437.5,8.09,0.293,-999.25,110.59,0.379,-999.25,0.339,6.15,1.803,-999.25,50.16,
438,8.09,0.295,-999.25,110.49,0.365,-999.25,0.332,6.15,1.793,-999.25,50.2,
438.5,8.17,0.299,-999.25,97.26,0.376,-999.25,0.34,6.19,1.796,-999.25,50.59,
439,8.17,0.294,-999.25,115.78,0.429,-999.25,0.368,6.26,1.811,-999.25,50.71,
439.5,8.16,0.291,-999.25,112.01,0.403,-999.25,0.351,6.31,1.816,-999.25,50.9,
440,8.15,0.29,-999.25,105.48,0.375,-999.25,0.335,6.32,1.811,-999.25,51.25,
440.5,8.13,0.295,-999.25,116.16,0.393,-999.25,0.347,6.41,1.815,-999.25,51.67,
441,8.11,0.295,-999.25,109.36,0.371,-999.25,0.335,6.45,1.815,-999.25,52.11,
441.5,8.11,0.294,-999.25,115.41,0.435,-999.25,0.371,6.43,1.815,-999.25,52.42,
442,8.11,0.294,-999.25,114.84,0.411,-999.25,0.357,6.24,1.789,-999.25,52.62,
442.5,8.12,0.296,-999.25,120.7,0.395,-999.25,0.349,6.07,1.771,-999.25,52.89,
443,8.11,0.299,-999.25,101.8,0.369,-999.25,0.336,6.05,1.761,-999.25,53.09,
443.5,8.13,0.299,-999.25,123.34,0.382,-999.25,0.343,6.07,1.738,-999.25,53.09,
444,8.11,0.301,-999.25,101.51,0.39,-999.25,0.348,6.08,1.73,-999.25,52.75,
444.5,8.08,0.298,-999.25,105.2,0.352,-999.25,0.326,6.33,1.723,-999.25,52.5,
445,8.07,0.298,-999.25,105.58,0.377,-999.25,0.34,6.51,1.713,-999.25,52.08,
445.5,8.04,0.297,-999.25,106.71,0.405,-999.25,0.355,6.76,1.702,-999.25,51.76,
446,8.09,0.3,-999.25,110.49,0.403,-999.25,0.355,6.97,1.683,-999.25,51.87,
446.5,8.09,0.297,-999.25,106.33,0.416,-999.25,0.361,6.68,1.657,-999.25,51.84,
447,8.11,0.293,-999.25,96.51,0.421,-999.25,0.363,6.29,1.621,-999.25,52.17,
447.5,8.12,0.292,-999.25,115.41,0.405,-999.25,0.353,6.23,1.612,-999.25,52.73,
448,8.14,0.296,-999.25,100.29,0.41,-999.25,0.358,7.27,1.655,-999.25,53.13,
448.5,8.18,0.299,-999.25,108.6,0.419,-999.25,0.364,8.41,1.696,-999.25,53.71,
449,8.27,0.3,-999.25,113.42,0.385,-999.25,0.345,8.88,1.701,-999.25,54.04,
449.5,8.48,0.297,-999.25,114.27,0.41,-999.25,0.358,8.72,1.76,-999.25,54.57,
450,8.09,0.296,-999.25,105.96,0.399,-999.25,0.351,8.12,1.775,-999.25,55.51,
450.5,8.02,0.295,-999.25,104.16,0.363,-999.25,0.331,6.32,1.66,-999.25,56.75,
451,8.02,0.287,-999.25,104.07,0.364,-999.25,0.328,6.15,1.648,-999.25,58.28,
451.5,7.98,0.27,-999.25,107.85,0.359,-999.25,0.318,7.72,1.827,-999.25,58.36,
452,7.93,0.258,-999.25,92.73,0.297,-999.25,0.278,10.76,2.05,-999.25,58.75,
452.5,7.9,0.26,-999.25,92.54,0.293,-999.25,0.277,8.65,1.966,-999.25,58.83,
453,8.01,0.279,-999.25,94.62,0.332,-999.25,0.307,6.46,1.775,-999.25,59.41,
453.5,7.99,0.29,-999.25,111.63,0.374,-999.25,0.335,5.73,1.736,-999.25,59.77,
454,8.01,0.29,-999.25,110.11,0.382,-999.25,0.339,5.35,1.732,-999.25,60.04,
454.5,7.96,0.285,-999.25,115.22,0.387,-999.25,0.34,5.34,1.722,-999.25,60.16,
455,8.06,0.288,-999.25,113.52,0.336,-999.25,0.313,5.69,1.761,-999.25,60.38,
455.5,8.06,0.294,-999.25,104.82,0.392,-999.25,0.346,6.28,1.802,-999.25,61.41,
456,8.04,0.301,-999.25,115.41,0.394,-999.25,0.351,6.64,1.795,-999.25,63.29,
456.5,8.05,0.303,-999.25,99.34,0.387,-999.25,0.348,6.82,1.794,-999.25,66.64,
457,8.07,0.3,-999.25,102.93,0.433,-999.25,0.372,7.58,1.838,-999.25,73.12,
457.5,8.03,0.296,-999.25,104.44,0.407,-999.25,0.356,8.37,1.882,-999.25,83.4,
458,8.01,0.296,-999.25,107.85,0.395,-999.25,0.349,7.49,1.804,-999.25,88.88,
458.5,8.02,0.3,-999.25,105.58,0.405,-999.25,0.356,6.45,1.73,-999.25,89.65,
459,8.02,0.303,-999.25,110.87,0.41,-999.25,0.36,6.07,1.694,-999.25,90.04,
459.5,8.02,0.301,-999.25,103.69,0.357,-999.25,0.33,6.06,1.691,-999.25,88.24,
460,8.03,0.301,-999.25,98.4,0.389,-999.25,0.348,5.98,1.674,-999.25,88.05,
460.5,8.06,0.299,-999.25,102.93,0.381,-999.25,0.342,5.95,1.65,-999.25,88,
461,8.03,0.303,-999.25,101.04,0.369,-999.25,0.338,6.07,1.634,-999.25,87.73,
461.5,8.02,0.3,-999.25,96.73,0.374,-999.25,0.339,6.12,1.621,-999.25,87.7,
462,8.07,0.297,-999.25,98.4,0.386,-999.25,0.344,6.65,1.636,-999.25,87.5,
462.5,8.08,0.292,-999.25,95.37,0.348,-999.25,0.321,7.19,1.65,-999.25,87.07,
463,8.05,0.292,-999.25,100.29,0.315,-999.25,0.304,7.09,1.63,-999.25,87.03,
463.5,8.05,0.292,-999.25,95.75,0.357,-999.25,0.326,7.2,1.625,-999.25,87.03,
464,8.08,0.292,-999.25,93.48,0.388,-999.25,0.343,7.28,1.621,-999.25,87.04,
464.5,8.07,0.292,-999.25,95.28,0.322,-999.25,0.307,7.28,1.633,-999.25,87.38,
465,8.05,0.291,-999.25,103.69,0.341,-999.25,0.317,7.36,1.617,-999.25,87.5,
465.5,8.07,0.29,-999.25,95.37,0.365,-999.25,0.33,6.92,1.601,-999.25,87.62,
466,8.09,0.291,-999.25,111.25,0.396,-999.25,0.347,7.17,1.619,-999.25,88.05,
466.5,8.07,0.296,-999.25,101.42,0.397,-999.25,0.35,7.6,1.652,-999.25,88.44,
467,8.09,0.3,-999.25,92.35,0.384,-999.25,0.345,7.64,1.667,-999.25,88.71,
467.5,8.09,0.3,-999.25,95.37,0.39,-999.25,0.348,7.84,1.677,-999.25,88.95,
468,8.08,0.298,-999.25,99.53,0.369,-999.25,0.335,7.24,1.657,-999.25,88.98,
468.5,8.09,0.299,-999.25,113.52,0.357,-999.25,0.329,6.87,1.643,-999.25,89.06,
469,8.09,0.297,-999.25,94.62,0.355,-999.25,0.327,6.73,1.651,-999.25,88.63,
469.5,8.05,0.293,-999.25,102.93,0.336,-999.25,0.315,7.24,1.698,-999.25,88.52,
470,8.03,0.29,-999.25,112.57,0.359,-999.25,0.326,7.1,1.715,-999.25,88.33,
470.5,8.06,0.29,-999.25,98.02,0.348,-999.25,0.32,6.86,1.701,-999.25,88.09,
471,8.03,0.291,-999.25,88.57,0.336,-999.25,0.314,6.78,1.722,-999.25,87.89,
471.5,8.05,0.289,-999.25,96.13,0.382,-999.25,0.339,6.79,1.744,-999.25,88.96,
472,8.09,0.29,-999.25,100.66,0.395,-999.25,0.347,6.77,1.735,-999.25,89.57,
472.5,8.11,0.288,-999.25,99.91,0.357,-999.25,0.324,6.65,1.731,-999.25,88.67,
473,8.09,0.283,-999.25,91.21,0.412,-999.25,0.353,6.72,1.762,-999.25,89.8,
473.5,8.05,0.276,-999.25,95.75,0.409,-999.25,0.349,7.18,1.804,-999.25,90.08,
474,8.12,0.279,-999.25,83.37,0.415,-999.25,0.354,7.32,1.784,-999.25,89.3,
474.5,8.12,0.284,-999.25,94.27,0.426,-999.25,0.362,6.41,1.731,-999.25,89.3,
475,8.15,0.289,-999.25,98.4,0.379,-999.25,0.337,5.77,1.681,-999.25,87.38,
475.5,8.14,0.289,-999.25,86.3,0.36,-999.25,0.326,6.07,1.725,-999.25,89.22,
476,8.12,0.292,-999.25,95.94,0.378,-999.25,0.338,6.49,1.754,-999.25,88.24,
476.5,8.08,0.294,-999.25,92.73,0.401,-999.25,0.352,6.18,1.723,-999.25,87,
477,8.11,0.296,-999.25,90.84,0.381,-999.25,0.341,5.92,1.691,-999.25,84.53,
477.5,8.11,0.292,-999.25,102.55,0.367,-999.25,0.332,6.01,1.711,-999.25,86.8,
478,8.05,0.291,-999.25,90.08,0.397,-999.25,0.348,6.43,1.758,-999.25,86.37,
478.5,8.04,0.289,-999.25,98.4,0.38,-999.25,0.338,6.92,1.791,-999.25,84.58,
479,8.06,0.293,-999.25,103.59,0.362,-999.25,0.329,6.83,1.777,-999.25,84.41,
479.5,8.06,0.292,-999.25,97.64,0.397,-999.25,0.348,6.73,1.768,-999.25,85.04,
480,8.06,0.292,-999.25,90.08,0.356,-999.25,0.326,6.77,1.767,-999.25,84.45,
480.5,8.05,0.288,-999.25,99.91,0.343,-999.25,0.317,6.64,1.748,-999.25,87.67,
481,8.06,0.284,-999.25,94.62,0.34,-999.25,0.313,6.33,1.708,-999.25,87.5,
481.5,8.06,0.284,-999.25,101.61,0.355,-999.25,0.321,6.28,1.7,-999.25,89,
482,8.05,0.287,-999.25,89.32,0.374,-999.25,0.333,6.41,1.686,-999.25,88.12,
482.5,8.04,0.291,-999.25,94.99,0.348,-999.25,0.321,6.34,1.664,-999.25,86.56,
483,8.06,0.294,-999.25,96.13,0.347,-999.25,0.322,6.19,1.648,-999.25,85.66,
483.5,8.02,0.296,-999.25,97.64,0.403,-999.25,0.354,6.17,1.628,-999.25,83.71,
484,8.03,0.295,-999.25,93.48,0.394,-999.25,0.348,6.2,1.621,-999.25,74.84,
484.5,8.04,0.295,-999.25,97.26,0.355,-999.25,0.326,6.1,1.608,-999.25,73.08,
485,8.05,0.292,-999.25,96.13,0.384,-999.25,0.341,6.25,1.615,-999.25,68.13,
485.5,8.02,0.289,-999.25,93.48,0.414,-999.25,0.357,6.15,1.601,-999.25,68.13,
486,8.07,0.288,-999.25,101.04,0.401,-999.25,0.349,5.86,1.574,-999.25,68.36,
486.5,8.02,0.291,-999.25,105.58,0.383,-999.25,0.34,5.89,1.568,-999.25,68.54,
487,8.06,0.294,-999.25,102.65,0.404,-999.25,0.353,6.02,1.579,-999.25,68.55,
487.5,8.05,0.292,-999.25,97.64,0.417,-999.25,0.36,6.04,1.569,-999.25,68.48,
488,8.02,0.291,-999.25,92.35,0.404,-999.25,0.352,5.61,1.52,-999.25,68.13,
488.5,8,0.291,-999.25,105.58,0.406,-999.25,0.353,5.26,1.481,-999.25,68.05,
489,7.99,0.295,-999.25,95.37,0.393,-999.25,0.347,5.24,1.477,-999.25,67.62,
489.5,8.01,0.298,-999.25,104.07,0.408,-999.25,0.357,5.43,1.503,-999.25,67.5,
490,8.01,0.298,-999.25,105.2,0.365,-999.25,0.333,5.52,1.517,-999.25,67.5,
490.5,7.99,0.297,-999.25,87.06,0.348,-999.25,0.324,5.72,1.527,-999.25,67.67,
491,7.99,0.295,-999.25,95.75,0.347,-999.25,0.322,5.87,1.549,-999.25,67.66,
491.5,8,0.293,-999.25,104.82,0.392,-999.25,0.346,5.58,1.538,-999.25,67.71,
492,7.99,0.292,-999.25,106.33,0.404,-999.25,0.352,5.45,1.529,-999.25,68.13,
492.5,8.02,0.289,-999.25,106.71,0.378,-999.25,0.336,5.34,1.544,-999.25,68.16,
493,8.03,0.291,-999.25,84.66,0.39,-999.25,0.344,5.39,1.555,-999.25,68.13,
493.5,8.01,0.291,-999.25,91.78,0.411,-999.25,0.356,5.24,1.538,-999.25,67.67,
494,8.03,0.293,-999.25,92.03,0.375,-999.25,0.337,5.06,1.526,-999.25,67.69,
494.5,8,0.292,-999.25,100.29,0.416,-999.25,0.359,4.98,1.522,-999.25,67.42,
495,7.99,0.291,-999.25,106.33,0.422,-999.25,0.362,5.21,1.543,-999.25,67.15,
495.5,8.01,0.293,-999.25,99.15,0.423,-999.25,0.364,5.29,1.545,-999.25,66.88,
496,8.02,0.296,-999.25,103.69,0.43,-999.25,0.369,5.01,1.517,-999.25,66.88,
496.5,8.05,0.299,-999.25,103.69,0.423,-999.25,0.366,4.87,1.519,-999.25,66.84,
497,8.06,0.3,-999.25,95.88,0.376,-999.25,0.34,4.77,1.495,-999.25,66.37,
497.5,8.09,0.302,-999.25,104.07,0.371,-999.25,0.338,4.93,1.482,-999.25,66.21,
498,8.05,0.299,-999.25,99.15,0.343,-999.25,0.322,4.78,1.462,-999.25,66.02,
498.5,8.06,0.284,-999.25,96.51,0.383,-999.25,0.337,5.52,1.49,-999.25,65.7,
499,8.01,0.264,-999.25,96.51,0.347,-999.25,0.308,6.49,1.578,-999.25,65.47,
499.5,7.98,0.256,-999.25,111.63,0.296,-999.25,0.277,9.16,1.675,-999.25,65.04,
500,8.01,0.267,-999.25,92.35,0.29,-999.25,0.279,9.41,1.589,-999.25,64.61,
500.5,8.01,0.285,-999.25,101.8,0.349,-999.25,0.319,6.7,1.465,-999.25,64.37,
501,8.03,0.299,-999.25,89.32,0.402,-999.25,0.354,5.31,1.362,-999.25,63.87,
501.5,8.01,0.301,-999.25,94.33,0.365,-999.25,0.335,5.37,1.346,-999.25,63.98,
502,8,0.303,-999.25,98.02,0.354,-999.25,0.329,6.01,1.367,-999.25,64.21,
502.5,8.02,0.303,-999.25,98.4,0.399,-999.25,0.354,6.83,1.379,-999.25,64.37,
503,8.02,0.31,-999.25,91.21,0.361,-999.25,0.336,7.38,1.389,-999.25,64.37,
503.5,8,0.312,-999.25,110.11,0.401,-999.25,0.359,7.57,1.392,-999.25,64.1,
504,8.02,0.31,-999.25,99.91,0.393,-999.25,0.354,7.61,1.405,-999.25,64.5,
504.5,8.02,0.303,-999.25,103.31,0.377,-999.25,0.342,7.48,1.415,-999.25,65.12,
505,8.05,0.3,-999.25,100.92,0.406,-999.25,0.357,7.07,1.428,-999.25,65.7,
505.5,8.08,0.299,-999.25,84.13,0.418,-999.25,0.363,6.85,1.45,-999.25,66.09,
506,8.09,0.299,-999.25,98.4,0.423,-999.25,0.366,6.72,1.485,-999.25,66.76,
506.5,8.05,0.301,-999.25,94.62,0.437,-999.25,0.375,6.19,1.488,-999.25,67.33,
507,8.01,0.305,-999.25,89.7,0.397,-999.25,0.354,5.44,1.484,-999.25,67.89,
507.5,7.97,0.308,-999.25,91.59,0.356,-999.25,0.333,5.51,1.54,-999.25,68.63,
508,7.95,0.311,-999.25,103.69,0.388,-999.25,0.352,5.41,1.59,-999.25,68.87,
508.5,7.97,0.311,-999.25,98.77,0.359,-999.25,0.336,4.95,1.59,-999.25,69.38,
509,7.99,0.309,-999.25,105.58,0.387,-999.25,0.35,4.81,1.593,-999.25,69.38,
509.5,8.01,0.306,-999.25,102.56,0.341,-999.25,0.324,4.66,1.605,-999.25,69.38,
510,7.97,0.305,-999.25,112,0.375,-999.25,0.342,4.49,1.611,-999.25,68.79,
510.5,7.99,0.303,-999.25,106.71,0.414,-999.25,0.363,4.39,1.596,-999.25,68.59,
511,7.97,0.298,-999.25,101.42,0.379,-999.25,0.341,4.35,1.59,-999.25,68.13,
511.5,7.98,0.296,-999.25,99.15,0.383,-999.25,0.342,4.36,1.577,-999.25,68.08,
512,8.03,0.295,-999.25,86.68,0.353,-999.25,0.325,4.54,1.562,-999.25,67.46,
512.5,7.99,0.298,-999.25,99.84,0.356,-999.25,0.328,4.66,1.544,-999.25,66.88,
513,7.99,0.297,-999.25,93.01,0.367,-999.25,0.334,5.13,1.573,-999.25,66.56,
513.5,8,0.299,-999.25,92.35,0.387,-999.25,0.346,5.59,1.596,-999.25,66.29,
514,8,0.297,-999.25,91.59,0.381,-999.25,0.342,5.68,1.573,-999.25,65.96,
514.5,8,0.294,-999.25,107.47,0.383,-999.25,0.341,5.98,1.525,-999.25,66.02,
515,7.99,0.293,-999.25,102.55,0.356,-999.25,0.326,5.97,1.495,-999.25,65.78,
515.5,8.04,0.295,-999.25,90.46,0.362,-999.25,0.33,5.79,1.464,-999.25,65.74,
516,8.04,0.297,-999.25,100.29,0.374,-999.25,0.338,5.76,1.449,-999.25,65.43,
516.5,8.05,0.294,-999.25,96.88,0.369,-999.25,0.334,6.96,1.498,-999.25,64.92,
517,7.99,0.29,-999.25,92.91,0.34,-999.25,0.316,7.74,1.514,-999.25,64.37,
517.5,8,0.289,-999.25,96.13,0.415,-999.25,0.358,6.32,1.441,-999.25,63.79,
518,7.97,0.292,-999.25,101.42,0.402,-999.25,0.351,6.27,1.419,-999.25,63.75,
518.5,7.99,0.293,-999.25,99.15,0.365,-999.25,0.331,6.65,1.445,-999.25,63.75,
519,7.97,0.294,-999.25,103.69,0.367,-999.25,0.333,6.83,1.462,-999.25,63.75,
519.5,7.99,0.291,-999.25,89.7,0.375,-999.25,0.336,6.88,1.476,-999.25,63.75,
520,7.99,0.288,-999.25,89.7,0.35,-999.25,0.321,6.91,1.483,-999.25,63.75,
520.5,8,0.288,-999.25,98.4,0.349,-999.25,0.32,7.24,1.49,-999.25,63.75,
521,8,0.289,-999.25,111.63,0.412,-999.25,0.356,6.74,1.462,-999.25,64.18,
521.5,7.99,0.293,-999.25,94.52,0.365,-999.25,0.331,6.11,1.428,-999.25,64.08,
522,7.99,0.294,-999.25,108.22,0.411,-999.25,0.357,6,1.428,-999.25,64.26,
522.5,7.96,0.295,-999.25,93.1,0.42,-999.25,0.363,6.36,1.446,-999.25,64.1,
523,7.99,0.29,-999.25,89.32,0.403,-999.25,0.351,6.68,1.451,-999.25,64.14,
523.5,8,0.284,-999.25,106.71,0.418,-999.25,0.357,6.98,1.458,-999.25,64.04,
524,8.01,0.281,-999.25,103.31,0.378,-999.25,0.333,7.01,1.46,-999.25,63.75,
524.5,8,0.283,-999.25,97.64,0.361,-999.25,0.324,6.93,1.463,-999.25,63.91,
525,8.01,0.288,-999.25,88.95,0.359,-999.25,0.325,7.39,1.473,-999.25,63.83,
525.5,8.03,0.289,-999.25,102.46,0.351,-999.25,0.321,7.36,1.485,-999.25,63.75,
526,8.03,0.286,-999.25,107.03,0.372,-999.25,0.332,7.06,1.49,-999.25,64.02,
526.5,8.05,0.284,-999.25,95.75,0.378,-999.25,0.334,7.03,1.496,-999.25,63.75,
527,8.03,0.283,-999.25,88.95,0.376,-999.25,0.333,6.91,1.506,-999.25,63.75,
527.5,8.02,0.284,-999.25,103.31,0.343,-999.25,0.315,7.18,1.515,-999.25,63.75,
528,8.03,0.282,-999.25,88.76,0.357,-999.25,0.322,6.67,1.527,-999.25,64,
528.5,8.03,0.272,-999.25,93.29,0.347,-999.25,0.312,6.35,1.515,-999.25,64.37,
529,7.97,0.257,-999.25,92.98,0.349,-999.25,0.306,7,1.611,-999.25,64.49,
529.5,7.94,0.239,-999.25,88.94,0.338,-999.25,0.293,9.77,1.788,-999.25,65,
530,7.95,0.244,-999.25,82.52,0.379,-999.25,0.319,10.06,1.821,-999.25,65,
530.5,8.01,0.259,-999.25,85.54,0.332,-999.25,0.298,6.78,1.652,-999.25,65,
531,8.06,0.28,-999.25,98.4,0.369,-999.25,0.328,5.51,1.56,-999.25,65.39,
531.5,8.05,0.287,-999.25,93.01,0.373,-999.25,0.333,5.16,1.536,-999.25,65.62,
532,8.07,0.288,-999.25,102.55,0.364,-999.25,0.328,5.43,1.548,-999.25,65.62,
532.5,8.08,0.286,-999.25,99.91,0.348,-999.25,0.319,5.63,1.543,-999.25,65.62,
533,8.06,0.284,-999.25,95.75,0.358,-999.25,0.323,5.92,1.53,-999.25,65.62,
533.5,8.06,0.287,-999.25,94.62,0.391,-999.25,0.343,6.13,1.539,-999.25,65.62,
534,8.06,0.289,-999.25,94.99,0.383,-999.25,0.339,6.63,1.561,-999.25,66.02,
534.5,8.07,0.287,-999.25,101.04,0.372,-999.25,0.332,6.82,1.555,-999.25,66.25,
535,8.07,0.286,-999.25,95.75,0.371,-999.25,0.331,6.45,1.542,-999.25,66.25,
535.5,8.09,0.287,-999.25,93.48,0.403,-999.25,0.35,6.47,1.571,-999.25,66.25,
536,8.06,0.288,-999.25,91.88,0.411,-999.25,0.355,7,1.6,-999.25,66.52,
536.5,7.99,0.286,-999.25,87.06,0.339,-999.25,0.314,6.31,1.58,-999.25,66.48,
537,7.98,0.285,-999.25,100.66,0.343,-999.25,0.315,6.09,1.552,-999.25,66.29,
537.5,7.95,0.29,-999.25,98.02,0.385,-999.25,0.341,5.42,1.518,-999.25,66.75,
538,7.99,0.295,-999.25,89.7,0.387,-999.25,0.344,5.55,1.541,-999.25,66.41,
