DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE
4415,7.85,-0.167,51.18,2,0.016,5.3,0.119,128.23,3.082,2.996,105,0
4415.5,7.86,-0.17,51.13,-2.53,0.017,5.23,0.121,148.01,3.109,3.001,105,0
4416,7.85,-0.156,51.19,-2.85,0.02,5.23,0.111,196.1,3.107,2.976,105.11,0
4416.5,7.86,-0.149,51.04,-1.02,0.022,5.24,0.107,290.25,3.098,2.965,105.48,0
4417,7.85,-0.142,51.19,-0.52,0.019,5.25,0.101,441.73,3.082,2.954,105.47,0
4417.5,7.85,-0.145,51.76,0.11,0.02,5.27,0.104,566.73,3.057,2.957,105.59,0
4418,7.85,-0.149,51.68,1.94,0.029,5.29,0.107,498.86,3.026,2.965,105.63,0
4418.5,7.84,-0.151,51.84,2.76,0.027,5.31,0.108,334.5,2.987,2.968,105.85,0
4419,7.88,-0.147,51.46,1.94,0.022,5.33,0.105,198.53,2.959,2.962,106.21,0
4419.5,7.86,-0.148,50.98,1.25,0.021,5.34,0.106,116.68,2.898,2.963,106.07,0
4420,7.85,-0.149,50.86,-1.02,0.025,5.34,0.107,71.82,2.836,2.964,106.17,0
4420.5,7.84,-0.15,50.46,-1.15,0.027,5.33,0.108,47.71,2.748,2.967,106.43,0
4421,7.84,-0.147,53.25,2,0.028,5.32,0.106,34.9,2.618,2.962,106.72,0
4421.5,7.88,-0.136,54.44,7.17,0.042,5.25,0.101,28.12,2.481,2.942,106.8,0
4422,7.88,-0.127,54.55,9.19,0.068,5.11,0.102,23.51,2.337,2.928,106.88,0
4422.5,7.87,-0.133,55.12,12.52,0.071,4.95,0.107,20.32,2.263,2.937,106.99,0
4423,7.88,-0.133,56.09,11.45,0.051,4.8,0.101,20.27,2.174,2.938,107.19,0
4423.5,7.86,-0.11,57.68,18.26,0.053,4.66,0.086,15.09,2.01,2.898,107.03,0
4424,7.88,-0.048,58.87,37.47,0.101,4.53,0.079,17.24,1.723,2.791,106.91,0
4424.5,8,0.018,62.07,34.51,0.178,4.43,0.127,13.09,1.571,2.68,107.07,0.002783508
4425,7.92,0.07,66.47,38.29,0.183,4.4,0.139,13.65,1.555,2.59,107.02,0.036875002
4425.5,7.93,0.082,67.95,52.28,0.16,4.37,0.127,14.75,1.526,2.57,106.76,0.015344062
4426,7.94,0.06,69.3,42.83,0.186,4.46,0.138,12.7,1.4,2.607,106.65,0.027374152
4426.5,7.88,0.059,65.77,35.33,0.174,4.66,0.13,12.03,1.445,2.609,106.58,0.008786201
4427,7.99,0.082,72.88,36.03,0.124,4.88,0.105,19.17,1.586,2.571,106.29,0.003521882
4427.5,8.53,0.111,67.54,31.24,0.121,5.12,0.116,24.3,1.301,2.52,106.25,0.001107795
4428,9.55,0.087,65.54,43.96,0.23,5.34,0.174,7.86,1.137,2.561,106.25,0.028850656
4428.5,9.63,0.01,67.71,30.73,0.18,5.09,0.127,18.28,1.5,2.694,106.03,0.033996772
4429,9.58,-0.049,58.5,34.51,0.07,4.66,0.06,39.08,2.026,2.794,105.74,0
4429.5,7.91,-0.101,55.56,23.93,0.04,4.39,0.077,124.3,2.254,2.883,105.63,0
4430,7.95,-0.11,54.23,3.14,0.037,4.47,0.082,372.16,2.458,2.898,105.55,0
4430.5,7.91,-0.125,51.39,4.78,0.045,4.56,0.094,106.48,2.535,2.924,105.33,0
4431,7.9,-0.118,52.81,7.67,0.052,4.61,0.091,32.45,2.459,2.912,105,0
4431.5,7.87,-0.108,51.04,15.99,0.048,4.52,0.084,14.59,2.514,2.895,105,0
4432,7.86,-0.081,53.92,11.96,0.061,4.16,0.072,10.06,2.406,2.849,105,0
4432.5,7.85,-0.028,55.8,50.01,0.113,3.73,0.082,8.02,2.101,2.758,104.78,0
4433,7.82,0.033,62.77,66.96,0.117,3.3,0.086,4.72,1.737,2.653,104.45,0.000672012
4433.5,7.84,0.074,71.83,89.7,0.139,2.86,0.111,3.84,1.511,2.584,104.65,0.001664131
4434,7.86,0.086,73.4,88.95,0.155,3.03,0.125,3.84,1.45,2.564,104.57,0.001978778
4434.5,7.86,0.093,73.57,99.59,0.175,3.03,0.14,3.42,1.376,2.55,104.41,0.002298203
4435,7.86,0.103,74.13,98.4,0.156,2.97,0.132,3.07,1.321,2.533,104.37,0.001760858
4435.5,7.85,0.11,75.6,96.51,0.145,2.94,0.129,2.72,1.273,2.523,104.37,0.001325719
4436,7.83,0.106,74.8,105.58,0.161,2.96,0.136,2.59,1.276,2.529,104.45,0.001722291
4436.5,7.87,0.096,74.57,114.15,0.167,3,0.136,2.77,1.342,2.546,104.37,0.00188821
4437,7.88,0.088,74.35,101.42,0.158,2.94,0.128,2.96,1.408,2.56,104.37,0.00176151
4437.5,7.86,0.08,73.46,99.28,0.147,2.92,0.118,2.86,1.422,2.574,104.37,0.001419538
4438,7.89,0.075,72.56,113.14,0.149,2.97,0.118,2.76,1.399,2.582,104.45,0.001326962
4438.5,7.9,0.078,72.1,96.88,0.147,3.03,0.118,2.94,1.427,2.577,104.84,0.001255687
4439,7.86,0.078,71.62,98.77,0.119,3.06,0.101,3.26,1.496,2.576,104.73,0.000920968
4439.5,7.82,0.077,70.26,90.9,0.122,2.98,0.102,3.21,1.532,2.578,104.41,0.000945495
4440,7.78,0.073,69.88,94.24,0.123,2.95,0.101,3.36,1.549,2.585,104.37,0.001089124
4440.5,7.76,0.071,68.91,85.73,0.155,3,0.121,3.4,1.597,2.589,104.15,0.001539505
4441,7.74,0.066,67.97,76.85,0.112,3.03,0.092,3.9,1.717,2.597,103.75,0.000784759
4441.5,7.82,0.06,66.12,81.26,0.104,3.05,0.085,4.92,1.866,2.607,103.2,0.001009701
4442,7.8,0.061,67.63,73.83,0.121,3.06,0.096,4.93,1.791,2.605,102.57,0.001620365
4442.5,7.78,0.063,69.56,92.35,0.093,3.03,0.079,3.78,1.629,2.602,102.19,0.000646254
4443,7.78,0.065,72.23,109.61,0.145,2.96,0.112,3.46,1.559,2.6,101.87,0.00186284
4443.5,7.78,0.062,73.74,125.99,0.181,2.97,0.135,3.62,1.577,2.604,101.72,0.002326151
4444,7.78,0.065,73.31,120.07,0.181,3.05,0.136,3.55,1.58,2.6,101.4,0.002279741
4444.5,7.79,0.066,72.66,104.07,0.156,2.96,0.12,3.44,1.589,2.598,101.25,0.002132244
4445,7.78,0.068,72.34,98.77,0.155,2.95,0.12,3.39,1.586,2.593,101.21,0.002119327
4445.5,7.78,0.071,72.55,106.96,0.161,3,0.124,3.4,1.573,2.589,101.17,0.002179928
4446,7.79,0.071,73.06,115.78,0.157,3.05,0.122,3.46,1.592,2.588,101.21,0.002086662
4446.5,7.82,0.066,73.31,118.68,0.168,3.04,0.128,3.46,1.617,2.597,101.25,0.002172993
4447,7.82,0.063,73.47,128.64,0.171,2.95,0.129,3.18,1.586,2.603,101.25,0.002072922
4447.5,7.83,0.071,73.45,115.41,0.186,2.99,0.141,2.89,1.526,2.588,101.25,0.002133655
4448,7.84,0.084,73.16,125.8,0.172,3.05,0.135,2.92,1.489,2.567,101.8,0.002105522
4448.5,7.86,0.087,72.55,110.87,0.168,3.01,0.134,2.96,1.477,2.561,101.87,0.00208527
4449,7.86,0.082,72.65,102.18,0.144,2.96,0.117,2.85,1.468,2.569,101.87,0.001559301
4449.5,7.86,0.078,72.7,105.71,0.159,2.94,0.125,2.79,1.472,2.577,101.87,0.001797017
4450,7.85,0.086,73.48,120.7,0.171,2.94,0.135,2.77,1.493,2.564,101.87,0.002181469
4450.5,7.86,0.097,74.18,100.47,0.155,2.94,0.129,2.84,1.486,2.544,101.99,0.001957875
4451,7.84,0.095,73.41,115.41,0.136,2.94,0.117,2.87,1.494,2.548,101.87,0.001553454
4451.5,7.83,0.088,72.45,103.31,0.115,2.94,0.102,2.89,1.496,2.56,101.87,0.000991566
4452,7.83,0.076,71.75,89.32,0.127,2.94,0.105,2.94,1.539,2.581,102.17,0.00122212
4452.5,7.92,0.078,71.99,114.27,0.132,2.94,0.108,2.85,1.502,2.577,102.11,0.001395
4453,7.99,0.088,72.54,104.44,0.184,2.94,0.144,2.8,1.461,2.559,102.17,0.002327224
4453.5,8.01,0.099,73.44,103.75,0.192,2.94,0.153,2.73,1.454,2.54,102.03,0.002838321
4454,8,0.103,74.54,109.74,0.178,2.94,0.145,2.79,1.478,2.534,102.13,0.002723746
4454.5,8.02,0.09,75.81,110.11,0.172,2.94,0.137,2.85,1.515,2.557,102.5,0.002432069
4455,8.02,0.076,75.98,134.5,0.203,2.94,0.153,2.92,1.531,2.58,102.5,0.00238606
