DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
6085.5,0.131,61.67,110.64,0.025,2.75,0.094,45.68,2.495,0.1509,0.018,0.0344,0.0242,0.0198,0.0102,0.0497,0.0057,0.0001,0.003,0.0,0.0,0.07811598479747772
6086.0,0.119,62.67,118.03,0.051,2.82,0.092,34.71,2.516,0.1524,0.0498,0.0695,0.0991,0.0756,0.0392,0.0707,0.0109,0.0007,0.0056,0.0001,0.0001,0.08739233762025833
6086.5,0.106,64.17,123.1,0.074,2.84,0.091,22.86,2.537,0.1435,0.1014,0.1196,0.2062,0.1589,0.0885,0.0638,0.0161,0.0029,0.0083,0.0006,0.0008,0.05239102989435196
6087.0,0.104,65.26,125.28,0.088,2.81,0.096,17.51,2.545,0.1458,0.1259,0.1413,0.2694,0.2103,0.1318,0.0524,0.0152,0.0041,0.0086,0.001,0.0016,0.04736004024744034
6087.5,0.108,66.15,124.37,0.084,2.8,0.097,15.92,2.539,0.1434,0.1096,0.1384,0.2405,0.1956,0.1246,0.042,0.0119,0.0037,0.0081,0.0009,0.0013,0.03782607987523079
6088.0,0.123,66.23,123.18,0.078,2.81,0.103,16.8,2.518,0.1591,0.0992,0.1228,0.2684,0.2227,0.1353,0.0367,0.0084,0.002,0.0095,0.0005,0.0008,0.03382550925016403
6088.5,0.16,65.8,119.08,0.073,2.83,0.124,18.15,2.467,0.3246,0.092,0.104,0.4423,0.4149,0.2741,0.0241,0.0039,0.0005,0.0177,0.0002,0.0005,0.007615539710968733
6089.0,0.265,65.4,114.99,0.069,2.7,0.0,19.6,2.36,0.0454,0.0001,0.003,1.1764,0.9252,0.3411,0.1587,0.0007,0.0,0.0,0.0,3.2086,1e-05
6089.5,0.316,65.24,111.37,0.066,2.55,0.0,20.82,2.219,0.1379,0.0002,0.0082,0.8175,1.2871,1.7746,3.0632,0.0052,0.0,0.0,0.0,1.292,1e-05
6090.0,0.349,65.08,108.78,0.065,2.4,0.0,21.53,2.097,0.3655,0.0005,0.0256,0.3838,1.1793,3.9902,52.6683,0.0921,0.0,0.0,0.0003,0.0231,1e-05
