DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
8085.5,0.297,97.72,-999.25,0.426,2.32,0.0,2.02,2.159,-999.25,1391.5562,4758.3546,3543.0137,1403.8931,2334.0798,-999.25,2.2785,3.4556,3.7437,8.8472,1.7928,
8086.0,0.285,93.38,-999.25,0.432,2.42,0.0,2.11,2.18,-999.25,1456.2046,3211.4527,4207.1148,1414.2014,1547.4215,-999.25,2.0193,2.2739,4.6826,6.4533,1.85,
8086.5,0.271,87.13,-999.25,0.429,2.47,0.0,2.21,2.203,-999.25,1457.1806,2145.2938,5910.9144,1594.9213,977.211,-999.25,2.534,1.7396,5.5117,4.8366,1.8303,
8087.0,0.251,79.26,-999.25,0.429,2.54,0.0,2.34,2.236,-999.25,1356.0799,1175.0005,8593.0976,1954.9733,438.8312,-999.25,3.7178,1.0173,6.1079,4.8216,1.9045,
8087.5,0.237,77.72,-999.25,0.436,2.6,0.0,2.47,2.259,-999.25,981.9057,755.1388,6582.8293,1615.4912,221.5596,-999.25,3.7337,1.0545,8.3261,5.8273,2.1901,
8088.0,0.224,80.25,-999.25,0.443,2.59,0.0,2.65,2.28,-999.25,597.6936,513.563,2967.0814,902.4452,112.7705,-999.25,3.2596,1.6867,11.1089,6.1499,2.5755,
8088.5,0.223,85.54,-999.25,0.448,2.37,0.0,2.88,2.283,-999.25,496.0943,661.9775,1386.0004,504.4395,97.7782,-999.25,2.7796,3.7923,8.5926,5.3438,2.6281,
8089.0,0.234,94.5,-999.25,0.45,2.22,0.0,3.04,2.263,-999.25,356.3262,820.2094,924.6576,371.1754,175.1591,-999.25,1.487,5.1676,3.4721,5.8847,2.853,
8089.5,0.252,100.95,-999.25,0.45,2.17,0.0,3.17,2.234,-999.25,296.8938,921.4211,1079.1815,428.3071,394.3849,-999.25,0.8527,3.7592,1.367,6.1413,2.6097,
8090.0,0.259,96.29,-999.25,0.434,2.17,0.0,3.19,2.223,-999.25,595.8256,1563.9911,1875.7162,679.3139,588.4285,-999.25,1.7138,6.0037,2.9484,6.6027,1.9884,
8090.5,0.25,88.52,-999.25,0.418,2.22,0.0,3.1,2.237,-999.25,989.5479,1769.7163,3205.676,975.3159,466.5806,-999.25,3.5927,5.7461,5.7397,5.7684,1.6803,
