iter	RMSE
0	16.1190287
1	15.69082083
2	15.25335665
3	14.83880161
4	14.42253371
5	14.04679481
6	13.69127709
7	13.34612387
8	13.02421211
9	12.70955553
10	12.42487813
11	12.13749704
12	11.88201045
13	11.64889
14	11.40709618
15	11.18220523
16	10.9925085
17	10.79238231
18	10.60861535
19	10.43870234
20	10.26630904
21	10.11537041
22	9.966447443
23	9.825225514
24	9.687304392
25	9.575195105
26	9.464010297
27	9.360681119
28	9.262621185
29	9.166345146
30	9.074162524
31	8.991321088
32	8.915300707
33	8.833760275
34	8.761271481
35	8.697357773
36	8.625654651
37	8.563483704
38	8.504938021
39	8.449305496
40	8.403400289
41	8.356567568
42	8.308035775
43	8.263727764
44	8.220011432
45	8.169987195
46	8.133216359
47	8.098924212
48	8.063226991
49	8.037185834
50	8.002062471
51	7.974326128
52	7.949340796
53	7.923176338
54	7.895938348
55	7.865355113
56	7.844661135
57	7.815062218
58	7.795547876
59	7.771288909
60	7.749667884
61	7.723960325
62	7.709067283
63	7.690059404
64	7.664423477
65	7.646984952
66	7.6301513
67	7.61566527
68	7.599598732
69	7.583216432
70	7.569982393
71	7.556410981
72	7.543611456
73	7.525942781
74	7.51327321
75	7.490842536
76	7.479916527
77	7.467454924
78	7.446895443
79	7.435050057
80	7.419656553
81	7.406161492
82	7.391199053
83	7.383973882
84	7.364371678
85	7.356782555
86	7.345802939
87	7.332731488
88	7.318722461
89	7.309805764
90	7.303405247
91	7.289652395
92	7.279201525
93	7.266321943
94	7.256886543
95	7.24369855
96	7.229921695
97	7.218557027
98	7.209246811
99	7.197990317
100	7.186133254
101	7.173317766
102	7.164022337
103	7.158104652
104	7.145722727
105	7.139189314
106	7.132536298
107	7.124547936
108	7.120225936
109	7.113065489
110	7.107851032
111	7.101143869
112	7.091100547
113	7.083487335
114	7.073263704
115	7.067718511
116	7.056360582
117	7.044976835
118	7.032937014
119	7.020012229
120	7.00985467
121	6.995623428
122	6.988321844
123	6.973695497
124	6.968848225
125	6.961327089
126	6.950078747
127	6.94315491
128	6.936090144
129	6.929361848
130	6.920179812
131	6.913597166
132	6.90560683
133	6.896860193
134	6.891033532
135	6.883656602
136	6.874983642
137	6.872340162
138	6.868937527
139	6.865318262
140	6.857750902
141	6.853461102
142	6.842388088
143	6.831478994
144	6.820898453
145	6.811049402
146	6.804489599
147	6.796323427
148	6.789549298
149	6.782575715
150	6.77844466
151	6.768185809
152	6.758716693
153	6.746807967
154	6.740085931
155	6.73207374
156	6.725802412
157	6.719140579
158	6.709813037
159	6.704101281
160	6.693218735
161	6.685700982
162	6.678707089
163	6.669677765
164	6.658195492
165	6.652490613
166	6.646653633
167	6.640643766
168	6.635133616
169	6.621692612
170	6.617368537
171	6.608360195
172	6.598691942
173	6.589357891
174	6.584782925
175	6.580988109
176	6.569271572
177	6.561565792
178	6.552568414
179	6.542693601
180	6.535958426
181	6.529764066
182	6.520759333
183	6.511193937
184	6.504490093
185	6.499264192
186	6.4881618
187	6.482027037
188	6.472802967
189	6.470027556
190	6.460631269
191	6.454207513
192	6.447025422
193	6.440912595
194	6.435906714
195	6.430161925
196	6.42323904
197	6.416909064
198	6.408441585
199	6.395788062
200	6.389308971
201	6.383935661
202	6.375065736
203	6.366607056
204	6.361097152
205	6.355545088
206	6.350558588
207	6.340999752
208	6.331006892
209	6.324883622
210	6.316669546
211	6.310290357
212	6.303712209
213	6.298003862
214	6.290016938
215	6.28473314
216	6.278034376
217	6.272030449
218	6.266852434
219	6.256462748
220	6.248101484
221	6.240065061
222	6.235512061
223	6.225856083
224	6.220491529
225	6.214878112
226	6.209428928
227	6.202524976
228	6.195868682
229	6.188320623
230	6.182373411
231	6.173995875
232	6.169401069
233	6.158919757
234	6.15368683
235	6.151734158
236	6.146206025
237	6.14239536
238	6.135569199
239	6.131543559
240	6.121623167
241	6.115129632
242	6.106879285
243	6.102615769
244	6.094876824
245	6.088239555
246	6.082033471
247	6.075123677
248	6.071602123
249	6.068580581
250	6.060549867
251	6.055355051
252	6.049629167
253	6.044751959
254	6.037967382
255	6.034478015
256	6.030715974
257	6.021651584
258	6.018163132
259	6.014715264
260	6.00873477
261	6.000709214
262	5.996832796
263	5.990735827
264	5.985710391
265	5.980877586
266	5.973766508
267	5.969132442
268	5.965178921
269	5.961760338
270	5.956415808
271	5.950799765
272	5.942218171
273	5.937621996
274	5.932539682
275	5.92826505
276	5.921874184
277	5.918964128
278	5.911162875
279	5.906130005
280	5.901378435
281	5.899528381
282	5.893857427
283	5.889645379
284	5.882811382
285	5.877804208
286	5.87551855
287	5.871433995
288	5.867153404
289	5.864002895
290	5.857122915
291	5.850614894
292	5.847608444
293	5.841529254
294	5.839709086
295	5.832687004
296	5.830242882
297	5.824228667
298	5.820215471
299	5.817829771
300	5.813916276
301	5.808708901
302	5.805283345
303	5.798540061
304	5.795056745
305	5.792797451
306	5.78949341
307	5.785916094
308	5.783647456
309	5.78142598
310	5.777789867
311	5.773407018
312	5.76914583
313	5.767334161
314	5.762591608
315	5.758833805
316	5.753434059
317	5.751198934
318	5.74598249
319	5.74229904
320	5.74047857
321	5.73395889
322	5.729257098
323	5.724310897
324	5.720536186
325	5.715910951
326	5.712149493
327	5.708996105
328	5.704334756
329	5.702624431
330	5.699628855
331	5.697851913
332	5.695755051
333	5.692011531
334	5.688496944
335	5.686935176
336	5.682424237
337	5.678357625
338	5.67523542
339	5.670905086
340	5.666723832
341	5.662084405
342	5.659036215
343	5.655082054
344	5.652731081
345	5.647602821
346	5.644435274
347	5.638355156
348	5.635821049
349	5.627761214
350	5.625105862
351	5.621029238
352	5.618978015
353	5.616981213
354	5.612467793
355	5.61085809
356	5.608845441
357	5.605194155
358	5.602080562
359	5.59702944
360	5.59121434
361	5.588907203
362	5.582846563
363	5.5742972
364	5.572761434
365	5.566545467
366	5.565018929
367	5.561856459
368	5.559911485
369	5.554220446
370	5.548678793
371	5.545875448
372	5.539879355
373	5.533981694
374	5.529813652
375	5.526312384
376	5.525050848
377	5.522818552
378	5.521001432
379	5.514255749
380	5.508140267
381	5.505660431
382	5.501561755
383	5.497378512
384	5.49563012
385	5.491759667
386	5.489300836
387	5.484570581
388	5.48042613
389	5.476529835
390	5.473673719
391	5.472232875
392	5.469358021
393	5.466837218
394	5.459661771
395	5.455243349
396	5.45119189
397	5.449812699
398	5.44586818
399	5.439191563
400	5.433995245
401	5.43153225
402	5.425022052
403	5.423865299
404	5.421039458
405	5.419136629
406	5.417312235
407	5.411684261
408	5.406279655
409	5.400721063
410	5.392665892
411	5.390879965
412	5.38363591
413	5.382045643
414	5.376568473
415	5.374561688
416	5.371804991
417	5.364255106
418	5.360930397
419	5.359343475
420	5.356187968
421	5.353720045
422	5.349303458
423	5.344788016
424	5.341038725
425	5.336226109
426	5.332987385
427	5.330449862
428	5.325095546
429	5.321749025
430	5.320139344
431	5.316013533
432	5.311430686
433	5.30991447
434	5.307736245
435	5.303133908
436	5.297653121
437	5.293267548
438	5.288002048
439	5.286464494
440	5.281968291
441	5.279467327
442	5.276903731
443	5.274094562
444	5.270434928
445	5.266375494
446	5.263181393
447	5.258248914
448	5.257056156
449	5.255131967
450	5.253816202
451	5.250001545
452	5.245627367
453	5.243513199
454	5.23969072
455	5.235241256
456	5.23383077
457	5.231111012
458	5.226618641
459	5.225283037
460	5.222907476
461	5.221568151
462	5.217484652
463	5.213272076
464	5.208718128
465	5.205797854
466	5.202641035
467	5.200316535
468	5.198299734
469	5.194553619
470	5.188950928
471	5.186891134
472	5.183758234
473	5.180914804
474	5.178327699
475	5.173432451
476	5.170558893
477	5.168987198
478	5.167695465
479	5.165359583
480	5.161840471
481	5.159925365
482	5.155688347
483	5.149630444
484	5.146937747
485	5.14505014
486	5.141636459
487	5.13640319
488	5.134260776
489	5.131350267
490	5.127513441
491	5.124793493
492	5.119470724
493	5.117640417
494	5.114224621
495	5.110957985
496	5.107555929
497	5.102163829
498	5.101164483
499	5.097455868
500	5.094290843
501	5.092141292
502	5.088933568
503	5.087049266
504	5.084796889
505	5.082201424
506	5.076078294
507	5.073512821
508	5.072185936
509	5.070816586
510	5.069174342
511	5.066008575
512	5.064585161
513	5.06224166
514	5.060635632
515	5.055370144
516	5.054134006
517	5.05076993
518	5.045036339
519	5.042588776
520	5.037392334
521	5.033795665
522	5.031961019
523	5.030743022
524	5.026113353
525	5.023778379
526	5.020629196
527	5.01756085
528	5.013930456
529	5.010964188
530	5.009679733
531	5.008737366
532	5.004906545
533	5.000395288
534	4.999049069
535	4.996127992
536	4.992951951
537	4.990881512
538	4.989620666
539	4.98714054
540	4.984835123
541	4.983667655
542	4.982402692
543	4.981640222
544	4.980195621
545	4.977316355
546	4.975314685
547	4.972149251
548	4.966526096
549	4.964315884
550	4.962192917
551	4.959919496
552	4.955741985
553	4.951870873
554	4.950515075
555	4.947282156
556	4.944747319
557	4.94359288
558	4.939593299
559	4.93509279
560	4.933655086
561	4.930317418
562	4.928981492
563	4.927577962
564	4.923830669
565	4.922245132
566	4.91881383
567	4.914924798
568	4.913839739
569	4.911226174
570	4.907483682
571	4.904985196
572	4.902973839
573	4.899439806
574	4.897429499
575	4.896102929
576	4.893593174
577	4.890505709
578	4.888372279
579	4.885604903
580	4.884682254
581	4.881443745
582	4.876748883
583	4.87572263
584	4.874720633
585	4.869515037
586	4.868787819
587	4.865028316
588	4.861127726
589	4.859686956
590	4.856598982
591	4.854448402
592	4.850225951
593	4.84734252
594	4.84579937
595	4.842979822
596	4.840366072
597	4.839198443
598	4.834735699
599	4.83378715
600	4.831956448
601	4.825411955
602	4.823553162
603	4.821488766
604	4.818488209
605	4.817152578
606	4.815783726
607	4.812163479
608	4.806583458
609	4.805056915
610	4.802508629
611	4.79880913
612	4.79768104
613	4.795225403
614	4.792786885
615	4.789872361
616	4.787999754
617	4.784609565
618	4.783284517
619	4.780795629
620	4.778386598
621	4.77701499
622	4.772985621
623	4.770531052
624	4.768438088
625	4.764796417
626	4.762067347
627	4.759211793
628	4.756304332
629	4.753186314
630	4.751412611
631	4.750384767
632	4.747515854
633	4.743820062
634	4.741621301
635	4.738934349
636	4.737996861
637	4.73632334
638	4.734635087
639	4.733664495
640	4.732379871
641	4.729108973
642	4.724833082
643	4.722687838
644	4.7202779
645	4.719304653
646	4.718412013
647	4.717106041
648	4.714606067
649	4.712889827
650	4.711316887
651	4.709149479
652	4.70591695
653	4.70496066
654	4.702655202
655	4.700352497
656	4.698569295
657	4.696120047
658	4.695133566
659	4.691364082
660	4.688405152
661	4.683877997
662	4.682978643
663	4.681110314
664	4.680077031
665	4.675680527
666	4.675035842
667	4.673768532
668	4.671554998
669	4.669562174
670	4.668279923
671	4.66365238
672	4.662202506
673	4.660598813
674	4.655849337
675	4.654957358
676	4.649725717
677	4.648740244
678	4.647149757
679	4.644687558
680	4.641723709
681	4.640814345
682	4.63837959
683	4.637735717
684	4.633720343
685	4.63176124
686	4.630938019
687	4.628988206
688	4.625637386
689	4.618499288
690	4.617574184
691	4.614373554
692	4.612184422
693	4.609367196
694	4.607936553
695	4.604419558
696	4.603578225
697	4.60235515
698	4.601741685
699	4.599908972
700	4.599051423
701	4.597535777
702	4.596742239
703	4.591426188
704	4.589518585
705	4.585745338
706	4.583431059
707	4.581638211
708	4.580888928
709	4.578388637
710	4.574775
711	4.572317989
712	4.570021453
713	4.566435234
714	4.563219939
715	4.56057802
716	4.558928711
717	4.557105504
718	4.552327791
719	4.550707217
720	4.548012391
721	4.545657025
722	4.544734746
723	4.542671161
724	4.539287818
725	4.537479439
726	4.533804879
727	4.532164579
728	4.530119841
729	4.526948381
730	4.5244841
731	4.523527683
732	4.522102337
733	4.520026578
734	4.518938423
735	4.518129463
736	4.517334698
737	4.514432878
738	4.512918696
739	4.510965182
740	4.510184081
741	4.508550658
742	4.506674599
743	4.504833964
744	4.50324095
745	4.500493676
746	4.499731239
747	4.496820401
748	4.494538879
749	4.493835151
750	4.492037242
751	4.489897643
752	4.48579222
753	4.483326854
754	4.477798916
755	4.474608655
756	4.473552372
757	4.471799859
758	4.470364237
759	4.464920631
760	4.464180841
761	4.463468994
762	4.462060159
763	4.46146187
764	4.460643485
765	4.459437738
766	4.458747298
767	4.454526941
768	4.451446131
769	4.448581376
770	4.446636927
771	4.44305559
772	4.441442283
773	4.439488615
774	4.438810698
775	4.437090488
776	4.434352536
777	4.432222145
778	4.430663417
779	4.427899564
780	4.426803279
781	4.425483629
