iter	Passed	Remaining
438	1327	1696
439	1330	1693
440	1333	1689
441	1335	1686
442	1338	1682
443	1341	1679
444	1343	1675
445	1346	1672
446	1349	1669
447	1352	1666
448	1354	1662
449	1357	1659
450	1360	1656
451	1363	1652
452	1365	1649
453	1368	1645
454	1371	1642
455	1374	1639
456	1377	1636
457	1380	1633
458	1382	1629
459	1385	1626
460	1388	1623
461	1390	1619
462	1393	1616
463	1395	1612
464	1398	1609
465	1401	1605
466	1404	1602
467	1406	1599
468	1409	1595
469	1412	1592
470	1415	1589
471	1417	1585
472	1420	1582
473	1423	1579
474	1426	1576
475	1428	1573
476	1431	1569
477	1434	1566
478	1436	1562
479	1439	1559
480	1442	1556
481	1444	1552
482	1447	1549
483	1449	1545
484	1452	1542
485	1454	1538
486	1457	1535
487	1459	1531
488	1462	1528
489	1464	1524
490	1467	1521
491	1470	1517
492	1472	1514
493	1475	1511
494	1477	1507
495	1480	1504
496	1482	1500
497	1485	1497
498	1488	1494
499	1491	1491
500	1493	1487
501	1496	1484
502	1498	1481
503	1501	1477
504	1504	1474
505	1507	1471
506	1510	1468
507	1512	1465
508	1515	1461
509	1518	1458
510	1521	1455
511	1523	1452
512	1526	1449
513	1529	1445
514	1531	1442
515	1534	1439
516	1537	1436
517	1539	1432
518	1542	1429
519	1545	1426
520	1548	1423
521	1551	1420
522	1554	1417
523	1556	1414
524	1559	1410
525	1562	1407
526	1564	1404
527	1567	1401
528	1569	1397
529	1572	1394
530	1574	1390
531	1577	1387
532	1580	1384
533	1582	1381
534	1585	1377
535	1587	1374
536	1589	1370
537	1592	1367
538	1595	1364
539	1598	1361
540	1600	1358
541	1603	1354
542	1605	1351
543	1608	1348
544	1611	1345
545	1614	1342
546	1616	1338
547	1619	1335
548	1621	1332
549	1624	1328
550	1626	1325
551	1629	1322
552	1631	1318
553	1634	1315
554	1636	1312
555	1639	1309
556	1642	1305
557	1644	1302
558	1647	1299
559	1649	1296
560	1652	1293
561	1655	1289
562	1658	1287
563	1660	1283
564	1663	1280
565	1665	1277
566	1668	1273
567	1670	1270
568	1673	1267
569	1676	1264
570	1678	1261
571	1681	1258
572	1684	1255
573	1686	1251
574	1689	1248
575	1692	1245
576	1694	1242
577	1697	1239
578	1699	1236
579	1702	1232
580	1705	1229
581	1707	1226
582	1710	1223
583	1713	1220
584	1715	1217
585	1718	1214
586	1721	1210
587	1723	1207
588	1726	1204
589	1729	1201
590	1731	1198
591	1734	1195
592	1737	1192
593	1740	1189
594	1742	1186
595	1745	1183
596	1748	1180
597	1750	1177
598	1753	1173
599	1756	1170
600	1758	1167
601	1761	1164
602	1764	1161
603	1766	1158
604	1769	1155
605	1772	1152
606	1775	1149
607	1777	1146
608	1780	1143
609	1783	1140
610	1786	1137
611	1788	1134
612	1791	1131
613	1794	1128
614	1796	1124
615	1799	1121
616	1802	1118
617	1805	1115
618	1807	1112
619	1810	1109
620	1813	1106
621	1815	1103
622	1818	1100
623	1821	1097
624	1823	1094
625	1826	1091
626	1829	1088
627	1831	1085
628	1834	1082
629	1837	1079
630	1840	1076
631	1843	1073
632	1845	1070
633	1848	1067
634	1851	1064
635	1853	1061
636	1856	1058
637	1859	1055
638	1862	1052
639	1865	1049
640	1868	1046
641	1870	1043
642	1873	1040
643	1876	1037
644	1879	1034
645	1881	1031
646	1884	1028
647	1887	1025
648	1890	1022
649	1892	1019
650	1895	1016
651	1898	1013
652	1901	1010
653	1903	1007
654	1906	1004
655	1909	1001
656	1912	998
657	1915	995
658	1918	992
659	1920	989
660	1923	986
661	1926	983
662	1928	980
663	1931	977
664	1934	974
665	1936	971
666	1939	968
667	1942	965
668	1944	962
669	1947	959
670	1950	956
671	1952	953
672	1955	950
673	1958	947
674	1960	944
675	1963	941
676	1966	938
677	1968	935
678	1971	932
679	1973	928
680	1976	925
681	1979	922
682	1981	919
683	1984	916
684	1986	913
685	1989	910
686	1992	907
687	1994	904
688	1997	901
689	1999	898
690	2002	895
691	2005	892
692	2007	889
693	2010	886
694	2013	883
695	2015	880
696	2018	877
697	2021	874
698	2023	871
699	2026	868
700	2029	865
701	2031	862
702	2034	859
703	2037	856
704	2040	853
705	2043	850
706	2046	847
707	2048	845
708	2051	842
709	2054	839
710	2057	836
711	2059	833
712	2062	830
713	2064	827
714	2067	824
715	2070	821
716	2073	818
717	2076	815
718	2079	812
719	2081	809
720	2084	806
721	2087	803
722	2090	800
723	2092	797
724	2095	794
725	2098	791
726	2101	788
727	2103	785
728	2106	783
729	2109	780
730	2112	777
731	2115	774
732	2118	771
733	2121	768
734	2124	765
735	2126	762
736	2129	759
737	2132	756
738	2134	753
739	2138	751
740	2141	748
741	2144	745
742	2147	742
743	2149	739
744	2152	736
745	2155	733
746	2158	730
747	2160	727
748	2163	724
749	2166	722
750	2168	719
751	2171	716
752	2174	713
753	2176	710
754	2179	707
755	2181	704
756	2184	701
757	2187	698
758	2189	695
759	2192	692
760	2194	689
761	2197	686
762	2199	683
763	2202	680
764	2204	677
765	2207	674
766	2210	671
767	2212	668
768	2215	665
769	2218	662
770	2221	659
771	2223	656
772	2226	653
773	2228	650
774	2231	647
775	2233	644
776	2236	641
777	2238	638
778	2240	635
779	2243	632
780	2245	629
781	2248	626
782	2251	623
783	2253	620
784	2256	618
785	2258	615
786	2261	612
787	2264	609
788	2266	606
789	2269	603
790	2271	600
791	2274	597
792	2276	594
793	2279	591
794	2281	588
795	2284	585
796	2287	582
797	2289	579
798	2292	576
799	2295	573
800	2297	570
801	2300	567
802	2302	564
803	2305	561
804	2307	559
805	2310	556
806	2313	553
807	2315	550
808	2318	547
809	2320	544
810	2323	541
811	2325	538
812	2328	535
813	2331	532
814	2333	529
815	2336	526
816	2338	523
817	2341	520
818	2344	518
819	2347	515
820	2349	512
821	2352	509
822	2355	506
823	2358	503
824	2361	500
825	2363	497
826	2366	494
827	2368	492
828	2371	489
829	2373	486
830	2376	483
831	2379	480
832	2381	477
833	2384	474
834	2387	471
835	2390	468
836	2393	466
837	2395	463
838	2398	460
839	2400	457
840	2403	454
841	2405	451
842	2409	448
843	2411	445
844	2414	442
845	2416	439
846	2419	437
847	2422	434
848	2424	431
849	2427	428
850	2430	425
851	2432	422
852	2435	419
853	2437	416
854	2440	413
855	2443	411
856	2445	408
857	2448	405
858	2450	402
859	2453	399
860	2456	396
861	2458	393
862	2461	390
863	2463	387
864	2466	384
865	2469	382
866	2472	379
867	2474	376
868	2477	373
869	2479	370
870	2482	367
871	2485	364
872	2488	361
873	2490	359
874	2493	356
875	2496	353
876	2498	350
877	2501	347
878	2504	344
879	2506	341
880	2509	338
881	2511	336
882	2514	333
883	2517	330
884	2520	327
885	2522	324
886	2525	321
887	2528	318
888	2530	315
889	2533	313
890	2536	310
891	2538	307
892	2541	304
893	2544	301
894	2546	298
895	2549	295
896	2552	293
897	2555	290
898	2557	287
899	2560	284
900	2563	281
901	2565	278
902	2568	275
903	2570	272
904	2573	270
905	2576	267
906	2578	264
907	2581	261
908	2584	258
909	2586	255
910	2589	252
911	2591	250
912	2594	247
913	2597	244
914	2599	241
915	2602	238
916	2605	235
917	2608	232
918	2610	230
919	2613	227
920	2616	224
921	2618	221
922	2621	218
923	2624	215
924	2626	212
925	2629	210
926	2632	207
927	2634	204
928	2637	201
929	2639	198
930	2642	195
931	2645	192
932	2647	190
933	2650	187
934	2653	184
935	2655	181
936	2658	178
937	2661	175
938	2663	173
939	2666	170
940	2668	167
941	2671	164
942	2674	161
943	2676	158
944	2679	155
945	2682	153
946	2684	150
947	2687	147
948	2689	144
949	2692	141
950	2694	138
951	2697	135
952	2699	133
953	2702	130
954	2704	127
955	2707	124
956	2710	121
957	2712	118
958	2715	116
959	2717	113
960	2720	110
961	2723	107
962	2725	104
963	2728	101
964	2730	99
965	2733	96
966	2735	93
967	2738	90
968	2741	87
969	2743	84
970	2746	82
971	2748	79
972	2751	76
973	2753	73
974	2756	70
975	2759	67
976	2761	65
977	2764	62
978	2766	59
979	2769	56
980	2772	53
981	2774	50
982	2777	48
983	2779	45
984	2782	42
985	2784	39
986	2787	36
987	2790	33
988	2792	31
989	2795	28
990	2797	25
991	2800	22
992	2802	19
993	2805	16
994	2808	14
995	2810	11
996	2813	8
997	2816	5
998	2818	2
999	2821	0
