iter	Passed	Remaining
420	2194	3018
421	2199	3011
422	2203	3005
423	2208	3000
424	2214	2995
425	2221	2993
426	2226	2987
427	2231	2982
428	2236	2976
429	2240	2970
430	2245	2964
431	2249	2958
432	2254	2952
433	2259	2946
434	2264	2940
435	2269	2935
436	2273	2929
437	2278	2923
438	2283	2918
439	2288	2913
440	2294	2908
441	2300	2904
442	2305	2899
443	2310	2893
444	2315	2887
445	2321	2883
446	2327	2879
447	2332	2873
448	2337	2868
449	2342	2863
450	2348	2858
451	2354	2854
452	2359	2849
453	2364	2843
454	2368	2837
455	2373	2830
456	2377	2824
457	2382	2819
458	2387	2813
459	2391	2807
460	2396	2801
461	2400	2795
462	2405	2789
463	2409	2783
464	2414	2777
465	2418	2771
466	2423	2765
467	2428	2760
468	2432	2754
469	2437	2748
470	2441	2742
471	2446	2737
472	2451	2731
473	2456	2725
474	2460	2719
475	2465	2714
476	2470	2708
477	2474	2702
478	2479	2696
479	2483	2690
480	2488	2684
481	2492	2678
482	2497	2673
483	2501	2666
484	2506	2661
485	2510	2655
486	2514	2649
487	2519	2643
488	2523	2637
489	2527	2630
490	2532	2625
491	2536	2619
492	2540	2613
493	2545	2607
494	2549	2601
495	2554	2595
496	2558	2589
497	2563	2583
498	2567	2577
499	2571	2571
500	2576	2565
501	2580	2560
502	2585	2554
503	2589	2548
504	2593	2542
505	2598	2536
506	2602	2530
507	2607	2525
508	2611	2519
509	2615	2513
510	2619	2507
511	2624	2501
512	2628	2495
513	2633	2489
514	2637	2483
515	2641	2478
516	2646	2472
517	2650	2466
518	2655	2460
519	2659	2455
520	2663	2449
521	2668	2443
522	2672	2437
523	2677	2432
524	2681	2426
525	2686	2420
526	2690	2414
527	2694	2408
528	2699	2403
529	2704	2397
530	2708	2392
531	2712	2386
532	2717	2380
533	2721	2375
534	2726	2369
535	2730	2363
536	2734	2357
537	2739	2352
538	2744	2347
539	2748	2341
540	2753	2335
541	2757	2330
542	2762	2324
543	2766	2319
544	2770	2313
545	2775	2307
546	2779	2302
547	2784	2296
548	2788	2290
549	2792	2284
550	2797	2279
551	2801	2273
552	2806	2268
553	2810	2262
554	2814	2256
555	2818	2251
556	2823	2245
557	2827	2239
558	2831	2233
559	2835	2227
560	2839	2222
561	2843	2216
562	2847	2210
563	2851	2204
564	2855	2198
565	2860	2193
566	2864	2187
567	2868	2181
568	2872	2175
569	2876	2170
570	2880	2164
571	2884	2158
572	2889	2153
573	2893	2147
574	2897	2141
575	2901	2135
576	2905	2130
577	2909	2124
578	2913	2118
579	2917	2112
580	2922	2107
581	2926	2101
582	2930	2095
583	2934	2090
584	2938	2084
585	2943	2079
586	2947	2073
587	2951	2068
588	2956	2063
589	2961	2057
590	2965	2052
591	2970	2047
592	2974	2041
593	2979	2036
594	2984	2031
595	2988	2026
596	2993	2020
597	2998	2015
598	3002	2010
599	3006	2004
600	3011	1999
601	3016	1994
602	3020	1988
603	3024	1983
604	3029	1977
605	3034	1972
606	3038	1967
607	3043	1962
608	3048	1957
609	3052	1951
610	3057	1946
611	3062	1941
612	3066	1935
613	3070	1930
614	3075	1925
615	3079	1919
616	3083	1914
617	3088	1909
618	3094	1904
619	3099	1899
620	3104	1894
621	3108	1889
622	3113	1883
623	3118	1878
624	3122	1873
625	3127	1868
626	3131	1863
627	3136	1857
628	3141	1852
629	3146	1847
630	3151	1842
631	3156	1838
632	3161	1833
633	3166	1828
634	3172	1823
635	3177	1818
636	3181	1813
637	3187	1808
638	3191	1803
639	3196	1798
640	3202	1793
641	3207	1788
642	3212	1783
643	3217	1778
644	3222	1773
645	3227	1768
646	3232	1763
647	3238	1758
648	3243	1754
649	3248	1749
650	3253	1744
651	3258	1739
652	3263	1734
653	3269	1729
654	3274	1724
655	3279	1719
656	3284	1714
657	3289	1709
658	3294	1704
659	3300	1700
660	3304	1694
661	3310	1690
662	3315	1685
663	3320	1680
664	3325	1675
665	3331	1670
666	3337	1666
667	3342	1661
668	3347	1656
669	3352	1651
670	3357	1646
671	3363	1641
672	3368	1636
673	3373	1631
674	3378	1626
675	3383	1621
676	3388	1616
677	3393	1611
678	3398	1606
679	3403	1601
680	3408	1596
681	3412	1591
682	3417	1586
683	3422	1581
684	3427	1576
685	3432	1571
686	3438	1566
687	3443	1561
688	3448	1556
689	3453	1551
690	3458	1546
691	3463	1541
692	3468	1536
693	3472	1531
694	3477	1526
695	3481	1520
696	3486	1515
697	3491	1510
698	3496	1505
699	3501	1500
700	3506	1495
701	3511	1490
702	3515	1485
703	3520	1480
704	3525	1475
705	3530	1470
706	3535	1465
707	3540	1460
708	3544	1454
709	3549	1449
710	3553	1444
711	3558	1439
712	3563	1434
713	3567	1429
714	3572	1424
715	3577	1418
716	3581	1413
717	3586	1408
718	3590	1403
719	3595	1398
720	3599	1393
721	3604	1387
722	3608	1382
723	3613	1377
724	3618	1372
725	3623	1367
726	3627	1362
727	3634	1357
728	3639	1352
729	3643	1347
730	3648	1342
731	3653	1337
732	3657	1332
733	3662	1327
734	3666	1322
735	3671	1316
736	3675	1311
737	3680	1306
738	3684	1301
739	3689	1296
740	3693	1291
741	3698	1285
742	3702	1280
743	3707	1275
744	3711	1270
745	3716	1265
746	3720	1260
747	3725	1255
748	3730	1250
749	3734	1244
750	3739	1239
751	3743	1234
752	3747	1229
753	3751	1224
754	3756	1218
755	3760	1213
756	3765	1208
757	3769	1203
758	3774	1198
759	3778	1193
760	3782	1188
761	3787	1182
762	3791	1177
763	3796	1172
764	3800	1167
765	3805	1162
766	3809	1157
767	3813	1152
768	3818	1146
769	3822	1141
770	3827	1136
771	3832	1131
772	3836	1126
773	3841	1121
774	3846	1116
775	3851	1111
