iter	RMSE
0	147.7360186
1	142.9391632
2	138.4524683
3	133.6870204
4	129.3705228
5	125.148527
6	120.9155311
7	117.3051677
8	113.6547579
9	109.8481593
10	106.4736782
11	103.1186984
12	99.7650531
13	96.7556214
14	93.6664575
15	90.90845819
16	88.20870782
17	85.71357719
18	83.3533389
19	81.09061057
20	79.07089933
21	76.85427702
22	74.74698698
23	72.89680029
24	70.81280834
25	68.97242405
26	67.16232237
27	65.36775805
28	63.65630396
29	61.96823017
30	60.41610483
31	58.97791629
32	57.60643629
33	56.2636502
34	55.11419862
35	53.95906105
36	52.8794822
37	51.85555664
38	50.73008229
39	49.49550722
40	48.47020863
41	47.37842538
42	46.33986853
43	45.59868542
44	44.73123129
45	43.963188
46	43.20840887
47	42.6056446
48	41.95989966
49	41.25511148
50	40.47267982
51	39.87946837
52	39.34017365
53	38.74672273
54	38.06695261
55	37.49715037
56	36.92226204
57	36.47343922
58	35.94373151
59	35.51419389
60	35.09881284
61	34.74902946
62	34.37797413
63	34.04442204
64	33.64733684
65	33.1791364
66	32.84600144
67	32.4770316
68	32.03264075
69	31.5918017
70	31.32922266
71	31.0174615
72	30.72721338
73	30.43654326
74	30.15518603
75	29.88394949
76	29.6434118
77	29.41908887
78	29.16433385
79	28.96462361
80	28.66888474
81	28.45089264
82	28.24780172
83	27.98377144
84	27.77118133
85	27.55111064
86	27.36974623
87	27.17034212
88	27.03615092
89	26.75653812
90	26.55002627
91	26.3910677
92	26.19118325
93	26.00190566
94	25.8540593
95	25.72388143
96	25.54460873
97	25.39810736
98	25.32039565
99	25.20055854
100	25.04353596
101	24.90629932
102	24.74948956
103	24.62695204
104	24.54267246
105	24.39746288
106	24.24848698
107	24.10306328
108	23.98344121
109	23.90814302
110	23.75662372
111	23.60267345
112	23.48411601
113	23.362682
114	23.25168587
115	23.13180415
116	23.02440122
117	22.89770471
118	22.75528975
119	22.65207547
120	22.53310214
121	22.40276938
122	22.25483647
123	22.12887536
124	22.08006859
125	21.97537063
126	21.92206207
127	21.87702988
128	21.81632256
129	21.70648158
130	21.62011783
131	21.57548193
132	21.51663809
133	21.39366495
134	21.24533941
135	21.1445065
136	21.06279553
137	20.96592623
138	20.93771347
139	20.8617747
140	20.75994263
141	20.67446658
142	20.61845979
143	20.49402541
144	20.38845896
145	20.28881092
146	20.23011145
147	20.12406315
148	20.04675919
149	19.96654567
150	19.90605737
151	19.81642395
152	19.72367297
153	19.67357498
154	19.60399139
155	19.48960521
156	19.43633832
157	19.39949216
158	19.28316509
159	19.21853458
160	19.21741816
161	19.1284135
162	19.08456347
163	18.99211988
164	18.9360247
165	18.92356246
166	18.8157811
167	18.75303949
168	18.69184371
169	18.56730243
170	18.46347495
171	18.39450578
172	18.34285891
173	18.22370801
174	18.15325547
175	18.02480312
176	17.96397751
177	17.90282495
178	17.83334007
179	17.7831744
180	17.68959178
181	17.57675951
182	17.53170025
183	17.44382013
184	17.35595691
185	17.29923711
186	17.18082937
187	17.12784369
188	17.03501604
189	16.96611757
190	16.92158077
191	16.85624444
192	16.80540647
193	16.75564868
194	16.65879063
195	16.60529989
196	16.51879267
197	16.4728752
198	16.4385674
199	16.35692596
200	16.28702017
201	16.20365695
202	16.16185219
203	16.09238365
204	16.02667341
205	15.94616771
206	15.8963788
207	15.83645462
208	15.78958114
209	15.74414182
210	15.66072796
211	15.5858711
212	15.55819293
213	15.48596899
214	15.41633177
215	15.36187539
216	15.3162802
217	15.26591644
218	15.21054887
219	15.16728671
220	15.12520071
221	15.07625323
222	15.03722643
223	14.99356692
224	14.96076733
225	14.92632105
226	14.88651758
227	14.85093184
228	14.81535545
229	14.76087355
230	14.7270772
231	14.6703528
232	14.63693478
233	14.57804695
234	14.55758289
235	14.52554639
236	14.49503119
237	14.42980549
238	14.40138971
239	14.3744164
240	14.34481469
241	14.30944822
242	14.27806461
243	14.21000308
244	14.15560644
245	14.12880643
246	14.0719222
247	14.04099161
248	14.01465478
249	13.97617831
250	13.93887403
251	13.88538411
252	13.83395108
253	13.80369485
254	13.77804186
255	13.75506002
256	13.69837079
257	13.66830486
258	13.63697221
259	13.61750172
260	13.58817637
261	13.5526973
262	13.53437864
263	13.46869602
264	13.43996172
265	13.40695228
266	13.38961665
267	13.36001527
268	13.30613698
269	13.27809392
270	13.21246522
271	13.17921064
272	13.15190208
273	13.12104868
274	13.10514295
275	13.08983248
276	13.06351007
277	13.04176012
278	13.01162837
279	12.96963953
280	12.93978062
281	12.9187955
282	12.90226048
283	12.87291282
284	12.86592932
285	12.84739006
286	12.81775786
287	12.79451248
288	12.77125396
289	12.75000414
290	12.73302805
291	12.67572045
292	12.66307961
293	12.62272633
294	12.60444422
295	12.575916
296	12.54819023
297	12.50905444
298	12.49147597
299	12.45876644
300	12.43468437
301	12.42175719
302	12.39927183
303	12.38594879
304	12.36181997
305	12.34832931
306	12.33062029
307	12.26395999
308	12.22278682
309	12.18062359
310	12.168591
311	12.11640089
312	12.10367986
313	12.09232572
314	12.0381103
315	12.01796955
316	11.97749824
317	11.96941667
318	11.94904803
319	11.90045867
320	11.88195289
321	11.83503753
322	11.77594154
323	11.75169469
324	11.73722107
325	11.71518372
326	11.67736198
327	11.6678852
328	11.63147502
329	11.60688965
330	11.57682548
331	11.57213607
332	11.54539579
333	11.517044
334	11.48953815
335	11.44101516
336	11.40645209
337	11.37970631
338	11.3566362
339	11.31348409
340	11.26767889
341	11.25032547
342	11.20627051
343	11.18975443
344	11.14902479
345	11.107121
346	11.09408053
347	11.08059542
348	11.04435534
349	11.0019291
350	10.95493741
351	10.91558243
352	10.89245788
353	10.88014636
354	10.86045803
355	10.84182403
356	10.81963304
357	10.80827043
358	10.75946461
359	10.74821735
360	10.68289275
361	10.66891331
362	10.65336589
363	10.62682027
364	10.60123238
365	10.56213036
366	10.52825789
367	10.49391174
368	10.43184799
369	10.4296907
370	10.3897005
371	10.37178036
372	10.35731099
373	10.31881846
374	10.30262629
375	10.28129018
376	10.26812035
377	10.24263195
378	10.22883833
379	10.19841348
380	10.1779358
381	10.16019833
382	10.15219459
383	10.12888975
384	10.11284601
385	10.0715899
386	10.0633915
387	10.04513257
388	10.01736213
389	10.00282376
390	9.983478134
391	9.975473211
392	9.953265517
393	9.921478097
394	9.905381466
395	9.878675358
396	9.838014126
397	9.825203739
398	9.806099433
399	9.79389745
400	9.755132857
401	9.74047067
402	9.725669079
403	9.703832702
404	9.696305503
405	9.682714234
406	9.675424919
407	9.668370524
408	9.666431225
409	9.652167955
410	9.635300061
411	9.623637817
412	9.61123635
413	9.585447144
414	9.576049465
415	9.565226489
416	9.540542364
417	9.534821272
418	9.529269383
419	9.508642068
420	9.506519712
421	9.494550834
422	9.471680817
423	9.447732515
424	9.431442611
425	9.416113298
426	9.395772129
427	9.386589396
428	9.37452842
429	9.356073061
430	9.347903817
431	9.330282781
432	9.322337042
433	9.314710259
434	9.295212936
435	9.287882457
436	9.271107989
437	9.269235383
438	9.214581241
439	9.203292344
440	9.191446845
441	9.182519733
442	9.18069985
443	9.159976907
444	9.144313503
445	9.134216986
446	9.115316531
447	9.113585387
448	9.08063859
449	9.070195373
450	9.038627604
451	9.007497664
452	8.955771245
453	8.936400659
454	8.912848585
455	8.89042719
456	8.868736023
457	8.841150293
458	8.792548176
459	8.787350056
460	8.777568145
461	8.761665371
462	8.729158453
463	8.724265733
464	8.699571732
465	8.67854128
466	8.662959957
467	8.658357985
468	8.643173145
469	8.623927672
470	8.619528627
471	8.591723466
472	8.584212776
473	8.562898072
474	8.538444901
475	8.493830294
476	8.46812897
477	8.456623615
478	8.433215321
479	8.428899396
480	8.421318416
481	8.398660941
482	8.355958818
483	8.314774955
484	8.301139649
485	8.287868432
486	8.278707479
487	8.250477024
488	8.239116718
489	8.214854659
490	8.209709965
491	8.167136675
492	8.154514286
493	8.145042309
494	8.141058394
495	8.119696485
496	8.09703807
497	8.081777406
498	8.069592308
499	8.05772062
500	8.020158972
501	7.998004738
502	7.98885971
503	7.974752734
504	7.950744212
505	7.923978876
506	7.912991411
507	7.905030116
508	7.894447157
509	7.888389332
510	7.862301709
511	7.852071417
512	7.840514334
513	7.827978867
514	7.81670291
515	7.777835839
516	7.77676688
517	7.755353711
518	7.748697636
