DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RHOB_D,RESD_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
7810.5,-0.01,52.46,-999.25,0.035,4.6,0.0,2.667,50.53,-999.25,0.0172,0.035,0.0038,0.0108,0.0058,-999.25,0.0002,0.0002,0.0007,0.0011,0.0,
7811.0,0.008,56.85,-999.25,0.047,4.24,0.0,2.638,39.62,-999.25,0.0668,0.1203,0.0211,0.0468,0.0125,-999.25,0.001,0.0013,0.0033,0.0049,0.0,
7811.5,0.037,63.1,-999.25,0.071,4.09,0.057,2.589,32.5,-999.25,0.673,0.2484,0.1421,0.1758,0.0549,-999.25,0.0059,0.0087,0.0404,0.0435,0.0003,
7812.0,0.083,69.57,-999.25,0.1,3.94,0.092,2.514,30.57,-999.25,6.4405,1.1387,1.3228,1.049,0.3919,-999.25,0.0426,0.0339,0.6393,0.1843,0.0042,
7812.5,0.12,73.5,-999.25,0.127,3.61,0.123,2.452,22.94,-999.25,26.1858,4.4991,9.1194,5.9178,2.6129,-999.25,0.3478,0.1326,5.0791,0.7568,0.0439,
7813.0,0.133,72.28,-999.25,0.14,3.14,0.137,2.431,14.27,-999.25,19.5519,6.1671,21.0338,16.1686,5.5519,-999.25,1.8008,0.5534,4.9951,1.5358,0.1401,
7813.5,0.112,66.34,-999.25,0.13,2.71,0.121,2.465,15.43,-999.25,10.3792,7.6713,9.8434,9.452,2.1288,-999.25,6.5076,1.0096,1.0784,0.5845,0.0476,
7814.0,0.073,60.47,-999.25,0.102,2.7,0.088,2.529,20.25,-999.25,2.0077,1.6631,1.0201,1.2895,0.3353,-999.25,2.208,0.2041,0.0838,0.0848,0.0045,
7814.5,0.035,56.76,-999.25,0.067,3.07,0.054,2.593,21.9,-999.25,0.2476,0.2433,0.0588,0.1081,0.0445,-999.25,0.0876,0.0422,0.0065,0.0116,0.0003,
7815.0,0.001,55.25,-999.25,0.043,3.68,0.0,2.649,27.05,-999.25,0.0562,0.15,0.011,0.0301,0.01,-999.25,0.0045,0.0056,0.002,0.0032,0.0,
7815.5,-0.02,54.74,-999.25,0.034,4.27,0.0,2.682,43.3,-999.25,0.04,0.0693,0.0051,0.0148,0.0056,-999.25,0.0006,0.0009,0.0015,0.0021,0.0,
7816.0,-0.021,54.7,-999.25,0.032,4.49,0.0,2.685,43.52,-999.25,0.028,0.0448,0.0045,0.0131,0.005,-999.25,0.0004,0.0004,0.0013,0.0018,0.0,
7816.5,-0.008,55.38,-999.25,0.034,4.26,0.0,2.664,40.87,-999.25,0.038,0.0683,0.0067,0.0174,0.0056,-999.25,0.0006,0.0008,0.0015,0.0021,0.0,
7817.0,0.01,56.6,-999.25,0.038,3.67,0.0,2.634,37.9,-999.25,0.0494,0.1473,0.0135,0.0309,0.0071,-999.25,0.004,0.0048,0.0022,0.003,0.0,
7817.5,0.025,57.97,-999.25,0.043,3.05,0.035,2.609,30.73,-999.25,0.079,0.1411,0.0206,0.0364,0.0104,-999.25,0.057,0.0306,0.0037,0.0051,0.0,
7818.0,0.034,59.08,-999.25,0.046,2.62,0.041,2.593,30.79,-999.25,0.0845,0.2157,0.0346,0.056,0.0142,-999.25,0.5732,0.0613,0.0062,0.0077,0.0,
7818.5,0.042,60.03,-999.25,0.049,2.44,0.046,2.582,33.31,-999.25,0.0922,0.3103,0.0509,0.0723,0.018,-999.25,1.5916,0.0588,0.0087,0.0087,0.0001,
7819.0,0.045,61.06,-999.25,0.051,2.49,0.048,2.576,29.05,-999.25,0.1216,0.3925,0.0638,0.0913,0.0214,-999.25,1.2786,0.0868,0.0118,0.0123,0.0001,
7819.5,0.045,62.05,-999.25,0.054,2.52,0.05,2.576,20.77,-999.25,0.1635,0.448,0.0689,0.1055,0.0247,-999.25,0.8341,0.1235,0.012,0.0166,0.0001,
7820.0,0.039,62.28,-999.25,0.055,2.66,0.048,2.585,17.37,-999.25,0.1856,0.3963,0.0653,0.1061,0.0257,-999.25,0.3901,0.1452,0.0113,0.021,0.0001,
7820.5,0.031,61.45,-999.25,0.055,2.92,0.045,2.598,18.77,-999.25,0.174,0.2909,0.0539,0.0903,0.0236,-999.25,0.1284,0.0898,0.01,0.0195,0.0001,
7821.0,0.027,59.56,-999.25,0.052,3.24,0.041,2.605,24.6,-999.25,0.1573,0.2133,0.0386,0.0656,0.0189,-999.25,0.0345,0.0308,0.0073,0.012,0.0001,
7821.5,0.021,57.57,-999.25,0.046,3.53,0.036,2.616,35.56,-999.25,0.1238,0.1451,0.0229,0.0387,0.0129,-999.25,0.0091,0.01,0.0042,0.0059,0.0,
7822.0,0.013,56.55,-999.25,0.041,3.55,0.03,2.629,39.87,-999.25,0.0896,0.1124,0.0135,0.0246,0.0088,-999.25,0.0068,0.0078,0.0027,0.0038,0.0,
7822.5,0.008,56.48,-999.25,0.04,3.31,0.0,2.637,38.33,-999.25,0.0383,0.1527,0.0141,0.0326,0.008,-999.25,0.0189,0.0182,0.0023,0.0033,0.0,
7823.0,0.011,57.16,-999.25,0.046,3.07,0.033,2.632,32.72,-999.25,0.0792,0.111,0.0172,0.0322,0.0119,-999.25,0.0614,0.0388,0.0037,0.0059,0.0,
