DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
4403.0,0.251,91.83,11.0,0.19,1.62,0.223,1.24,2.236,0.0012,2979.1331,4498.2538,153.9905,612.1107,1211.028,1564.7389,355105.2366,22414.9826,23.1674,366.9005,16396.0789,626.5435791015625
4403.5,0.228,88.04,13.49,0.183,1.66,0.207,1.92,2.273,0.0016,1973.7608,4330.3201,143.3872,353.2487,536.1523,698.3921,81164.5454,5659.9181,17.9611,149.2554,4361.8468,461.5448303222656
4404.0,0.228,86.7,15.99,0.18,1.68,0.205,2.36,2.274,0.0011,2030.2142,4260.8498,190.3572,367.6164,507.915,761.6297,73726.0285,4275.7525,28.2454,161.647,13238.4953,391.918212890625
4404.5,0.258,88.61,18.09,0.185,1.67,0.225,2.03,2.224,0.0008,3684.5806,4685.0371,435.4936,782.4793,1385.3717,2594.5083,318982.1614,16483.7394,110.51,759.0674,451330.4964,498.9761962890625
4405.0,0.281,90.6,18.88,0.19,1.63,0.24,1.69,2.186,0.0013,6601.232,5718.6321,640.6018,1097.8507,2294.6658,7799.6232,1454094.1415,55115.4425,258.7742,1818.2098,1730658.9157,701.52490234375
4405.5,0.294,91.78,20.13,0.193,1.6,0.249,1.54,2.165,0.0021,10251.1186,7052.8849,759.7875,1230.4024,2704.1919,14960.7869,4509323.5996,118481.9695,410.4973,2533.815,2340796.8285,841.30126953125
4406.0,0.299,92.82,22.06,0.197,1.63,0.253,1.4,2.156,0.0022,9818.5184,5910.9768,778.0507,1335.309,2900.4721,14609.0351,3982018.6984,130046.0181,442.488,2649.7686,1781866.1109,900.0009155273438
4406.5,0.289,95.45,31.59,0.21,1.68,0.253,1.12,2.173,0.0009,5721.3873,3514.873,515.7604,1604.1011,3092.8092,2793.2029,1346930.732,75684.5095,174.4407,1284.7645,95289.3925,603.5014038085938
4407.0,0.255,98.91,58.9,0.239,1.96,0.247,0.99,2.23,0.0007,604.4047,500.9196,171.6331,991.1046,1760.8753,66.0642,8893.6341,2403.2175,32.4168,140.9141,12.3196,94.61243438720703
4407.5,0.208,90.35,87.31,0.247,2.25,0.229,2.69,2.306,0.0097,199.9935,177.4492,308.3534,331.2403,307.1114,9.6014,289.5401,238.3981,27.6021,53.5427,0.0786,0.042078837752342224
