DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_0919,K_SDR,K_SDR_PRE
6061.0,-0.001,52.87,-999.25,0.061,4.78,0.0,95.93,2.712,-999.25,0.0088,0.0135,0.0121,0.0115,0.0215,-999.25,0.0001,0.0001,0.0002,0.0003,0.0004,,1e-05,
6061.5,-0.002,53.51,-999.25,0.064,4.68,0.0,96.73,2.714,-999.25,0.0132,0.0179,0.0146,0.0139,0.0246,-999.25,0.0001,0.0001,0.0003,0.0003,0.0004,,1e-05,
6062.0,-0.001,54.34,-999.25,0.062,4.48,0.0,97.71,2.711,-999.25,0.0189,0.0231,0.0153,0.0148,0.0226,-999.25,0.0001,0.0002,0.0003,0.0004,0.0004,,1e-05,
6062.5,0.004,54.85,-999.25,0.064,4.28,0.0,97.48,2.702,-999.25,0.027,0.0316,0.0197,0.0184,0.0247,-999.25,0.0002,0.0003,0.0004,0.0004,0.0004,,0.72175467,
6063.0,0.011,54.28,-999.25,0.063,4.08,0.045,95.26,2.691,-999.25,0.0404,0.0181,0.0126,0.0087,0.0186,-999.25,0.0004,0.0003,0.0004,0.0002,0.0005,,0.723017573,
6063.5,0.016,54.3,-999.25,0.061,3.89,0.045,91.47,2.682,-999.25,0.0408,0.019,0.013,0.009,0.0176,-999.25,0.0007,0.0004,0.0003,0.0002,0.0005,,0.385054201,
6064.0,0.02,54.82,-999.25,0.06,3.79,0.045,87.98,2.676,-999.25,0.0403,0.0192,0.0142,0.0097,0.0171,-999.25,0.0009,0.0005,0.0004,0.0002,0.0005,,2.546284437,
6064.5,0.022,54.46,-999.25,0.061,3.76,0.046,85.8,2.673,-999.25,0.04,0.0192,0.0146,0.0098,0.0179,-999.25,0.0009,0.0005,0.0004,0.0002,0.0005,,4.627823353,
6065.0,0.025,55.29,-999.25,0.068,3.74,0.051,82.75,2.668,-999.25,0.0582,0.0238,0.0223,0.0146,0.0241,-999.25,0.0014,0.0007,0.0006,0.0003,0.0007,,0.647390962,
6065.5,0.029,55.2,-999.25,0.071,3.72,0.054,76.04,2.661,-999.25,0.0644,0.0263,0.0267,0.0175,0.0278,-999.25,0.0015,0.0008,0.0007,0.0004,0.0008,,0.427806586,
6066.0,0.034,53.89,-999.25,0.062,3.71,0.05,65.82,2.652,-999.25,0.0373,0.0214,0.0171,0.0123,0.0202,-999.25,0.001,0.0006,0.0003,0.0002,0.0006,,0.45613414,
6066.5,0.039,53.35,-999.25,0.048,3.75,0.044,56.01,2.643,-999.25,0.0179,0.0151,0.0085,0.0068,0.0106,-999.25,0.0004,0.0003,0.0001,0.0001,0.0003,,0.432096004,
6067.0,0.029,52.17,-999.25,0.05,3.95,0.041,49.0,2.66,-999.25,0.0136,0.0133,0.0058,0.0053,0.0112,-999.25,0.0002,0.0002,0.0001,0.0001,0.0003,,0.856747866,
6067.5,0.018,52.13,-999.25,0.025,3.99,0.022,43.97,2.68,-999.25,0.0037,0.0056,0.0012,0.0012,0.0025,-999.25,0.0001,0.0001,0.0,0.0,0.0001,,0.149776459,
6068.0,0.028,59.96,-999.25,0.057,4.0,0.045,39.08,2.663,-999.25,0.0344,0.0204,0.0203,0.0163,0.0155,-999.25,0.0006,0.0003,0.001,0.0004,0.0005,,0.069757544,
6068.5,0.075,72.78,-999.25,0.206,4.0,0.155,33.74,2.582,-999.25,10.1208,0.326,1.4676,0.2971,0.3105,-999.25,0.1045,0.0098,0.6235,0.0172,0.0135,,0.032602623,
6069.0,0.159,88.32,-999.25,0.568,3.97,0.0,28.5,2.438,-999.25,2435.5534,1.9815,17.1177,1.6932,0.1741,-999.25,13.8389,0.4353,0.1802,0.2988,0.9032,,9.015769005,
6069.5,0.216,99.08,-999.25,0.643,3.66,0.0,26.42,2.341,-999.25,2961.061,14.5734,132.0153,30.2165,2.0985,-999.25,6.388,0.42,0.0135,0.5406,2.4553,,0.456614286,
6070.0,0.192,88.19,-999.25,0.337,3.75,0.274,25.72,2.381,-999.25,630.3422,119.648,194.7827,31.0894,18.1638,-999.25,1.1789,0.3525,14.5846,0.8528,0.6434,,0.157229885,
6070.5,0.109,77.67,-999.25,0.055,3.92,0.086,24.55,2.524,-999.25,0.3695,0.0614,0.0485,0.0567,0.0436,-999.25,0.006,0.0006,0.0553,0.0018,0.0002,,0.297759086,
6071.0,0.032,72.02,-999.25,-0.003,4.02,0.0,20.73,2.656,-999.25,0.0049,0.0039,0.0031,0.0061,0.0002,-999.25,0.001,0.0004,0.0004,0.0002,0.0,,1e-05,
6071.5,0.008,62.82,-999.25,0.044,4.05,0.0,12.2,2.696,-999.25,0.0158,0.0234,0.0221,0.0184,0.0088,-999.25,0.0008,0.0005,0.0005,0.0004,0.0002,,0.008395641,
6072.0,0.024,64.9,-999.25,0.087,4.0,0.064,9.11,2.67,-999.25,0.057,0.0403,0.0497,0.0459,0.0443,-999.25,0.0007,0.0008,0.001,0.0018,0.0015,,0.058903959,
6072.5,0.045,70.96,-999.25,0.088,3.17,0.07,6.55,2.633,-999.25,0.0621,0.0756,0.0774,0.069,0.0572,-999.25,0.0019,0.0039,0.0015,0.0027,0.0017,,0.030185679,
6073.0,0.065,74.23,-999.25,0.179,3.03,0.135,5.18,2.599,-999.25,0.1748,0.2058,0.1842,0.2011,0.2541,-999.25,0.0102,0.0097,0.0075,0.0092,0.0118,,0.249757454,
6073.5,0.071,75.34,-999.25,0.216,2.99,0.161,6.43,2.589,-999.25,0.2469,0.228,0.2745,0.206,0.2662,-999.25,0.0304,0.013,0.0201,0.0108,0.0113,,0.502303839,
6074.0,0.067,75.31,-999.25,0.161,3.0,0.123,10.82,2.595,-999.25,0.3377,0.2185,0.2971,0.1997,0.2597,-999.25,0.0323,0.0092,0.0232,0.0083,0.0115,,0.406128764,
6074.5,0.067,69.8,-999.25,0.141,3.49,0.11,12.9,2.596,-999.25,0.432,0.1326,0.3053,0.2211,0.2215,-999.25,0.0145,0.0042,0.0214,0.0089,0.0085,,0.407614678,
6075.0,0.058,60.72,-999.25,0.173,3.85,0.129,13.63,2.611,-999.25,0.3913,0.16,0.4462,0.3268,0.2159,-999.25,0.0295,0.0117,0.0349,0.0192,0.0104,,0.174609601,
6075.5,0.039,56.05,-999.25,0.106,4.25,0.08,16.74,2.643,-999.25,0.0612,0.0565,0.0648,0.0689,0.0833,-999.25,0.0012,0.0014,0.0017,0.0018,0.003,,0.095822275,
6076.0,0.028,52.18,-999.25,0.067,4.56,0.051,21.98,2.662,-999.25,0.0081,0.0139,0.0085,0.0108,0.0239,-999.25,0.0001,0.0002,0.0002,0.0002,0.0007,,0.210790083,
6076.5,0.031,52.36,-999.25,0.084,4.54,0.063,31.14,2.657,-999.25,0.02,0.0243,0.0221,0.0223,0.0438,-999.25,0.0003,0.0004,0.0004,0.0004,0.0014,,0.178963095,
6077.0,0.053,53.52,-999.25,0.099,4.51,0.079,40.02,2.619,-999.25,0.0658,0.0563,0.1004,0.0815,0.0861,-999.25,0.0009,0.0012,0.0015,0.0007,0.0027,,0.03076184,
6077.5,0.085,54.35,-999.25,0.105,4.55,0.096,51.21,2.566,-999.25,0.1325,0.1602,0.3795,0.3167,0.1736,-999.25,0.0019,0.0025,0.0032,0.0007,0.0036,,0.1076819,
6078.0,0.108,55.33,-999.25,0.123,4.6,0.116,64.43,2.525,-999.25,0.3883,0.9213,1.4757,1.5608,0.4849,-999.25,0.0094,0.0109,0.0151,0.0021,0.0083,,0.061416063,
6078.5,0.079,55.78,-999.25,0.122,4.65,0.103,79.96,2.574,-999.25,0.3366,0.3256,0.6936,0.4785,0.2284,-999.25,0.0054,0.0057,0.012,0.0028,0.0064,,0.020851092,
6079.0,0.045,55.15,-999.25,0.092,4.72,0.072,100.24,2.633,-999.25,0.08,0.0447,0.0915,0.0539,0.0641,-999.25,0.0006,0.0007,0.0018,0.0008,0.002,,0.010777046,
6079.5,0.02,54.84,-999.25,0.084,4.79,0.061,128.14,2.676,-999.25,0.0488,0.0212,0.0349,0.021,0.0398,-999.25,0.0003,0.0003,0.001,0.0006,0.0013,,0.010393804,
6080.0,0.036,54.75,-999.25,0.081,4.86,0.063,160.57,2.648,-999.25,0.0446,0.0262,0.0477,0.0288,0.0421,-999.25,0.0003,0.0004,0.0009,0.0005,0.0013,,0.013605382,
6080.5,0.044,55.29,-999.25,0.084,4.9,0.067,181.96,2.634,-999.25,0.0538,0.0379,0.066,0.0415,0.0505,-999.25,0.0004,0.0005,0.0012,0.0006,0.0015,,0.009014263,
6081.0,0.055,56.04,-999.25,0.109,4.85,0.086,180.47,2.617,-999.25,0.1661,0.1161,0.1841,0.1226,0.109,-999.25,0.0018,0.0017,0.0047,0.0017,0.0036,,0.00986201,
6081.5,0.081,56.75,-999.25,0.15,4.84,0.121,168.25,2.572,-999.25,0.681,1.1942,0.9687,0.9248,0.3323,-999.25,0.0323,0.021,0.0472,0.0103,0.0117,,0.013718636,
6082.0,0.111,56.92,-999.25,0.16,4.93,0.138,162.94,2.52,-999.25,0.9132,9.4233,2.1061,4.6327,0.8683,-999.25,0.1316,0.0912,0.1045,0.0212,0.0239,,0.027369274,
6082.5,0.123,56.87,-999.25,0.187,4.95,0.158,172.05,2.5,-999.25,1.6795,35.7385,2.9277,12.0599,1.4759,-999.25,1.009,0.5661,0.3288,0.0892,0.0471,,0.041288398,
6083.0,0.098,56.9,-999.25,0.172,4.95,0.14,196.34,2.542,-999.25,1.0114,7.0329,1.5923,3.0785,0.6195,-999.25,0.2135,0.1151,0.1415,0.0324,0.0219,,0.016425582,
6083.5,0.063,56.28,-999.25,0.138,4.94,0.107,227.0,2.603,-999.25,0.3576,0.4463,0.3672,0.3281,0.1972,-999.25,0.0117,0.0079,0.0176,0.0056,0.0077,,0.011399606,
6084.0,0.038,53.88,-999.25,0.1,4.94,0.076,241.02,2.646,-999.25,0.0713,0.0474,0.0709,0.0495,0.071,-999.25,0.0007,0.0008,0.0011,0.0009,0.0025,,0.028587719,
6084.5,0.035,52.32,-999.25,0.083,4.95,0.064,228.24,2.65,-999.25,0.0277,0.0227,0.036,0.0242,0.0442,-999.25,0.0002,0.0004,0.0003,0.0003,0.0014,,0.029374335,
6085.0,0.033,52.09,-999.25,0.065,4.97,0.052,207.89,2.654,-999.25,0.0113,0.0103,0.0174,0.0109,0.0226,-999.25,0.0001,0.0001,0.0001,0.0001,0.0007,,0.001955783,
6085.5,0.035,52.25,-999.25,0.067,5.0,0.053,199.17,2.65,-999.25,0.012,0.012,0.0204,0.0129,0.0251,-999.25,0.0001,0.0001,0.0002,0.0001,0.0007,,0.001573227,
6086.0,0.034,52.33,-999.25,0.077,5.04,0.06,209.41,2.652,-999.25,0.0171,0.0175,0.0291,0.0187,0.0359,-999.25,0.0002,0.0002,0.0002,0.0002,0.0011,,0.002361006,
6086.5,0.037,52.62,-999.25,0.077,5.11,0.06,242.19,2.647,-999.25,0.0157,0.0195,0.0309,0.0208,0.0368,-999.25,0.0002,0.0002,0.0002,0.0002,0.0011,,0.002959338,
6087.0,0.039,52.6,-999.25,0.07,5.16,0.057,298.72,2.644,-999.25,0.0102,0.0151,0.0229,0.0164,0.0289,-999.25,0.0001,0.0002,0.0001,0.0002,0.0008,,0.001861274,
6087.5,0.045,52.66,-999.25,0.067,5.17,0.057,364.55,2.633,-999.25,0.0086,0.0162,0.0211,0.0173,0.0272,-999.25,0.0001,0.0002,0.0001,0.0001,0.0007,,0.001695422,
6088.0,0.043,52.88,-999.25,0.078,5.14,0.063,398.38,2.636,-999.25,0.0153,0.0259,0.0288,0.0268,0.0408,-999.25,0.0002,0.0003,0.0002,0.0003,0.0012,,0.001771187,
6088.5,0.036,52.77,-999.25,0.075,5.11,0.059,379.16,2.648,-999.25,0.0157,0.0183,0.0234,0.0195,0.0343,-999.25,0.0001,0.0002,0.0002,0.0002,0.001,,0.010696049,
6089.0,0.022,52.42,-999.25,0.061,5.07,0.046,336.48,2.672,-999.25,0.0096,0.0072,0.0112,0.0078,0.0181,-999.25,0.0001,0.0001,0.0001,0.0001,0.0005,,0.001335457,
6089.5,0.016,51.97,-999.25,0.063,5.05,0.046,297.98,2.682,-999.25,0.0101,0.0069,0.0104,0.007,0.0191,-999.25,0.0001,0.0001,0.0001,0.0001,0.0005,,0.001648986,
6090.0,0.014,51.51,-999.25,0.058,5.06,0.042,267.88,2.685,-999.25,0.0072,0.0053,0.008,0.0052,0.0155,-999.25,0.0,0.0001,0.0001,0.0001,0.0004,,0.001355188,
6090.5,0.01,51.31,-999.25,0.046,5.03,0.0,234.64,2.692,-999.25,0.0037,0.0047,0.0078,0.0052,0.0098,-999.25,0.0,0.0,0.0,0.0001,0.0002,,0.000189124,
6091.0,0.005,51.29,-999.25,0.039,4.99,0.0,193.63,2.702,-999.25,0.0025,0.0031,0.0043,0.0031,0.0066,-999.25,0.0,0.0,0.0,0.0,0.0002,,0.000148591,
6091.5,0.002,50.92,-999.25,0.044,4.95,0.0,154.99,2.707,-999.25,0.0028,0.0041,0.0047,0.0037,0.0089,-999.25,0.0,0.0,0.0,0.0001,0.0002,,0.000353745,
